Objective Value, Total Weight
-12787.823509483846,14458.0
106.92139909740217,27257.0
-8252.12002495971,19156.0
4264.05824925132,32219.0
-15703.688541155294,11956.0
-16727.17660645452,9687.0
-418.34478873366606,25062.0
-13987.458434962165,12981.0
3101.0816479019413,29373.0
-10275.157841685817,16384.0
-5411.78293084319,19407.0
-19095.414985729556,8420.0
-21000.522076450794,6740.0
-3676.3120923130045,22040.0
8267.413314665835,37377.0
-22351.554261472917,4949.0
5913.9960225697,33792.0
-1476.2208374894908,23678.0
7320.824976861004,35437.0
8848.002162818884,40800.0
Objective Value, Total Weight
-305.3489835439759,25926.0
-6886.390409488766,18323.0
-15663.121638782985,11277.0
4051.0410128530348,31560.0
1206.4611058051378,28184.0
-4117.432882430883,20600.0
2318.0557752693567,30614.0
-14079.701400012105,12511.0
-22792.628760095762,4373.0
-16597.416482032808,10110.0
5241.415521303643,33883.0
-9483.252465412334,15844.0
-11971.655295418514,13881.0
-2283.4476918438086,22681.0
8631.38271054381,37945.0
6446.75220707363,36117.0
-18145.024403557003,8119.0
-20339.406974086174,6594.0
-24324.657549873384,3249.0
9321.666837975237,41592.0
Objective Value, Total Weight
-11744.440645979215,14826.0
4901.158061466369,31788.0
-8721.819484382926,18343.0
-2259.2672899699755,23097.0
-17940.402829435832,9044.0
6125.257317302174,33709.0
3281.5236984029543,29965.0
2022.0843255250293,28594.0
355.50877502106596,26787.0
-12204.482463346758,13221.0
-20682.561096241832,7515.0
-10142.922827554285,15546.0
-6340.8670121963805,18735.0
-1066.4099440744685,24794.0
-4596.888175074804,20394.0
-22814.777334497143,4744.0
-14097.319178175028,12014.0
-15585.048512577374,10543.0
9655.191142945958,40631.0
7956.655803743444,37306.0
Objective Value, Total Weight
-4603.767533653889,21688.0
-12405.9066879346,14501.0
-6339.607045456054,19344.0
6379.681260531834,34149.0
-14266.587655884076,13015.0
-1047.2424355479016,24427.0
-16994.030378872932,9656.0
-15521.079682711988,10605.0
-9708.4124233714,16349.0
8571.748414482703,39369.0
-20943.83550642583,5706.0
-19473.09935695695,8339.0
93.66570079410303,25913.0
9560.209155725766,41615.0
4200.946280738637,32489.0
3608.3943996693633,30055.0
7178.232151853932,36661.0
1564.6078462634541,27563.0
-7436.757983870517,17216.0
-23034.315856710233,4017.0
Objective Value, Total Weight
1139.2121114137044,26299.0
-12966.750635026365,12977.0
5780.504251341168,33585.0
2572.529623068054,28397.0
8150.078911725155,39398.0
-4757.806131301091,20455.0
-8383.95540498901,17029.0
-689.7252677983633,24525.0
-14883.010887290344,11004.0
-2491.7403060491415,22337.0
6944.339412442714,36079.0
-11709.7679794512,13814.0
-6376.764008142214,18255.0
-16822.46718274299,9575.0
4064.549579106206,30636.0
8130.371158735288,37652.0
9220.869168505764,41477.0
-9860.4411420941,15284.0
-19221.714007875133,7497.0
-21505.406632979237,5824.0
Objective Value, Total Weight
-180.70557763719262,26587.0
-8053.665672376243,17601.0
5088.843669427857,31584.0
-3467.540716156749,22366.0
-9079.186202802171,15582.0
1368.00070855362,28143.0
-5442.617904139865,20122.0
2864.019470101579,29481.0
-582.8384674804256,25452.0
-12084.504504399756,13901.0
-1884.5491225039732,23676.0
8832.304884846817,38414.0
-14223.313072698202,11780.0
-19904.938359185853,7303.0
6406.4349774211805,33870.0
-17453.19464942627,9213.0
-15627.771589561333,10198.0
7996.819725585796,36251.0
9669.277241352655,41451.0
-22424.34571870234,5706.0
Objective Value, Total Weight
-8151.5060572452785,17372.0
6574.334077317777,33797.0
1596.214395261115,27037.0
-7116.729043508065,19312.0
-3716.737281798356,22406.0
5325.926407145569,32492.0
-11634.986816033197,13816.0
4204.527985854169,31736.0
3093.3479121333075,29359.0
-17843.412644502303,8878.0
-13924.64179892122,12647.0
-2066.1323143591944,23265.0
-9436.888292072188,16097.0
208.82173129537114,24676.0
-4675.903168650722,20111.0
-15261.864358855997,10716.0
8877.477809244585,38798.0
8235.2835327414,36150.0
-19849.211044356118,6872.0
9127.498561451059,41817.0
Objective Value, Total Weight
-2737.9576811738225,22407.0
