Objective Value, Total Weight
-34221.82612503962,7187.0
11870.248206332704,66352.0
-34221.82612503962,7187.0
-19367.191111361193,19723.0
-26624.325297406445,14045.0
-8425.021538541376,31647.0
4852.620468900728,51521.0
970.2088047378129,42546.0
8694.721556752753,55732.0
-13851.821840868804,25200.0
-13851.821840868804,25200.0
-18011.86849193924,21476.0
3526.733586917544,46054.0
-5321.017094982657,34794.0
8696.224340782872,59479.0
-4682.61443426762,39584.0
10600.213320683702,61303.0
-2713.7335348965935,41110.0
-29801.04431565033,11543.0
-32156.81988764127,8713.0
Objective Value, Total Weight
-30759.02126928047,9617.0
12241.48272368079,63996.0
12241.48272368079,63996.0
-30759.02126928047,9617.0
-13028.497242005738,26994.0
2318.275974834338,42359.0
-24525.451250888545,14605.0
-30065.753588403823,9861.0
-549.8261437759138,39367.0
6841.548682005116,50558.0
-15996.764289676808,21690.0
8864.551538529246,52669.0
-3118.462470850718,36720.0
-21646.60899590191,17165.0
-19270.05699656908,19897.0
-5097.867464467934,34622.0
-6889.94911548715,31982.0
11618.198851488363,58954.0
-23710.127147335654,15783.0
-20128.807960812817,19156.0
Objective Value, Total Weight
11576.322538830937,63319.0
-32746.288919605242,8361.0
11576.322538830937,63319.0
-27413.44882692054,12716.0
-10372.79367601982,28420.0
10844.795825341425,57567.0
-23117.400113918906,17609.0
-15291.788670154907,22899.0
-1834.9006393184172,37616.0
1157.5526127812263,42582.0
-6437.900590681471,32095.0
-1834.9006393184172,37616.0
7730.477660283395,54855.0
-15291.788670154907,22899.0
6876.9683130485355,49562.0
-20640.687016052092,19992.0
-9493.987688262641,31720.0
3520.284899734019,44426.0
5559.740313017595,49103.0
-6437.900590681471,32095.0
Objective Value, Total Weight
-36981.17114922031,4848.0
11225.753308160492,62834.0
11225.753308160492,62834.0
-36981.17114922031,4848.0
-26114.72264307404,15618.0
-20547.07799016722,19673.0
5625.214199050693,53101.0
-17895.87952997385,24029.0
-3198.2560187722556,38591.0
-23684.42516873235,16265.0
1779.6514894243228,42381.0
4724.82099756207,46813.0
9619.148004048882,55798.0
-8995.890310575218,30224.0
-31529.952062951714,10180.0
-3666.2755622027253,37815.0
-8037.74621317249,33645.0
1779.6514894243228,42381.0
-31529.952062951714,10180.0
-33460.69428925113,8503.0
Objective Value, Total Weight
12784.029117692218,64974.0
-35275.97398079715,5802.0
-35275.97398079715,5802.0
12784.029117692218,64974.0
-24603.519600547654,14897.0
9278.606525118172,53228.0
-2215.6139570644445,38447.0
6694.73575346962,50972.0
-10617.687378403352,28551.0
-7065.689775217637,31437.0
1027.673606698001,40359.0
-23258.039850158413,18479.0
3484.7090963260925,45106.0
4679.480051260471,46170.0
-30565.231330601127,9527.0
-16713.4295530878,22746.0
-34578.69171447815,6206.0
-7065.689775217637,31437.0
-14869.44236769779,25028.0
12228.723739096415,60250.0
Objective Value, Total Weight
12701.679168770774,63786.0
-33645.52832168812,7786.0
12701.679168770774,63786.0
-33645.52832168812,7786.0
-2968.022507542686,37091.0
4489.264940756402,46816.0
10629.219664861434,56976.0
7432.298526638551,54097.0
-14484.108579080268,25960.0
-27422.240908539316,13127.0
-27422.240908539316,13127.0
-7956.362290987556,31544.0
-20993.037786080182,18740.0
-10284.180944453074,28993.0
621.3961005947858,43573.0
-22669.91405134221,17113.0
-32102.42941159483,8980.0
12122.198119982677,59959.0
-18026.681910139596,21810.0
7432.298526638551,54097.0
Objective Value, Total Weight
-35325.50591812092,6719.0
12011.799175972614,63208.0
-35325.50591812092,6719.0
12011.799175972614,63208.0
-17290.5532887034,23948.0
8569.981272983277,55556.0
-13638.598336183997,26454.0
11363.55844855326,62619.0
-27994.803739868636,14531.0
-27994.803739868636,14531.0
1560.175400103377,43747.0
-25838.536428938787,15640.0
-10291.370832328386,29021.0
-2972.278526636961,39719.0
-7355.750417094925,32548.0
-7355.750417094925,32548.0
-9366.127885093483,29995.0
620.3197314318895,41281.0
-21521.75278924025,19181.0
8274.695150611937,52480.0
Objective Value, Total Weight
-31764.331080921213,9036.0
11365.587964784805,62502.0
-31764.331080921213,9036.0
11365.587964784805,62502.0
4667.932644784552,48736.0
-13215.009564617954,27428.0
-4178.0832290546605,36773.0
-7467.304703790651,31724.0
-29453.225217534826,11488.0
-17285.819444317596,21423.0
-14879.372770626498,26107.0
-21192.361854418617,18550.0
-117.79343515728397,40516.0
-7467.304703790651,31724.0
2481.5317242848905,45417.0
7030.145231610077,53710.0
-2253.38513107357,38195.0
-24478.60388791316,15670.0
7030.145231610077,53710.0
-21834.371782611626,17727.0
Objective Value, Total Weight
11519.75848331934,63383.0
-29702.80022209866,10611.0
11519.75848331934,63383.0
-29702.80022209866,10611.0
-9035.910239822726,29677.0
9928.838980500266,56468.0
-4652.7871606456465,36087.0
-504.8075796703124,39096.0
7750.410410475961,53370.0
-22075.003503497028,17178.0
5522.772677052992,49944.0
-3470.3691453088322,36720.0
-24937.52093353206,14847.0
2351.618034550833,43244.0
-12333.77705774999,29057.0
2351.618034550833,43244.0
-26899.6315566735,12470.0
-19851.640155359564,20274.0
-19851.640155359564,20274.0
-13397.09987292473,26798.0
Objective Value, Total Weight
-33356.273521547315,7679.0
12772.250280480846,64259.0
12772.250280480846,64259.0
