Objective Value, Total Weight
12337.031027609155,60702.0
12337.031027609155,60702.0
-32147.56378909645,9030.0
-26367.342016470684,13271.0
5290.455054947619,48551.0
-12068.297470790349,28258.0
-30591.622554126654,10330.0
10470.073596622278,57250.0
-24233.1183646048,16094.0
-19059.456208418072,19660.0
7198.942181846673,52364.0
-22647.24806934758,19187.0
-9285.692843864956,30162.0
8251.951611593562,54761.0
-15011.621689358486,25817.0
-17151.53454598708,23026.0
2325.5098868337373,45073.0
-7047.942881304647,31717.0
-6890.702104429096,33968.0
-4364.542173492169,36842.0
Objective Value, Total Weight
-31578.873792113598,8376.0
11825.613368012055,64049.0
-26018.807263848415,14010.0
-10032.580216483759,30167.0
-29203.387688184237,10140.0
-1969.8969553886272,37841.0
-16251.480476915589,23482.0
-21153.64534153338,18541.0
-18049.37697468132,21139.0
-13065.349227701343,26751.0
5313.424423848119,47418.0
-23071.009304559302,16142.0
-595.6922899626079,40558.0
-5754.070017862759,33878.0
-5151.595644579902,33965.0
2512.5305619727733,44620.0
1832.9433957569927,43109.0
8633.152450092566,54419.0
-11001.530786894225,27838.0
10589.2667379384,60101.0
Objective Value, Total Weight
11662.671630268058,64393.0
-31985.360718250704,8890.0
-16052.605127800736,24404.0
-5415.647934091925,34371.0
-27295.043699239824,13361.0
-24152.772107646582,15065.0
-3572.448701664136,37505.0
-19997.235692092036,20240.0
-30019.651488073396,10478.0
7922.837655791547,52427.0
9413.933342595454,55583.0
-9426.76077807496,32573.0
3438.6697516709683,46648.0
-14048.252311122538,25315.0
6180.0599398129925,49739.0
-21620.740392450192,17892.0
-12056.023536202454,27374.0
-1420.2086758717269,40051.0
10564.438553387357,60779.0
1519.0696118939886,43623.0
Objective Value, Total Weight
13033.409948749948,64648.0
-30165.91400881973,9992.0
8650.868422357773,53307.0
-3353.0645373122825,36914.0
-7277.065843206081,32712.0
6614.816145640303,51680.0
5614.20522833681,48018.0
-27690.166161272544,12561.0
3356.7847631894765,44682.0
1084.55784222886,41258.0
-16389.886090275075,24527.0
-921.7406138313963,40439.0
-11759.329487499155,28378.0
-19272.416268595618,22300.0
-9864.909387658852,30696.0
-13306.114272325969,26156.0
-24212.300085038405,16801.0
-20460.429779562088,19555.0
3705.266261238794,46488.0
-17361.418545278655,23210.0
Objective Value, Total Weight
12575.607772351068,63721.0
-30216.25218806512,10116.0
-1960.3864282727518,38784.0
-23433.15066903369,16706.0
-4655.621484721509,35474.0
-1710.916709764373,43776.0
5878.709136104997,50668.0
-25931.601732600473,13564.0
10153.056439680237,60713.0
-6709.17097783339,33799.0
-27794.097948589995,12214.0
-19517.20663219598,20555.0
-20440.39430914673,17895.0
4408.960587783629,47167.0
-8661.03198156647,31672.0
9804.286849680138,57685.0
1395.6059211930333,44866.0
-17425.982158623978,22919.0
-14956.743582616036,24737.0
8887.035579105788,55522.0
Objective Value, Total Weight
12149.947899602485,62735.0
-31527.31107619789,8440.0
9838.111360440693,56817.0
7858.287151663491,51274.0
-2679.1121304145345,38622.0
-5081.335692563589,35691.0
5391.461858284376,48154.0
-23263.096751069686,16247.0
-26433.1682666872,13694.0
-11048.577518732971,28350.0
11558.012626281241,61819.0
-7664.338875961941,32240.0
2814.1232827946224,46396.0
-21292.058819372207,17926.0
267.2101313913299,41199.0
-19063.390866309128,19263.0
-29124.411393040667,9991.0
-28068.26822140839,11693.0
-7441.724396425292,32481.0
2268.8120266010737,43612.0
Objective Value, Total Weight
-31514.22045015254,9268.0
11766.07196071223,64298.0
5874.305717944895,50514.0
2127.271466502003,45225.0
-25768.813622935995,12928.0
-22896.187223555855,15799.0
11200.428162576223,59298.0
-29489.916661324212,11455.0
9693.684683358399,55545.0
8400.97184004129,52131.0
392.6249702545101,43884.0
-9950.389133363402,30433.0
-14295.523061496577,24932.0
-20853.59820134008,19094.0
-1399.6716201806194,41433.0
-19897.702750304234,20680.0
-17112.449650748327,22465.0
-11467.74126974195,28151.0
-16457.066237282284,22788.0
-5372.148519173083,35876.0
Objective Value, Total Weight
-29519.517992555084,10713.0
12518.709412177981,64687.0
12239.87008540232,59236.0
-26820.033682382287,13243.0
3044.307499306655,43701.0
-13036.859186543174,25608.0
10318.001932648192,54812.0
-19671.825912854583,18938.0
-11547.58106270303,28800.0
-242.55733112674352,40918.0
-16641.45109927294,24474.0
-21867.87131716901,17280.0
-4795.75860521329,33498.0
9229.907545503775,52586.0
3924.804963767987,46983.0
-17593.77488464053,21575.0
-7154.638223805698,32932.0
6944.376857974385,49332.0
-24813.218280570465,16102.0
5565.650804347664,47190.0
Objective Value, Total Weight
12241.914686745047,61046.0
-33212.121774028434,7720.0
4505.64725308842,48077.0
9798.772235410848,54297.0
7600.8710451345105,52100.0
-14831.611394222004,26067.0
-32.045758419742924,40705.0
-31359.61629363597,9691.0
-18035.405200302135,22177.0
1984.2229515301588,43603.0
-25859.900486899824,14416.0
-3645.5962951279216,38998.0
-28550.46861163014,11911.0
-12821.049413085791,28308.0
-23756.951536996545,16467.0
-11743.012415281883,29848.0
-23266.843968035435,18551.0
-20527.506946033667,19078.0
-27778.243660116852,12960.0
1574.5462976837007,43267.0
Objective Value, Total Weight
-32466.046700377367,7872.0
11975.816991675034,61740.0
-26322.556814857868,14639.0
-22545.26922846031,17096.0
10022.611637058966,59909.0
-28409.932868207405,12297.0
-30349.45978705107,10054.0
-16176.523860369722,25164.0
611.4656847653314,41620.0
2019.9862554635038,45798.0
-20426.298204087223,18992.0
3251.501849836597,47353.0
9638.628854642608,54923.0
-5262.722034734201,34373.0
-13234.539125227857,26404.0
4642.60410875173,51245.0
7641.694447484471,54602.0
-17559.134643854013,22450.0
-18710.321914874177,21282.0
-7597.8053979904,31925.0
