Objective Value, Total Weight
8784.154443952277,54155.0
-24833.662661203824,15110.0
-19438.149848853885,19087.0
-1824.1218149125052,37267.0
1629.462435592388,42361.0
-14729.250785784723,23232.0
-4101.918845021843,34582.0
-13321.903048803593,25367.0
10204.125390031986,57041.0
-686.9959993860175,39387.0
3260.841889940879,45051.0
-9710.469102394993,29577.0
5615.266317589048,47519.0
-11674.663055680554,27057.0
-6746.215985857743,31360.0
-22644.344394813823,17087.0
-17763.60370028209,20898.0
-27069.57895384517,12933.0
7427.403195036961,50860.0
10839.467329953186,59088.0
Objective Value, Total Weight
-8117.415858697088,31218.0
2371.92979543862,43142.0
8699.356370070083,54966.0
7352.814826895119,51212.0
-20006.618089654534,19000.0
-30351.23834811298,10512.0
3997.8433887462743,45284.0
11169.303591996242,63011.0
-11202.80716859967,28127.0
-13290.331930256492,26008.0
-1269.996369303175,38456.0
-27118.349391496886,13323.0
10243.275297710032,58609.0
-5617.645674599429,34020.0
-18478.308566302985,20569.0
-3461.7619629983164,36441.0
-16088.54128006092,22339.0
5717.929013129076,47736.0
-23529.651920364326,16791.0
676.57370668371,40594.0
Objective Value, Total Weight
-662.3326019086817,39453.0
-2233.6346555354467,37568.0
3682.444816421201,45462.0
-13343.102258644838,24606.0
2782.759145236523,42946.0
-5882.823014364287,32378.0
-4415.67255314043,34721.0
9960.837011704563,54368.0
8640.416371019986,52077.0
-8024.971229219271,30847.0
7785.432220710834,49745.0
5879.622054039355,47483.0
-11071.410961111294,26754.0
-19030.11501169904,20263.0
-16945.04438720618,22487.0
-21903.521050398915,17329.0
1276.9769431664026,41369.0
-9465.908696629136,28712.0
-24039.117481421206,15105.0
11065.482576494724,58091.0
Objective Value, Total Weight
-19022.304876561633,19706.0
-15581.852454444605,22822.0
-7985.832966062197,29940.0
3065.2426430177293,43079.0
7380.120752572468,50464.0
5037.477793303908,45263.0
6315.920533706252,47456.0
1320.8320341757135,40959.0
10431.7553622821,55870.0
-3795.860441419085,34862.0
9138.660692570273,53880.0
-13491.619092444438,25015.0
-9505.13355828762,28921.0
-5965.011035238364,32945.0
-17200.462198380752,20991.0
462.67989913668134,39673.0
-11184.072515259511,26932.0
-1193.7437990508042,37194.0
-20839.587713472654,18193.0
11317.507764001188,61377.0
Objective Value, Total Weight
-2018.6041209591203,37750.0
-25073.751038907532,15641.0
-9734.481157071481,29090.0
-11757.251969435063,26807.0
-213.28465782661806,39624.0
-3040.353045671458,36783.0
-16903.760925058858,22800.0
-19205.513816428756,20832.0
3754.7587030312716,45418.0
10347.501840091762,59650.0
10752.41186248738,62915.0
-22208.050258917057,18546.0
-14562.098658373732,24104.0
7117.652406221096,51293.0
9397.366889343946,56835.0
-4971.086288336599,33924.0
-7609.627118802549,31797.0
8487.930408926812,53800.0
1792.4151753162805,42439.0
5870.5972884644725,48258.0
Objective Value, Total Weight
11171.649167217583,56997.0
-353.8059209118728,37943.0
1608.6478879431597,40392.0
-10974.985349313909,26392.0
-9116.62244336307,27926.0
7081.475454119427,47736.0
-2124.4277130808478,35953.0
-5409.728413668978,32532.0
3208.3263414992907,42720.0
8890.907528919328,51023.0
5389.174608638386,45351.0
-6972.281222329111,30375.0
-16001.505769147698,21912.0
9881.555180936775,53528.0
-3567.32386892302,34066.0
-17871.772851213915,20378.0
11727.047407201993,59844.0
12023.289731952871,62882.0
-12776.424395310518,25412.0
-14655.98756118329,23084.0
Objective Value, Total Weight
8064.422246837734,51531.0
-9131.850686962061,28804.0
-2701.1311798054667,36108.0
-1110.0451143194732,37591.0
-5806.907349809189,32296.0
-4127.414079452385,34269.0
-7603.54758873603,30351.0
575.2855362233458,39775.0
-19132.004325325026,19926.0
-12997.495498032724,24739.0
6952.697967405431,48951.0
-15003.014363976872,23559.0
-11123.713276364782,26684.0
5328.846052282861,46555.0
-21034.22802256188,17981.0
10349.533512014626,56133.0
3823.904999859951,44423.0
-16884.688324367497,21614.0
2224.864668872113,41720.0
11785.461298797309,60968.0
Objective Value, Total Weight
-1888.6381934905367,38939.0
4105.767899035927,46255.0
874.882359567302,40558.0
8239.007106391407,53297.0
-13623.574924175591,24594.0
2496.1177485049993,43673.0
-7671.381476457835,31432.0
-9564.667819823422,30148.0
-11416.287298359566,28620.0
-19836.433161844638,19668.0
-3726.665832144223,34913.0
-5790.517479442315,33468.0
-15743.56633274327,23149.0
-2143.2132898868367,36936.0
-17706.737125718544,21113.0
-24075.925636835367,16390.0
6202.783076723965,48496.0
-21691.19085715596,18061.0
-11906.143816690572,26617.0
-25940.845695018004,14598.0
Objective Value, Total Weight
-10803.180119189674,28244.0
10562.03927121091,61443.0
-8728.62528885853,29969.0
3029.163719243872,43227.0
8472.6199968148,53749.0
6109.0228322019975,48259.0
