Objective Value, Total Weight
-16191.822838722263,22319.0
-30368.40097127785,9368.0
-8471.3657631873,31895.0
-4851.275284479714,34593.0
30.13220572645514,40818.0
-13280.194471224735,24738.0
-26504.68310416032,13462.0
-27724.598027085856,10971.0
-21895.171799996053,17540.0
-24275.97809076774,15312.0
-19604.504063469343,19625.0
-2882.921353490434,37168.0
7376.2722101049,50302.0
4096.6980307435515,44957.0
-10432.129492157212,28136.0
10232.258317797685,54145.0
6200.068613082163,47757.0
11762.340020309457,58375.0
-32318.95524090439,7788.0
12970.315008653182,62199.0
Objective Value, Total Weight
-21672.071200628736,18108.0
-9687.778959067517,27793.0
7850.144182054311,51201.0
-5439.357433892204,33769.0
-12778.136701679352,25599.0
3184.643421050241,43814.0
-6980.070925591412,30848.0
1960.737519152317,41454.0
615.3589333179552,39715.0
6106.595391688468,46948.0
-2434.615024618208,36785.0
12018.805103764003,58803.0
-14885.10139115747,22453.0
9118.936889881108,53964.0
-17326.399833322102,21486.0
-19223.773766553022,18754.0
-29323.945571889024,10535.0
-26594.88018617948,13177.0
-23429.11398554755,15033.0
13117.984154553145,62845.0
Objective Value, Total Weight
-4647.113951994812,36526.0
-11155.18451039023,28571.0
-8665.130078782073,30202.0
-16238.584925768657,22237.0
1466.5915228628946,42061.0
-24487.9918153209,14903.0
3758.8057437631433,44639.0
-13782.523312664933,25595.0
-6389.7436468456435,31960.0
-692.0451951935393,38508.0
-21536.900304940158,17429.0
-26951.09668741311,12334.0
12811.896184413985,63592.0
-32877.12814238417,7068.0
-18394.50636410503,19608.0
9114.134138206107,51464.0
11884.98150145277,58018.0
6506.506818346847,47698.0
10899.303782858493,55195.0
-29984.809803693206,9536.0
Objective Value, Total Weight
-2909.6353659887827,37445.0
-17343.52185501752,21231.0
-4619.418366395985,32940.0
-10016.667442424397,29437.0
168.30149998100387,41698.0
-12013.583366449493,26515.0
11218.45628286212,56509.0
-29695.011360657816,10508.0
9423.748658855511,52259.0
-24859.326314127982,14062.0
2738.428160330899,43102.0
4548.414943012125,45186.0
-14369.886817149512,24161.0
-7666.9954890229565,30885.0
6559.405428404978,48878.0
-94.31598027403379,39156.0
12945.430274937404,65466.0
-21473.18920671469,17277.0
-32462.300221997495,7986.0
11972.376407191674,59691.0
Objective Value, Total Weight
-9915.252445916638,29056.0
-14217.98162061775,23479.0
-6275.3273340012165,33880.0
7948.253301423589,49295.0
-17208.813171537156,21770.0
4057.905249450334,47410.0
-26144.921783744612,13018.0
9408.122999670486,53036.0
-8233.62438724983,31346.0
1449.425320188886,41925.0
-12848.375438415715,25792.0
-20050.061330808086,18954.0
-1032.3874365447045,38706.0
-22696.380613702895,15587.0
4009.27988117146,44816.0
10662.705556739369,57340.0
12309.942617655091,60111.0
-2240.400859091831,35985.0
-28964.206468008313,11022.0
12991.884665619596,64240.0
Objective Value, Total Weight
-9384.924986128208,29978.0
722.1109098121451,40933.0
4070.2219226525704,45904.0
6744.169412818133,51192.0
5480.688836699061,47986.0
-18462.65716429831,20673.0
-13532.957657964114,24674.0
9609.715763956141,55791.0
-20396.64099400901,17976.0
-4076.8558014105656,35519.0
-2046.6412117676373,38005.0
-15834.050382777503,22618.0
12998.038766565573,64350.0
-26954.364804520585,11777.0
-7148.005130685458,33378.0
-11247.280780035326,27046.0
2430.8381569686026,43728.0
-30321.184344147907,8597.0
-22730.09940451703,16166.0
11803.168173948747,59258.0
Objective Value, Total Weight
6454.409383663398,47113.0
-2840.1904481015736,36634.0
-12404.930539686924,26331.0
-14161.036503694922,24261.0
-4711.815557445872,34685.0
-16762.100094473586,21534.0
-18858.773020287474,19415.0
1564.1303935980686,41476.0
-10267.92552725297,28540.0
3267.4178491404673,44613.0
7899.970428686815,49702.0
104.30946369163576,39532.0
-8189.231027706861,31121.0
-20298.240410170496,17483.0
-22619.7597514069,15599.0
11745.036504463664,57972.0
-24633.75266515246,13411.0
12724.49926945586,62917.0
-27340.395546010594,12120.0
10070.121050132584,53541.0
Objective Value, Total Weight
8008.952683149277,51524.0
3548.1414139619956,43283.0
-2749.716177153721,36810.0
3846.4445213469953,45775.0
-8305.537307389379,30661.0
244.24366080217442,40742.0
-10570.094608777428,27463.0
-13465.0392983024,24088.0
-15704.609539930017,22125.0
-27126.484481898733,11938.0
-5071.24116295101,33482.0
6627.514655816318,49314.0
-18580.256842761453,20032.0
-21245.25637676855,16926.0
-30372.790618596002,9548.0
10417.23355026437,54639.0
-24388.78543347447,13907.0
11774.55487776686,58143.0
-33692.36835748506,6830.0
12828.745529252337,62844.0
Objective Value, Total Weight
-25510.568509637807,15886.0
-10502.20732541637,28318.0
-14249.499798569872,24635.0
-9355.188450905276,32700.0
-21972.074058101585,17632.0
4582.379800841612,47282.0
-5408.86357533421,33703.0
-17769.435620251585,22226.0
10964.041788017217,59239.0
-26947.19638613677,13199.0
-30021.776880561207,11157.0
2034.707816967937,41849.0
-2938.650491100125,36617.0
-19728.652421013758,19645.0
6328.152243803001,50614.0
9183.067872580257,54208.0
-602.0896665497203,38530.0
-32324.297752125865,8446.0
-35644.540847695105,5651.0
13047.125520162299,63820.0
Objective Value, Total Weight
2699.3878448414107,44896.0
-2356.306672833074,37740.0
8808.556093351632,51855.0
1868.649901773504,43011.0
-490.61177026511723,39803.0
-26036.67500611423,13823.0
-19279.721831907336,20116.0
-9114.773100515573,28719.0
4628.746452049163,45898.0
-28727.72999713553,11377.0
11888.425822136225,58465.0
-4649.798883982876,34302.0
-15656.731184301141,22519.0
7085.306238101977,48518.0
-6233.344935260247,31699.0
10710.923475493764,55265.0
-13193.256556960034,25118.0
-21387.992854700147,16922.0
12809.550127301714,62923.0
-30633.209648078693,9863.0
