Objective Value, Total Weight
-12349.796187033811,29747.0
-9735.1693606989,31978.0
-21912.078053671474,19313.0
-32206.63877525252,10090.0
-2042.4115793082674,38677.0
248.855172162097,42476.0
2379.658652102218,45041.0
8559.259460218134,55980.0
-15737.224645500253,24843.0
-4532.537642916584,35844.0
-19063.07125374055,21956.0
3695.632213257777,47915.0
-36839.5153578078,5316.0
-30132.0773789916,12204.0
-26116.04502374745,14819.0
-7091.388382739715,33415.0
12342.149400735972,59921.0
7192.294365931339,51643.0
13438.324324862348,64829.0
-40394.36128402039,1732.0
Objective Value, Total Weight
-12366.238326677485,30682.0
-21604.867143129602,21339.0
4370.976801927092,48127.0
2711.8711454023214,45414.0
7195.662278997595,52514.0
10380.084759918413,56883.0
-24325.021215223554,18247.0
-27451.55243905555,15252.0
-6513.796894384286,35993.0
-279.1523114919182,42347.0
-3973.340234521638,39656.0
-36609.43649713568,5076.0
11390.162088806814,60678.0
-18102.495501608275,25133.0
-32870.44014864827,9053.0
-9183.465915221459,33059.0
-13953.715720732864,28078.0
-29414.992247588103,12254.0
-40497.40490054872,1537.0
12966.003032787165,65459.0
Objective Value, Total Weight
-37312.62181906976,4738.0
9250.479307130103,55408.0
-15790.31787225137,24636.0
-18898.540111969727,23714.0
-25048.785467681955,16629.0
-13940.902581401242,27778.0
-5268.7957343890375,37025.0
1749.3532600972903,44997.0
4743.821128602853,47343.0
7168.98275783757,51576.0
-40855.36119953394,1474.0
-27385.303773966938,14597.0
-9872.145643339514,30803.0
-33772.19517523874,8751.0
-31171.855451332303,10838.0
-7055.788331255666,33652.0
-2038.839153524219,41383.0
-22258.30035171329,19966.0
11393.79268904384,58760.0
12940.851491424153,65386.0
Objective Value, Total Weight
-2988.4730638983456,39782.0
433.4268866630373,42474.0
2655.5202006437758,45163.0
-31002.933164513364,10484.0
-21601.470305177754,21037.0
-27150.061641965192,14568.0
-13677.492949293868,27615.0
7688.91928580089,53746.0
-36777.56907841398,6071.0
-11320.869817666171,31140.0
-29303.03025629623,12516.0
-33528.53348027635,7767.0
5593.049911022645,49562.0
-18139.28615762112,25572.0
-5338.822668623667,35783.0
11081.944377847598,58592.0
-8477.293538096848,32199.0
-24277.09586122905,16895.0
-40056.70436566774,2068.0
13137.117740991322,64933.0
Objective Value, Total Weight
-23637.196767438567,17283.0
-1507.111745320799,40700.0
4397.946934955689,48952.0
7129.112103224281,52128.0
-10692.046856619156,28580.0
-36343.49790204175,5341.0
-33181.424633541064,8119.0
1802.3619491555219,43896.0
-17095.513649649314,24809.0
-19862.9821231608,22402.0
-26206.7301318439,14238.0
-22389.345682411884,19645.0
-6520.362571180318,33021.0
-15261.981010018535,26929.0
10348.209940914086,56670.0
-29026.86824554448,10894.0
13254.731180160801,61317.0
-3420.1922564145134,36845.0
13429.302162296648,65780.0
-40575.65318432415,1184.0
Objective Value, Total Weight
10488.223369833817,60314.0
-22261.36444163118,17532.0
-15225.21989137942,24470.0
-3077.0038664502936,37644.0
-34185.374588294886,8112.0
-31723.23681312774,10255.0
-12356.156590882267,28285.0
-7852.244743600255,31312.0
7451.247284577999,51131.0
-18878.92172954401,21195.0
-29358.06079592435,12808.0
-27008.870698696315,15462.0
13230.430973713854,65343.0
869.9541504701847,43236.0
-5126.239016983876,35049.0
-35779.99826304016,6485.0
-502.0592439350876,39526.0
-40616.993214049326,1621.0
3856.632097548456,46843.0
9742.779329869445,55187.0
Objective Value, Total Weight
-13172.757680137816,30098.0
-7062.266563126752,35960.0
-3591.9195792678074,38629.0
-17811.754744729587,24557.0
9804.718018610853,56234.0
-31687.393583042962,10457.0
-21269.41818697757,21116.0
6691.9977570844785,51087.0
-24370.744567504407,17206.0
-15966.585883820771,26162.0
-37048.91771987126,4926.0
-33284.405601193335,8462.0
-1355.6276847521658,41857.0
-9310.833067824628,33539.0
-29344.185835167293,12071.0
-26961.262655751925,14622.0
4570.0378951286475,48829.0
2480.6134866687207,45773.0
-39648.50965664633,2485.0
13086.621802313268,64009.0
Objective Value, Total Weight
