Objective Value, Total Weight
-23506.382093331005,10066.0
-16847.538867485688,16242.0
-27284.393123104826,6011.0
-19781.53481126159,11474.0
-25599.05655722483,7513.0
-17244.60816607003,14240.0
-1957.3720975706165,29753.0
-275.9790232801897,32171.0
-14830.286150438777,16675.0
3385.231723413446,37770.0
-28875.04945308234,4410.0
-5400.167616887018,25421.0
-12673.122030677463,19603.0
1186.0814173979525,34546.0
-30666.3294997314,2187.0
-9870.288496752291,23551.0
-32604.596325176964,402.0
-10228.644153380817,21394.0
-3818.8084240262033,27288.0
-7339.000113053473,23633.0
Objective Value, Total Weight
-28794.865225343965,3703.0
-10783.237946865804,21071.0
-18055.863200159423,14155.0
-20187.837480288377,11552.0
-14636.484819466736,18173.0
-9121.753659125017,23087.0
-31336.650331329307,2533.0
-24398.61377731808,7837.0
-6841.989370239811,24872.0
-2329.8551708125815,32344.0
-15718.614112173324,16112.0
-2887.1113986493074,28749.0
-5269.49008734044,27112.0
-26343.199343844717,6498.0
-22414.91640105372,10076.0
783.4253305930179,33487.0
-12165.170954981171,19507.0
2703.661759394745,38388.0
3382.259250880961,43137.0
-32949.46846211664,308.0
Objective Value, Total Weight
-11189.423204974635,20476.0
-29266.383508118146,4267.0
-9245.207544270743,22728.0
-27448.645029503597,4901.0
-14090.933541887229,17713.0
-25311.100496576306,6361.0
-16891.598163925293,16632.0
3317.8766479742117,42318.0
-19773.146156004805,12566.0
-17322.73920958255,13802.0
-23784.650520797863,8091.0
3257.443467644007,39562.0
-21247.13168481121,10294.0
2586.1470171423935,36522.0
-30704.63273526771,2636.0
-6555.319378073,25234.0
-239.76120428182185,31352.0
-3286.5174882586434,27914.0
1387.8594428668075,34562.0
-32334.19496220989,744.0
Objective Value, Total Weight
-20868.711400748347,12190.0
-6449.968115970689,24958.0
-18450.52873040313,13256.0
-14903.111260352955,16124.0
-22020.722715431657,10089.0
-24477.47512388203,6946.0
-16892.05475533617,15058.0
-370.6242006023531,31680.0
-13546.321819487843,17681.0
-27395.01589378898,4983.0
-1909.162076782799,29319.0
4981.3652519332245,40989.0
-32612.385012138642,396.0
-3885.4447007239214,26795.0
3772.9550560395655,38205.0
-29787.84090702294,3022.0
-8469.988551913426,22041.0
-10417.201036995866,19963.0
492.29269938620564,34258.0
2860.0911897999686,35926.0
Objective Value, Total Weight
-26891.59247490421,5761.0
-25032.903751340084,7485.0
-23664.687522121858,9435.0
-362.0764144715213,33731.0
-5421.004838480381,27820.0
-21926.95962757559,9936.0
-15166.833161851471,17894.0
-10832.03292175936,19746.0
-7484.647161413253,23906.0
-3133.5161030797753,29421.0
-16425.932178937328,15404.0
-20044.259187225733,12130.0
-29885.2337076639,3239.0
882.3640524303992,36030.0
-17570.26975519296,13169.0
-12837.441124694458,18784.0
-9094.821931788785,21734.0
-1510.9284526137417,31930.0
3171.3824250232865,41169.0
-31923.109991143232,890.0
Objective Value, Total Weight
-18795.12455215377,14968.0
-27830.54273346322,7106.0
