Objective Value, Total Weight
47998.65297077561,279057.0
10179.94560031814,225986.0
22584.344904434984,242522.0
34295.09442687553,257439.0
5946.533845251659,221422.0
28953.26406466996,249682.0
32670.94251697237,254419.0
43281.18150577287,271167.0
12335.313221210847,227482.0
18399.91540089209,236796.0
3077.635814846086,218634.0
27047.051167047233,247669.0
-3439.6650562728173,213300.0
45317.942283908546,275523.0
36781.10768498294,261286.0
20954.939444420103,239861.0
38880.93745627126,264212.0
50671.68668185093,284357.0
24819.539762449684,245404.0
16288.37767030648,234014.0
Objective Value, Total Weight
54547.55513701355,294409.0
6570.07108472049,221246.0
-191.26369771483587,214539.0
41039.807458219,266437.0
45401.52723413095,274007.0
37040.36154717702,260203.0
12035.445251956582,227553.0
39470.80106548342,263741.0
52436.86858872173,289514.0
47721.99038679717,278281.0
13967.073795988574,229371.0
18012.089867520786,234456.0
51452.28912673268,285950.0
21304.08078495355,237399.0
23330.238755526196,240523.0
27890.02047975338,246558.0
-5495.581893120776,208194.0
7952.8236234640935,222978.0
34660.93384938489,255875.0
30012.43736434722,249063.0
Objective Value, Total Weight
44071.57104024291,275825.0
30587.05273260019,253555.0
41753.365270267765,271823.0
52154.771520446346,291195.0
47819.88394940202,281193.0
18178.014891842613,238027.0
24870.5458776913,245205.0
50865.78873104142,289083.0
54380.662825383886,299166.0
28220.090597913135,249548.0
27392.035302114906,248485.0
39004.90624014003,265894.0
35944.14699517388,261722.0
20123.281670397264,240871.0
33792.42274997046,258025.0
40526.32960919675,267968.0
6359.939535478421,224541.0
14974.12391295255,234879.0
9216.476942727633,227330.0
12561.183446512034,232199.0
Objective Value, Total Weight
50226.646004961105,284345.0
39731.4902632974,265568.0
55845.98847534828,296517.0
29219.429295155453,249709.0
54008.65243088355,292411.0
34381.435641169664,256720.0
20041.258234654495,239836.0
26756.42833429482,246845.0
51644.21181224816,287488.0
23995.090092851897,243363.0
36657.57490871893,260429.0
47769.8393896959,279816.0
45133.50267366588,274987.0
59408.70246098348,308024.0
31104.952855487296,252560.0
8219.048940215376,224318.0
14250.893504348118,231362.0
42541.76934702392,270548.0
18242.368890230427,236951.0
10565.05312184419,227693.0
Objective Value, Total Weight
58793.80316248612,309583.0
36867.147895209084,261298.0
56708.54576246854,304327.0
40540.58903629775,269600.0
53912.226438562386,294644.0
46026.26969371206,278716.0
30985.007889871544,253557.0
25673.957615086227,246568.0
61745.33041337493,317794.0
52570.71798205783,291150.0
49963.70847850561,286242.0
12411.630727195065,229803.0
48620.41263107653,282841.0
39151.50347187981,266796.0
44146.68121080467,275681.0
27890.72169869067,249408.0
32787.90980105376,255867.0
23783.456098009832,244044.0
21108.11424028105,240677.0
17430.07778408157,236062.0
Objective Value, Total Weight
31338.444698872103,254458.0
26559.495830194035,247144.0
53817.75317635859,291741.0
34033.308228596405,257754.0
28798.70754444634,250450.0
37712.377274384664,262515.0
41823.46351929428,268414.0
17231.333431245992,234819.0
10821.604372594971,226924.0
20445.397065321158,239009.0
48075.358384017425,280845.0
15032.872419924359,232337.0
-7042.096300763311,207169.0
23974.650950362964,243306.0
51304.79946536268,286565.0
44996.63767110155,275053.0
6861.496718360751,222453.0
3543.8682282853406,218428.0
-4365.289985548647,209481.0
-15961.48559618427,200580.0
Objective Value, Total Weight
5480.072767018981,221236.0
26141.118810258515,246182.0
24799.87016422808,245242.0
13473.834883877425,230592.0
53620.955549570324,293407.0
29565.09574018343,251658.0
48085.11074815353,282778.0
46342.510355744394,278964.0
58122.337723999575,308878.0
19839.48608490947,237864.0
8923.356823490874,224772.0
32349.806444475427,255629.0
43719.99789364514,273643.0
22140.44654999947,240673.0
51200.584070156154,289963.0
38125.341704110324,263852.0
16663.23705599521,234498.0
35941.46954410244,260571.0
40922.926627096895,269052.0
-4171.460543373425,211841.0
Objective Value, Total Weight
38420.16714905051,262892.0
39666.5705790699,266046.0
52410.48328577768,290704.0
15633.799200167588,232424.0
31602.50412814453,251844.0
35383.61222827266,258061.0
10961.182131069188,227443.0
4179.683045673708,220300.0
43275.43256096856,272411.0
36410.65442587889,259794.0
44981.690007420955,276443.0
50895.66783226386,288202.0
47669.58569267491,281677.0
25113.362437812437,244472.0
18262.49441292882,235803.0
28716.709534653288,249542.0
8746.297603053099,224913.0
20545.31042318605,238534.0
1785.6002180952928,216617.0
-5439.844146379619,209792.0
Objective Value, Total Weight
44422.542567097174,273088.0
24547.244320563972,244851.0
43000.430817447486,271470.0
57706.88910905027,300548.0
46969.26362324605,276722.0
48221.72354675556,278817.0
28635.37061738677,250529.0
50073.48861578654,282232.0
33025.51902517676,256540.0
36435.39365607168,261157.0
60724.321457800455,310276.0
56004.44726823701,294394.0
18339.152328098426,238560.0
53354.26618463406,287532.0
37721.90872282104,263566.0
14629.273305439914,233385.0
31266.434214540874,253887.0
25707.20201642404,246490.0
40124.40323744132,267396.0
7769.7101050711935,226985.0
Objective Value, Total Weight
23807.402020503534,242590.0
36989.52011652308,259607.0
51782.879407136585,289886.0
18805.877839095017,235143.0
39730.730453910655,264586.0
45077.413637624646,273844.0
49947.850977292575,282388.0
42508.38893041125,268068.0
54212.39516471786,293851.0
26316.297737051907,245957.0
30994.957099508203,251662.0
8062.4745297409245,222523.0
-824.1759468110977,213606.0
46542.6662668254,275470.0
29154.45477209176,249509.0
14608.395538992598,231023.0
12472.233009869582,227774.0
20358.2243249616,238379.0
3503.601992651238,218621.0
34098.6531823508,256131.0
