Objective Value, Total Weight
57022.91663942661,299059.0
36435.11932008248,256500.0
59701.98679824709,303647.0
41867.582041558344,265212.0
39232.03504480916,260381.0
19356.745040292793,232449.0
34074.56512510852,252758.0
8257.987833451538,219967.0
46670.209206800966,272170.0
3786.0098371906206,214264.0
53144.87414349057,286083.0
50566.86776469863,280051.0
17508.784078203258,229656.0
-8513.087775724009,201591.0
12607.031484355568,224270.0
-3715.389619237947,206148.0
26019.79458918469,241405.0
30020.24767173326,247009.0
22567.910771670577,236545.0
-16553.675270557113,196355.0
Objective Value, Total Weight
39910.06892798992,260245.0
11125.836797190306,223531.0
62923.40119171899,306819.0
1267.7153670697007,212778.0
19699.530661875964,233911.0
22338.9333078278,237200.0
14092.78933505289,225697.0
5266.716431697831,217598.0
51817.16888406605,280800.0
27645.129611687735,243031.0
42622.71295584616,264767.0
33206.787747768045,250905.0
37306.62319826492,256809.0
56004.73872554145,289422.0
30278.184443775914,247315.0
60334.81936655764,298720.0
49354.85984741413,275874.0
16266.721571507398,230133.0
-2757.242657603638,208538.0
46825.19279210735,272143.0
Objective Value, Total Weight
57401.61148325825,296707.0
29691.419034056657,245961.0
54507.34170066792,288413.0
44244.09411240538,268171.0
10720.92884594301,221759.0
1236.2877594587335,212065.0
47397.6100702674,274009.0
21151.278832193406,235689.0
-2864.5112163732992,207458.0
17311.706043914135,230217.0
39762.53355323273,260565.0
24539.950925104495,239370.0
27018.094686392753,242598.0
12644.567782005004,224422.0
-7317.767508619494,202461.0
35740.701289729215,253845.0
51254.98716302618,280970.0
33769.6599554845,251181.0
6367.340403051348,216770.0
-15565.808104811353,196559.0
Objective Value, Total Weight
46049.42174006504,271611.0
4718.312308098888,216602.0
15111.598049354856,227817.0
1767.7863802442735,213281.0
41173.199085811735,263016.0
26733.324347100395,243014.0
53901.893224363856,287937.0
24881.330697550788,240747.0
8434.32486697787,220647.0
21999.944061155606,236204.0
12199.593015276245,224223.0
51204.18228252983,281389.0
17192.149617383548,230218.0
48042.731774539745,274436.0
28572.82356540044,245822.0
31729.233870167693,249533.0
44186.453879436245,267961.0
38405.24235368491,258863.0
35296.22315383924,254071.0
-3069.941537881037,208117.0
Objective Value, Total Weight
47759.24272703956,274396.0
49351.715402649075,278375.0
25320.43661037454,239604.0
57090.99078675598,294481.0
44830.714382478385,268741.0
18406.546030731522,231302.0
28545.59396014741,245187.0
13082.013552091725,224951.0
32890.922781713016,250207.0
42744.336712857534,265872.0
35170.82822581619,254004.0
52467.38592632848,284210.0
22967.80277226458,236718.0
41085.777237794944,263066.0
38080.98320168373,257475.0
15509.754674711206,228128.0
8855.220857590262,220676.0
852.1565113618854,212691.0
-4465.5292626105365,206978.0
5240.972864057578,217018.0
Objective Value, Total Weight
12256.904108831193,222708.0
16445.043471869954,228600.0
-121.17203460127348,210194.0
53604.0081943454,288276.0
29514.19811866444,246457.0
56271.168523912434,293645.0
46560.75081353547,272362.0
37329.31511861726,257600.0
21909.291231453826,235605.0
44347.68779302033,269070.0
-4938.613587202446,205408.0
4259.419536050351,214272.0
-9256.9945224252,200659.0
18988.21447890217,231909.0
-13754.896378053672,195888.0
9027.379160146345,219089.0
25558.54827635642,240131.0
33958.82118506939,252189.0
40568.84146168869,262132.0
49385.257239581144,279301.0
Objective Value, Total Weight
47490.641042071045,274536.0
45036.968836707005,267919.0
3655.982872988039,215349.0
31964.519526049728,248214.0
41911.79397432192,262950.0
18509.91251635243,231230.0
13700.917747320607,226001.0
23387.49483011372,236882.0
25747.677724814974,240747.0
11070.320693754591,222958.0
29570.215950401907,244836.0
36024.174088664586,253797.0
33099.321307579,250049.0
53457.04542351473,284270.0
7000.281818584888,218126.0
16446.68207890319,229242.0
51156.82178566663,279734.0
38145.862003095564,257474.0
49567.01796980825,276929.0
538.1504162350902,213271.0
Objective Value, Total Weight
29434.916501737258,244326.0
42125.26548000908,262908.0
31310.757809125585,246705.0
47912.374520507525,273730.0
34061.72167571349,251386.0
46355.32316091203,269692.0
56333.03753892332,292834.0
11759.210548695468,222752.0
59231.65352694329,298953.0
53802.83411542658,286160.0
40502.86870981689,261138.0
1830.6673683785484,211997.0
49780.89132518723,276671.0
5804.683892626199,216498.0
37469.77840311482,256532.0
25773.950379464775,240386.0
17565.613722934795,230265.0
22468.70187091577,235954.0
14284.520771414042,226922.0
19641.892350701208,232552.0
Objective Value, Total Weight
41773.67143275688,266522.0
46497.66066385986,276249.0
48710.899903307494,281118.0
40558.265672976966,264349.0
13397.767634547723,225061.0
10861.28784774663,221217.0
16715.01756475476,228740.0
20026.56248705025,233492.0
3152.597895572573,212578.0
24404.77482850972,239537.0
-116.40033081558067,209086.0
-18087.06588351549,190298.0
27358.07430999761,243303.0
-12064.177790037269,196035.0
5544.785270122811,215922.0
-4743.817843322788,204355.0
35440.95793619793,255987.0
-9464.314070087858,199046.0
31411.85823086492,249852.0
-30528.82802840817,179493.0
Objective Value, Total Weight
15235.468764081888,228951.0
55067.44279497332,291182.0
18406.40872700204,231928.0
44133.36929744773,268946.0
31064.130833144416,248580.0
42220.32644257916,265738.0
38432.93781149993,258934.0
37197.20955814631,256558.0
47210.644488669524,274651.0
35302.79269414628,253795.0
49920.4433528434,278788.0
22650.419113553944,236930.0
-4464.107081809721,207605.0
-2483.238375030167,209324.0
8535.351892935229,220892.0
3533.5023154612863,215885.0
28895.630534205236,245621.0
25463.985510006372,240722.0
51453.8081755655,282535.0
13657.144854886748,226619.0
