Objective Value, Total Weight
-183659.7138890319,37779.0
-214017.81230521994,6882.0
-201732.72411126894,20453.0
-165166.31269950356,58334.0
-192998.4366616158,29570.0
-157316.5718305104,68496.0
-115730.65357708218,112776.0
-76123.22442638635,159207.0
-173811.66680531553,49658.0
-94451.59849529143,133929.0
-104661.84967846712,123910.0
-144184.0560745008,79412.0
-133662.19130608762,90842.0
-7894.513057439472,244311.0
-84839.44016633599,145458.0
1143.280856643396,261092.0
-124152.20908039651,101781.0
-29759.55556043086,224051.0
-20543.851989160816,234844.0
-221701.75999999998,0.0
Objective Value, Total Weight
-183403.44380037085,39939.0
-172537.19298930757,49827.0
-123359.13238333387,103380.0
-215085.4885956589,6162.0
-193775.53419846247,28339.0
-201192.92007680447,20214.0
-206532.7220713323,14205.0
-167138.81899733059,55968.0
-148703.40023706775,75090.0
-48868.32472224592,193526.0
-31589.728390458156,216890.0
-132081.58870694853,94378.0
-103208.55454239968,125350.0
-114154.5263983405,115003.0
-156201.1190670733,67388.0
-4065.7077675716137,255940.0
-17802.793009236397,234504.0
-92661.13752725476,136523.0
-139438.04794522678,83985.0
-221701.75999999998,0.0
Objective Value, Total Weight
-142912.53706218602,80860.0
-200474.12262484452,21114.0
-19000.013635336712,236160.0
-188757.01501631405,34110.0
-213233.26288850396,7668.0
-194292.99677732727,26614.0
-169821.9261864786,53320.0
-209241.62335817507,12239.0
-175674.36387088514,44876.0
-184206.63540151768,38114.0
-158913.12903457822,64243.0
-131793.95077168132,96155.0
-27669.86691278516,212977.0
-110665.99017149702,116142.0
-99383.02468358571,130341.0
-152301.74634999115,72316.0
-86877.40912469977,147566.0
-946.4361446863622,252172.0
-119936.3741268781,106675.0
-221701.75999999998,0.0
Objective Value, Total Weight
-185821.50432997526,35831.0
-201391.36535551288,20446.0
-155979.4989964239,67892.0
-164869.86465340713,57121.0
-174692.7234980528,49224.0
-99065.06487099329,133195.0
-194872.3160504604,27951.0
-148191.17144669004,77563.0
-74289.18073502637,160335.0
-85606.36086463943,147097.0
-210937.31958715792,11628.0
-125914.02802822276,100366.0
-137945.31600874453,88899.0
-107733.41206519457,122473.0
-115967.47794387478,110554.0
-33339.38629531651,212477.0
-27976.820551556302,229909.0
-3859.647971066239,260118.0
-14463.372335857828,239579.0
-221701.75999999998,0.0
Objective Value, Total Weight
-206242.2018518279,15090.0
-198871.0665908588,23339.0
-189172.4560647687,34329.0
-162851.90568027648,57182.0
-144670.32632678538,78808.0
-179482.7735120062,40454.0
2162.8869370670873,255350.0
-173817.82742011183,50104.0
-125737.43081362115,102517.0
-155594.72360145487,66256.0
-96018.88259566645,133366.0
-84789.37895584689,142081.0
-115727.57667040633,111282.0
-134159.40158746403,91588.0
-45318.14659741969,203033.0
-13111.881578126282,244706.0
-106204.01761980861,120338.0
-19174.236513734097,230689.0
-31484.32560877339,221704.0
-221701.75999999998,0.0
Objective Value, Total Weight
-180535.36662083774,40892.0
-189673.58687014304,31061.0
-131264.93828971725,94932.0
-204066.49306941402,16759.0
-172585.7618532654,49235.0
1224.5175469886744,266021.0
-160736.25689632286,60729.0
-141714.63971942026,83066.0
-150906.6676964891,72814.0
-12949.218841383408,242853.0
-210939.34788168248,10586.0
-110210.08974963718,117482.0
-92068.01247656794,138558.0
-4309.875497235043,253466.0
-19366.656105179864,230533.0
-99867.08581212594,129481.0
-120090.11176958989,105227.0
-28712.655394780682,218595.0
-79848.47098660501,151518.0
-221701.75999999998,0.0
Objective Value, Total Weight
-211085.1089822396,10548.0
-197829.92038085335,23525.0
-188745.66212355936,32622.0
-16296.067007374717,240833.0
-169314.72574586945,51618.0
-159368.83805821437,62504.0
-82822.74395811197,149068.0
-107379.64791587504,118517.0
-148637.22698172042,73532.0
-178306.8470811926,43625.0
-43782.18937750731,200877.0
-88362.5390696452,137002.0
-98036.9177911951,126176.0
-137236.30839120914,85204.0
-125776.40597719749,97599.0
8671.556095939828,269595.0
-24727.99225788488,218133.0
-118133.7445795623,109912.0
-2578.771433953778,250310.0
-221701.75999999998,0.0
