Objective Value, Total Weight
39529.80547146383,79310.0
40736.04937031263,81474.0
40030.09440828106,80081.0
37203.02179198916,76168.0
35716.095630351585,74523.0
36402.586587662125,75194.0
38482.09007226453,77870.0
39049.68304554255,78702.0
41896.28658183846,85639.0
38746.861061820004,78250.0
40448.51879580888,80925.0
37947.295357826195,77156.0
37553.74681639498,76704.0
36794.78844402054,75716.0
34727.910601991476,73442.0
41141.608129740736,82099.0
34727.910601991476,73442.0
33618.41851236168,72330.0
35929.91778396124,74715.0
31279.23650598734,71365.0
Objective Value, Total Weight
39896.59126491587,80153.0
37413.57265830679,76528.0
33475.36034852614,71662.0
33920.359477018574,72134.0
36717.231436190006,75637.0
38904.07681614511,78682.0
38378.01580276512,77950.0
35670.64128311642,74136.0
32401.691188317272,70621.0
40589.96749629421,81373.0
29228.40094100668,67480.0
37742.37018151191,76999.0
34904.6873557076,73235.0
30967.44507705787,69249.0
31584.874482279134,69720.0
35211.105605790755,73580.0
39540.92129627355,79575.0
30059.055432289068,68427.0
36280.359592213325,75025.0
27666.784082690938,66374.0
Objective Value, Total Weight
35417.8571913935,74149.0
37286.213814497605,76465.0
40334.934776880094,81065.0
41892.50096622604,84663.0
36823.26065160797,75852.0
32192.679033675842,70462.0
37982.97780384468,77451.0
33877.63950775568,72313.0
41376.00709615783,83027.0
38815.04662828638,78681.0
36045.43528406382,74824.0
34770.72497884686,73385.0
39254.94953984242,79287.0
40872.69094668726,82103.0
33421.4637196531,71850.0
36407.735793865126,75277.0
40137.4285721694,80717.0
32686.999906140787,71018.0
30862.426777580404,69373.0
30004.558019768883,68387.0
Objective Value, Total Weight
40808.1744631543,82299.0
36341.65194293087,75400.0
38353.25978921428,78120.0
37112.21944950028,76388.0
32037.345650035088,70395.0
39806.95120158023,80347.0
33009.46822321409,71508.0
39299.03019431645,79522.0
38939.4879782537,78987.0
33572.976909352816,72146.0
32479.836447108,70904.0
37821.90324816188,77352.0
40695.15398765642,82076.0
34316.908843677564,72958.0
35647.46766232513,74510.0
35242.961686619674,74006.0
31474.206702464013,69838.0
30710.44318316452,69014.0
28910.48962395286,67769.0
28312.4114696944,67131.0
Objective Value, Total Weight
40310.637814731,80545.0
35034.527206767685,73441.0
34063.89853696781,72301.0
39709.87503005816,79539.0
36991.493993345284,75824.0
39449.210664085535,79193.0
36089.46128353219,74681.0
38609.31890396611,77970.0
37338.232049580736,76282.0
38021.19515521714,77063.0
40677.65639068502,81249.0
36572.22157763466,75294.0
35586.551457931244,74083.0
38951.82757210164,78393.0
38349.069106998184,77563.0
32717.85975403803,70956.0
33225.073478372506,71576.0
31941.639435693112,70140.0
34588.97952210465,72899.0
31238.129061293177,69400.0
Objective Value, Total Weight
41788.82421206837,83534.0
38830.07338765888,78252.0
39572.944311803774,79290.0
36758.49388483068,75397.0
38298.691765517826,77536.0
35730.98437832162,74145.0
33087.22470947649,71421.0
33783.805130362016,72219.0
37798.1651162355,76759.0
40765.366245581536,81262.0
35116.19357264078,73492.0
34430.33830267015,72757.0
36008.100852574615,74493.0
37129.69394221646,75904.0
39960.15158891992,79900.0
32183.915660619416,70606.0
30737.04178430882,69187.0
31750.91695241649,70211.0
31303.309943955683,69707.0
28987.843596528255,67781.0
Objective Value, Total Weight
34359.835167582656,72690.0
38515.26078540814,77681.0
40370.23951562159,80421.0
34957.28128056618,73272.0
39949.66766019059,79744.0
41032.60103385664,81580.0
39145.139386257244,78596.0
39350.85273982985,78879.0
35988.00818481411,74457.0
37435.74797904119,76211.0
36559.802570894564,75145.0
37208.50079147676,76010.0
38043.71099069975,77043.0
32424.749757145604,70642.0
35801.94026258841,74241.0
31219.969339246396,69422.0
31497.80771230381,69748.0
33322.83831229275,71557.0
33807.631709397014,72052.0
29582.511227860407,68010.0
Objective Value, Total Weight
39158.88858694084,79045.0
40284.601204479724,80933.0
35832.90736241211,74542.0
40788.8658439117,81749.0
39743.76276411202,79861.0
33985.67261290178,72478.0
37285.8302819339,76524.0
37863.68361624815,77209.0
36772.38251024658,75830.0
34719.700066240504,73180.0
35306.39678109219,73994.0
38702.99132125967,78331.0
32775.6730785424,71106.0
31777.98968950793,70036.0
29020.36280966786,67126.0
30378.013923362567,68494.0
33431.158296869005,71784.0
31185.01600399232,69354.0
32171.204020831443,70484.0
27200.89295604026,65947.0
Objective Value, Total Weight
35999.5585309717,74660.0
36277.29861751699,74967.0
41211.19901264906,82207.0
38290.08114843829,77471.0
39935.53639546338,79842.0
33578.33555169297,72004.0
40607.9490639647,81166.0
38051.028193051665,77185.0
35394.7530188095,73916.0
36915.35163675973,75717.0
34623.31959599524,73015.0
39554.266164138,79307.0
38709.09095962423,78006.0
39245.87790696557,78866.0
41868.471159862966,84547.0
40325.68612866185,80480.0
37408.786133290734,76355.0
34136.42871331789,72448.0
32676.133052406352,71164.0
31686.203189092324,70401.0
Objective Value, Total Weight
36713.866236239235,75399.0
37369.04625813002,76074.0
40352.63305694191,80527.0
37533.905021901606,76261.0
39891.23466166809,79783.0
33049.90951719324,71145.0
38752.61589126839,78028.0
32729.97769273522,70781.0
35587.09771039452,73994.0
33850.07944209635,72059.0
34360.76259330912,72682.0
37900.53867603233,76893.0
35124.56939234689,73438.0
39391.293153203864,79157.0
36381.22135279377,74964.0
31165.81312635698,69228.0
32182.23592684006,70250.0
30501.286905208137,68484.0
29804.546428358837,67760.0
28368.582762685386,66740.0
