Objective Value, Total Weight
-26439.205201828125,27974.0
27836.5581736303,84690.0
-26439.205201828125,27974.0
27836.5581736303,84690.0
-11114.569575638307,40649.0
23352.062832261276,76352.0
-5239.531158075057,46721.0
26564.889028992737,80823.0
-26078.799394644477,28289.0
-14789.666369552608,38278.0
5248.738398144953,56704.0
-4043.8400616360013,47564.0
20498.388908920693,72003.0
978.7613704489049,52859.0
16607.994990269566,68187.0
54.72293628605257,51208.0
-20224.054222269144,32776.0
18649.42654762468,71310.0
14637.564484048373,66124.0
-20224.054222269144,32776.0
Objective Value, Total Weight
-25398.423926222313,27931.0
29157.464254097635,85280.0
29157.464254097635,85280.0
-25398.423926222313,27931.0
-12388.63894360169,38676.0
14372.490946744205,63877.0
19630.795158836467,69571.0
-19529.282752731306,32821.0
23156.364449155823,73609.0
-19529.282752731306,32821.0
-1398.4355646478507,49801.0
-7467.501129070442,44141.0
-9473.891344505086,41534.0
10474.920845342771,61071.0
3060.3995395617676,53582.0
27099.647830893635,79507.0
-3594.879046127331,47030.0
28523.51159513372,81757.0
17209.876521103113,67257.0
9345.114834717388,59273.0
Objective Value, Total Weight
27478.653533463366,84864.0
-21556.195892220247,30666.0
-21556.195892220247,30666.0
27478.653533463366,84864.0
22730.946882507313,76035.0
-13440.509954619687,38035.0
-17668.524174495033,33917.0
-7598.889847682876,43348.0
18137.400730215522,69728.0
20558.39025862486,72806.0
-3545.212654331117,47236.0
2599.5630260165635,53144.0
-11271.604633474024,40534.0
5390.782765340002,56037.0
15648.08928163274,66801.0
-9755.399189880525,41659.0
9479.494677287279,60820.0
11935.503270003508,63358.0
13040.084426999281,63415.0
15172.631246892633,66053.0
Objective Value, Total Weight
-17588.660712962956,33159.0
29099.59237254731,84168.0
29099.59237254731,84168.0
-17588.660712962956,33159.0
22979.361456983563,71872.0
-12401.205909568205,37542.0
5991.381487806226,54543.0
9457.457546102014,57677.0
16057.003681472794,65295.0
17856.62384731164,66233.0
-3691.1399580997386,45241.0
20004.10661919105,68523.0
12117.95405796358,61100.0
20222.16662651462,70332.0
10976.658196619363,59268.0
1587.4583408001054,50830.0
354.122288955914,49812.0
-971.0092124239163,47665.0
-2058.5252114781615,46861.0
3746.442954122045,52357.0
Objective Value, Total Weight
-26898.516811251087,28573.0
26520.6225018384,83574.0
-26898.516811251087,28573.0
26520.6225018384,83574.0
-13161.051666016021,39250.0
24899.662794881326,79042.0
-9680.760251359723,43007.0
-18149.291179879903,34933.0
21566.679143150235,76367.0
17766.546505188613,71231.0
14253.552477980804,66725.0
20730.019480502495,73410.0
-1035.8476655469858,51728.0
-7099.580979261809,44880.0
16605.05062189464,67769.0
-24292.800879067247,30587.0
3680.0485878417385,55430.0
-20739.761965590907,32919.0
11265.999356695742,64101.0
1535.9285405214905,54507.0
Objective Value, Total Weight
-26709.588778391568,25543.0
26451.590570740067,82594.0
-26709.588778391568,25543.0
26451.590570740067,82594.0
-20382.06134351503,30613.0
-10257.296481220794,40648.0
-24336.16602458997,27465.0
24686.351140449304,78549.0
-14414.511639460776,36115.0
-16797.399586260144,34697.0
12904.921798340103,62179.0
18310.104876059544,70743.0
9466.79525624444,59748.0
17983.99374127423,68833.0
15534.985007772659,64891.0
8484.218668740024,57400.0
5184.955202462996,56318.0
23243.999301077987,75172.0
-5231.704593352872,45080.0
738.2003796135541,50074.0
Objective Value, Total Weight
-31341.8365672723,22882.0
26642.799430528845,85062.0
26642.799430528845,85062.0
-31341.8365672723,22882.0
-20269.40465410553,33070.0
-6358.977443104028,46014.0
-1560.8059421255311,48802.0
-25518.52152175785,27101.0
-15359.415247216151,37267.0
-25066.614779015246,28617.0
603.6590606928803,52378.0
4349.548757468525,55585.0
8447.11111492652,60480.0
-9939.099396528676,42233.0
-13787.658521255536,38300.0
13776.841416057898,66109.0
-11102.909557879611,41588.0
11433.462330144685,62628.0
3333.900348187264,54989.0
26083.856509290243,81385.0
Objective Value, Total Weight
-27312.730414790814,25546.0
27901.655975160218,84924.0
-27312.730414790814,25546.0
27901.655975160218,84924.0
25827.54574562091,78533.0
21478.452431113445,72922.0
-23683.258542031457,28501.0
-1968.886210283148,47524.0
12506.499398195068,62294.0
2422.5084209176275,51558.0
-20593.468776904643,31048.0
-7717.371470239988,43024.0
9569.723214066093,59273.0
18375.715632461055,68783.0
-10988.95428625436,40224.0
-14341.921637757376,37128.0
14896.717389181795,65576.0
18776.53760840505,69773.0
-17393.30643666911,34581.0
-6021.556970633741,45142.0
Objective Value, Total Weight
-14228.54022029163,36122.0
30677.83703266589,85152.0
-14228.54022029163,36122.0
30677.83703266589,85152.0
18721.985956423974,66991.0
13983.201187712228,62301.0
24799.519534752777,75469.0
21358.13365867235,69871.0
-1275.8587785451818,47236.0
11786.745045735355,59221.0
5862.002208151665,53158.0
29462.318626091204,82295.0
320.42608020087937,49717.0
-9503.685468513213,40159.0
9329.35929572089,57614.0
21222.224719924983,69801.0
-12446.336061330207,37791.0
-11401.668472967896,38692.0
-5960.28689552327,43222.0
13587.656235200062,61019.0
Objective Value, Total Weight
28415.0754275168,84762.0
-26684.00580003357,27208.0
28415.0754275168,84762.0
-26684.00580003357,27208.0
-15221.777984669941,36943.0
-21230.78240910248,31441.0
-10012.857366820244,42693.0
25906.095756329538,78407.0
-2631.3693656130345,48028.0
9723.67384137299,61721.0
-23978.207325678042,29540.0
14399.000502955547,65267.0
3766.1331934369955,55041.0
-5711.885408602771,46866.0
-17226.03119604307,34911.0
-7439.030717600821,44259.0
23872.622394761507,78067.0
-168.76040673747775,51745.0
21109.525880495232,73753.0
7090.843541998489,57159.0
