Objective Value, Total Weight
118995.1464952447,672465.0
-303189.3053651491,127581.0
118995.1464952447,672465.0
-303189.3053651491,127581.0
-245066.21281349286,192299.0
50083.958524386166,554019.0
-134771.24019113404,325299.0
50083.958524386166,554019.0
90375.27233028482,615175.0
-134771.24019113404,325299.0
-17190.106256212224,477343.0
-21898.82004733605,468535.0
-84495.98692778556,402059.0
-17190.106256212224,477343.0
-186520.36208158062,262738.0
-90118.63019055489,393281.0
-84495.98692778556,402059.0
-21898.82004733605,468535.0
-299692.75019592204,131135.0
-186520.36208158062,262738.0
Objective Value, Total Weight
119648.51395761606,670184.0
-312212.93885789934,116021.0
119648.51395761606,670184.0
-312212.93885789934,116021.0
-13563.524592804839,479669.0
-13563.524592804839,479669.0
103936.35420673154,626844.0
-158381.7964973221,289552.0
-212241.17926528276,226251.0
-109712.91816870391,356535.0
-268295.07891160523,165871.0
44012.70138936385,531205.0
-158381.7964973221,289552.0
-109144.3431854858,357804.0
-109144.3431854858,357804.0
51614.612466978026,545329.0
-213240.39761112304,225262.0
51614.612466978026,545329.0
-213240.39761112304,225262.0
-268805.3210046385,165449.0
Objective Value, Total Weight
-303210.4184840986,125346.0
126165.9903643555,677518.0
-303210.4184840986,125346.0
126165.9903643555,677518.0
35480.635141542065,523362.0
124559.10367498011,674788.0
-101787.15814513247,364796.0
-296310.7091486366,134944.0
35480.635141542065,523362.0
-147822.15328201302,302207.0
71741.5288431365,593133.0
-194994.10599861236,247752.0
-244750.23783749912,197220.0
-45529.401725367294,446098.0
-147822.15328201302,302207.0
-194994.10599861236,247752.0
-45529.401725367294,446098.0
-54528.61481358332,435498.0
73503.91452372703,600369.0
-54528.61481358332,435498.0
Objective Value, Total Weight
-309958.6187703921,119791.0
116908.9940134018,668822.0
116908.9940134018,668822.0
-309958.6187703921,119791.0
-205110.16105640598,236119.0
112577.4228976398,654050.0
-303216.58396663266,128919.0
-75079.48397827847,402332.0
-20073.186327124597,460831.0
-73291.98928574147,404167.0
-303216.58396663266,128919.0
51449.300506624626,565390.0
-19847.920818550163,461271.0
-180392.25640097808,265213.0
-180392.25640097808,265213.0
51449.300506624626,565390.0
-19847.920818550163,461271.0
55476.09865857207,570797.0
55476.09865857207,570797.0
-125755.19347957522,334189.0
Objective Value, Total Weight
-290117.76228617155,136892.0
118157.50721628149,670140.0
-290117.76228617155,136892.0
118157.50721628149,670140.0
-119385.69155469013,341301.0
32303.31738667225,571877.0
-62221.92794608371,412804.0
32303.31738667225,571877.0
-62221.92794608371,412804.0
-237973.46897994267,194980.0
117896.29171904153,668843.0
-18753.448463979526,475044.0
-18753.448463979526,475044.0
117896.29171904153,668843.0
-184359.58248135343,256853.0
-184359.58248135343,256853.0
11429.190900228568,530367.0
11429.190900228568,530367.0
-114148.25113595044,347649.0
-114148.25113595044,347649.0
Objective Value, Total Weight
122055.42004539678,673081.0
-298905.69287569815,126106.0
122055.42004539678,673081.0
-298905.69287569815,126106.0
22645.132100482937,560986.0
121227.86821577058,668985.0
-204315.0905332219,230695.0
-106562.16788716405,371219.0
-157435.53064987,301926.0
-52231.80822690239,420881.0
-10358.75124329119,489003.0
-208504.82918424578,224418.0
-294228.07966866076,131652.0
-106562.16788716405,371219.0
-10358.75124329119,489003.0
-52231.80822690239,420881.0
76218.96595249337,590059.0
-294228.07966866076,131652.0
-208504.82918424578,224418.0
76361.90968940931,590470.0
Objective Value, Total Weight
-297568.9363172173,130657.0
-297568.9363172173,130657.0
124520.65320080263,672741.0
124520.65320080263,672741.0
28543.73588611069,525180.0
-241271.21840690507,195286.0
-115947.98860689427,343807.0
-172010.7361135956,278299.0
-65284.67597763729,411733.0
-24562.832720862352,482561.0
92650.70697034139,610076.0
-21009.63983924326,486830.0
51231.25166774355,571054.0
-238700.54488174926,197895.0
-176618.13827891275,271593.0
92650.70697034139,610076.0
-238700.54488174926,197895.0
-176618.13827891275,271593.0
50932.4084575529,569195.0
-118511.28632141661,340799.0
Objective Value, Total Weight
-284463.8153143576,146830.0
117469.12397084746,671709.0
-284463.8153143576,146830.0
117469.12397084746,671709.0
-128185.59124667692,319784.0
-128185.59124667692,319784.0
25259.249290078063,511386.0
-77912.559587377,389101.0
81080.01856337581,595805.0
-208862.28474520153,231728.0
-31306.81082344521,461806.0
-281532.9598509193,150003.0
-30888.08312140277,462729.0
-208862.28474520153,231728.0
-231107.66613572033,205665.0
-231107.66613572033,205665.0
76769.25578436023,589948.0
24680.318542060908,510034.0
-76466.00532942789,391681.0
76769.25578436023,589948.0
Objective Value, Total Weight
-306408.04099480493,122701.0
115282.66673389624,671175.0
115282.66673389624,671175.0
-306408.04099480493,122701.0
37373.81221093412,556394.0
111099.74098801392,647258.0
32735.514691529563,550321.0
-86872.24216246454,380667.0
-144257.0983287047,320276.0
-204466.88840952015,237393.0
-144257.0983287047,320276.0
-86872.24216246454,380667.0
-267428.07402900315,167829.0
-267428.07402900315,167829.0
-30642.9738939869,474537.0
-36613.96472883166,464760.0
-30642.9738939869,474537.0
-203401.84159099963,239114.0
-203401.84159099963,239114.0
-36613.96472883166,464760.0
Objective Value, Total Weight
-320231.2449994658,102044.0
-320231.2449994658,102044.0
113849.10734987422,667816.0
-187465.16163839912,254178.0
-187465.16163839912,254178.0
-252462.8402721837,173793.0
-252462.8402721837,173793.0
35087.370925572235,538002.0
112445.78642316232,665459.0
31636.451756640454,530756.0
35087.370925572235,538002.0
-47664.806310210726,441529.0
112445.78642316232,665459.0
-121234.27806534432,341632.0
-121234.27806534432,341632.0
31636.451756640454,530756.0
-47664.806310210726,441529.0
-114744.08416076377,350697.0
-114744.08416076377,350697.0
-317641.8384143481,104491.0
