Objective Value, Total Weight
116844.62039575726,671968.0
-244896.9496966927,180616.0
-244896.9496966927,180616.0
116844.62039575726,671968.0
66300.40008602,524161.0
100872.67615755112,635910.0
-187848.1422926722,236879.0
-148250.32003781444,268125.0
-24572.249384050258,419502.0
1114.5536336610094,456269.0
-243864.94812479254,181774.0
-58306.795652316534,361283.0
-207423.80532750557,213118.0
-14735.305041364045,454873.0
-79870.95875162364,342056.0
-127078.28601098486,309605.0
48476.86636432947,495928.0
-37671.6671480877,384709.0
-98184.91059545084,318537.0
114238.60259737552,652706.0
Objective Value, Total Weight
120838.21347693296,673288.0
-268724.0964599457,155998.0
-268724.0964599457,155998.0
120838.21347693296,673288.0
81137.169252277,545468.0
109366.67258622614,615242.0
20209.89369528764,461724.0
-68945.80948830728,348362.0
-97938.7691129839,325944.0
-124870.72313703794,299113.0
-170021.6660932157,254108.0
54517.314577597426,500250.0
-170021.6660932157,254108.0
-21512.97287620406,406543.0
56325.951177046634,502509.0
-196071.42670590774,220332.0
-256316.05132407864,166736.0
-43912.72988707514,376509.0
-26786.629621298925,395411.0
-196071.42670590774,220332.0
Objective Value, Total Weight
115350.72166420112,666611.0
-257917.20954885584,172146.0
-257917.20954885584,172146.0
115350.72166420112,666611.0
-257554.49096458196,172538.0
39941.78223942092,485517.0
72639.23334247363,548701.0
-45029.1413058,385804.0
-142640.89025898167,276992.0
-106974.32031607802,311260.0
101862.13372184488,603429.0
-190200.5666877046,230775.0
6011.315053775907,442741.0
-9907.946962213202,421124.0
115189.11812176113,664414.0
-70054.09672014177,351519.0
-92207.3139754691,329584.0
-174217.89167474455,249760.0
-152019.95150075713,267949.0
-190200.5666877046,230775.0
Objective Value, Total Weight
-283546.97573214857,144065.0
103436.71831225918,646193.0
103436.71831225918,646193.0
-283546.97573214857,144065.0
94920.89371238835,610229.0
66750.20320161793,534736.0
57355.61211371899,522067.0
-157155.77019677282,264203.0
-14227.691777447006,413043.0
-178481.4158055216,244714.0
-262360.8152774259,171778.0
-66304.80367248465,353524.0
18643.098597871023,460792.0
-6952.801500906819,439336.0
-210183.9736215741,230887.0
18643.098597871023,460792.0
-245473.60541396769,191352.0
-226256.57327414898,194319.0
-215778.6897170486,212173.0
-94764.47032222932,322129.0
Objective Value, Total Weight
113757.420889584,660415.0
