Objective Value, Total Weight
-207380.69713660964,232973.0
98716.13545970852,657109.0
-192261.6760899349,251088.0
-152098.1344368384,293158.0
77013.8661138952,600746.0
63731.89105346915,574941.0
51324.077271918184,550436.0
-25671.981054455973,447225.0
-44337.283582753735,423508.0
88383.70436787745,631057.0
-72915.47832505556,384485.0
-9273.24547144014,471849.0
26814.531445920118,528094.0
38799.374920795904,534740.0
-146865.14183393936,303632.0
19159.543852066854,505229.0
-113317.39782334247,339225.0
-58751.67602650146,405404.0
5535.200054000365,492926.0
-131901.71819367987,319537.0
Objective Value, Total Weight
-210751.1142053684,228750.0
102151.97174794285,667818.0
-5322.194068441866,467484.0
-180426.23229981936,263136.0
-53170.51409856032,399961.0
-127397.48970296566,322287.0
-83397.07389156357,371823.0
17048.799359328812,506529.0
-28300.363157278625,435246.0
-99147.76219410799,350444.0
-49263.104486088036,419218.0
-155444.71196560073,294215.0
80183.9334634454,611296.0
-154049.5108668838,295485.0
-21113.34932278993,456083.0
66593.11316716485,589015.0
44518.60403668287,553046.0
-193622.1509921385,251598.0
93965.47659144993,643546.0
-203754.36073816335,237994.0
Objective Value, Total Weight
94866.5632750619,649228.0
-201687.86108428548,236951.0
30666.52767335158,527114.0
57621.592091829516,569571.0
-182362.08476781973,261171.0
-14322.084260541596,456805.0
-149312.59842195845,294046.0
6085.137084191549,488770.0
-59740.51205501391,398309.0
-84043.2286441375,374707.0
17456.226192638394,497757.0
-110882.2348136282,335367.0
-99110.30662336515,356651.0
71561.05562887562,597712.0
-124954.42371730681,328242.0
84780.62273410289,625990.0
-48842.70551827666,416206.0
-137750.81411479338,310898.0
-37138.469025442726,426636.0
-129523.78565765498,314761.0
Objective Value, Total Weight
99343.90442602616,663798.0
-207521.38094180886,228312.0
-158083.9990551073,283271.0
-187627.78117179783,249633.0
-130907.96369743551,317145.0
84523.08507209504,627903.0
68232.9602534083,582422.0
80074.63204049773,607917.0
-26864.35914665251,432512.0
13545.700835817726,494083.0
56226.3663169716,559781.0
-79314.2386152395,370934.0
43022.92359126336,538972.0
-9549.183857175754,457400.0
-112371.67582271027,333951.0
-92929.75166498288,355229.0
-18989.10885419126,446384.0
-42558.122900504735,415521.0
-108542.59341686597,339956.0
28465.62211158767,519563.0
Objective Value, Total Weight
-199391.15905635356,235552.0
94010.526168662,643529.0
47629.49511325918,547438.0
-162528.63667098532,276702.0
-43508.66025505203,411958.0
59959.695373721304,577785.0
-23112.837579491897,440246.0
-141128.37237966445,299577.0
-80221.78401251673,370503.0
-178671.9189651634,259772.0
31796.128490069415,517655.0
-112510.53771386785,334425.0
-61725.16557648231,387582.0
17215.104544887436,493540.0
75420.17649467499,590847.0
-131853.9934607554,313941.0
-57705.6581175325,400011.0
-120180.1928700463,320256.0
3541.740703001269,477783.0
-92793.90649921744,351501.0
Objective Value, Total Weight
96340.76649087295,660619.0
-207658.4869480795,233743.0
74075.68718418456,606937.0
-138897.00723143277,310968.0
92018.53373500041,650604.0
13890.72337094706,498807.0
-194591.03669926233,250024.0
-119420.02649159438,333906.0
-87628.45582517039,367971.0
-180063.1983853985,268856.0
-72170.19941100152,386583.0
57062.429388620425,581121.0
-159891.8467445746,286809.0
-41014.86976223008,419462.0
29264.307182340184,511856.0
-26341.6404356258,444570.0
-100403.57398949319,357933.0
-2401.1611635386944,479012.0
45600.42080920143,557114.0
-10750.980753390584,461699.0
Objective Value, Total Weight
-212973.1966466076,224883.0
97077.55463216128,671702.0
-186189.7604730177,253199.0
-147406.48723280802,299906.0
-163564.21287396573,285247.0
42625.54826718022,529324.0
-112984.50677902851,333801.0
92561.95849378256,644964.0
79228.27124672395,601086.0
60329.898187072016,575695.0
79807.97909857659,617285.0
-71786.38533896231,389559.0
-61075.59980998677,409071.0
48644.29888300784,561893.0
20780.490776893217,509124.0
5230.86381166894,483353.0
19691.39117287821,505853.0
-93299.46246809408,354066.0
-2813.3082167152315,462826.0
-13309.922649658984,454724.0
Objective Value, Total Weight
-196744.71475633164,244255.0
102886.2569213279,658007.0
67162.05376985413,582688.0
147.04700494371355,472904.0
83091.11386954994,614362.0
-21579.87544467894,443670.0
55911.15432533936,556062.0
88597.77035033493,641480.0
-75176.55869134865,384899.0
-180346.14369179902,264662.0
11684.429037804715,492109.0
-169942.61696813168,276013.0
-95122.19924952043,364525.0
-31809.741551768384,434317.0
-154738.62449967576,292665.0
-43401.69170969981,422031.0
-115232.16351953754,338640.0
24408.39129611093,505216.0
43215.17107447027,540795.0
-66090.43718865968,394883.0
Objective Value, Total Weight
99854.6596603397,666415.0
-195261.97560947196,246259.0
-101449.50027934636,353604.0
38581.11426148773,547542.0
26163.717303018086,512050.0
-123657.11120469234,325810.0
1148.7119554553647,474366.0
-172289.8094306481,271528.0
-80301.47452873457,367790.0
-34862.38161490031,427092.0
-182256.82001715916,262508.0
54719.829535944154,566077.0
-155513.1285519016,292258.0
-132112.76667549653,310075.0
-151881.02580820362,296711.0
-20982.342874192982,457535.0
91866.15623793658,651249.0
5743.912430791184,493895.0
-26041.731759796967,441383.0
86822.17801714235,623243.0
Objective Value, Total Weight
-200559.13571207662,242787.0
98607.42794787069,656094.0
-153110.26707270555,297201.0
-65809.07753099827,403510.0
-136930.55106770573,312838.0
-36168.0450344641,433854.0
25338.20243951131,518721.0
-55534.65073682659,412612.0
-83727.63643469603,370611.0
-101785.22394301312,354650.0
86258.03751824587,634673.0
58456.801686205785,575192.0
71031.81865469983,593958.0
12156.897639832227,496765.0
-174380.9830397577,273003.0
74670.49218978442,620532.0
-189428.5086585509,255319.0
-121189.34369955293,330804.0
-118080.18821372045,338358.0
1934.5004471290158,484235.0
