Objective Value, Total Weight
12451.808370474115,60611.0
9086.20002031861,50339.0
8493.391454293233,49214.0
46.44600225050817,37771.0
4546.32225123392,43406.0
5809.138554192941,45061.0
3475.2080139738755,41916.0
-5527.770029191983,31397.0
9984.306841989957,51952.0
2265.95487457572,40464.0
10805.747697920306,53667.0
1187.5778168978795,39064.0
11628.926875442485,55646.0
6774.091726654471,46436.0
-3254.4689414450186,33950.0
-4460.5344853530405,32552.0
-1917.5011606357439,35514.0
7559.432058070575,47724.0
-6630.258690497751,30368.0
-8527.549783573544,28094.0
Objective Value, Total Weight
5544.101860482988,45349.0
9075.788760361553,51023.0
11013.657685872924,55244.0
1113.3728840945114,39439.0
11526.604772231061,56827.0
-1234.480453774253,36729.0
9763.437868593719,52351.0
4826.521489045335,44379.0
6450.611671562976,46632.0
7460.361791730495,48245.0
10404.622198516918,53819.0
-2638.57560940041,35158.0
3851.7860346683665,42975.0
8151.342297971911,49410.0
2584.1596372970744,41222.0
-5053.955276703033,32676.0
97.11011672246241,38346.0
-4297.7119797551495,33491.0
-6034.251451943797,31455.0
-7526.264756534612,29924.0
Objective Value, Total Weight
9895.646707417472,52386.0
10516.467986733514,53815.0
7480.147450435921,47933.0
-1206.4645510714618,36450.0
-3602.8678351313793,33724.0
-299.95471209377865,37545.0
8667.709791176589,50080.0
11260.310584541941,55845.0
6352.933031103865,46177.0
8076.017372307171,48955.0
3475.8788289443837,42377.0
-6820.823358143491,30566.0
5443.076002245893,45022.0
1838.1673079025713,40148.0
2622.6491245207435,41091.0
4712.379492474087,43924.0
843.7349707978356,38838.0
-1721.479210180274,35822.0
-4797.671249801897,32431.0
-7649.940875819353,29683.0
Objective Value, Total Weight
5347.87386609942,45055.0
11211.98474520495,55350.0
932.8217408859637,39510.0
9024.61792612911,50802.0
9763.558616539201,52067.0
10555.753131306737,53743.0
512.1473817790829,39169.0
5776.555396242147,45611.0
-2349.224351937919,35760.0
-413.2509935445996,38021.0
4411.392111033987,43772.0
3651.7794211102882,42829.0
8243.045718759728,49399.0
7263.383886806951,47786.0
6677.792178418473,46894.0
1883.1061853411156,40705.0
2664.7157171343715,41648.0
-6327.717440305387,31302.0
-3117.884583629595,35184.0
-1618.5674237475541,36806.0
Objective Value, Total Weight
6415.405662865844,46687.0
7953.177039769384,49339.0
3656.106310253279,42754.0
2714.241177033,41349.0
8526.782813408252,50637.0
-6314.837386648811,31025.0
139.6745499559256,38342.0
10296.415366610228,54001.0
7446.26693092865,48432.0
833.9777517730909,38973.0
-1769.5217538196302,35999.0
2047.1762390983422,40457.0
5683.893705417489,45539.0
-4192.912409328383,33291.0
-3036.1115209527707,34515.0
-666.1281873287953,37327.0
9552.661009890333,52280.0
-5138.231497641464,32249.0
4597.4341662632505,43909.0
-8872.963731176562,28315.0
Objective Value, Total Weight
-875.608443736237,37029.0
7820.594998289329,49109.0
6992.304779823877,47569.0
5104.850632702903,44796.0
3527.6526865192936,42584.0
1788.3819910230377,40331.0
10362.412782404746,54183.0
4490.733127241918,43867.0
9546.353840160999,52326.0
-218.59579961442068,37903.0
1168.9209486749314,39512.0
10944.907057359691,55829.0
8747.496880497136,50722.0
-2843.0642246407806,34793.0
6026.366524914425,46079.0
-1495.0492441916358,36278.0
2679.664314570444,41491.0
-5319.718467674793,32000.0
-3768.930066985653,33622.0
-7112.663329482493,29977.0
Objective Value, Total Weight
6268.014269909123,46308.0
12036.987006138334,58853.0
9086.390240586406,51222.0
11454.123909220485,57240.0
4466.759459616296,43803.0
-972.994634222785,36819.0
10565.535326381367,54163.0
2526.3057109253423,41157.0
5093.192322371171,44695.0
6857.387373017649,47200.0
-276.7070963098449,37554.0
10171.930001119035,53191.0
1176.3927987729257,39372.0
7893.459153986201,48971.0
8439.395745451184,49863.0
3608.2407671763212,42489.0
-3631.8782836784303,33835.0
-2285.177033338012,35478.0
-4194.399829411115,33096.0
-6768.667318974425,30471.0
Objective Value, Total Weight
7068.442226429899,47567.0
8907.203527388148,51028.0
9616.330864148164,52674.0
11015.68362172744,55973.0
3539.351568707403,42373.0
7824.16753898251,48996.0
2558.8655383225123,41090.0
456.4788576174615,38499.0
-2759.870757506382,34719.0
5212.86742770893,44626.0
4269.875358354606,43343.0
-6015.245981439497,30992.0
6263.32310224924,46239.0
1563.278635034454,39863.0
