Objective Value, Total Weight
6379.289906241516,45508.0
11453.467531216607,56588.0
9886.297156557986,51376.0
-9634.501969816789,26881.0
8115.381055686921,48173.0
-6624.368958412233,29512.0
-15603.065444530876,21119.0
-2139.817315106411,34503.0
5570.704741943162,44276.0
-8029.951949377886,28255.0
-4659.912096712294,31632.0
1585.4615361316683,39002.0
-10723.097656292688,25378.0
-993.4574517699657,35882.0
-13055.510316418644,23236.0
3910.9042319641303,41984.0
2782.393774826407,40504.0
-3702.1598725759904,32692.0
263.4398152785361,37377.0
-16739.756557745022,19897.0
Objective Value, Total Weight
9240.186979946855,50476.0
-4569.952259893529,31938.0
10840.143224454485,53542.0
-1616.7011807866074,35131.0
9903.443174937165,51209.0
3055.069310686915,40926.0
6446.798260226766,45654.0
7309.446936084503,46799.0
8226.22287501677,48305.0
-6728.310447634729,29475.0
11916.968924143373,55553.0
-9877.890159442737,26292.0
1097.2543233076212,38508.0
2122.8606891738164,39712.0
-8695.118894843006,27574.0
-155.89742773545004,36901.0
5339.044776594135,43852.0
4260.0532778644265,42476.0
-11613.37899360458,24755.0
-3325.6274666308454,33197.0
Objective Value, Total Weight
4984.905359543962,43508.0
9064.620066102485,49738.0
-8590.415439281707,27680.0
11856.570194133921,55853.0
8294.709744177795,48396.0
-5263.784721568802,31218.0
5999.537117479245,44852.0
2585.342932358326,40305.0
-12791.385688858201,23382.0
7394.057966698616,46955.0
10033.678270815064,51536.0
-7262.250921295308,28897.0
-14278.076397200959,22079.0
-2554.485716277959,34071.0
-10971.29904545506,25043.0
408.7148466360886,37583.0
-3659.3183242871673,32755.0
4108.518520773345,42205.0
-993.4574517699657,35882.0
1484.8147354336688,38879.0
Objective Value, Total Weight
2940.230725640802,40703.0
11168.612693354073,54076.0
-1082.0649965128687,36005.0
8082.436456225223,48054.0
10639.79939274233,52735.0
12410.193900556289,57249.0
5027.460222753973,43493.0
-2139.817315106411,34503.0
6789.797252615615,46010.0
9427.901972785912,50382.0
-10184.448736924263,25974.0
-3546.8322754111578,32933.0
-7792.983780429327,28698.0
5995.897065705256,44790.0
-6684.625482036521,29595.0
1484.8147354336688,38879.0
-4868.724224050879,31589.0
4080.5180918410406,42212.0
-98.94534568915697,36955.0
-9251.10956104481,27047.0
Objective Value, Total Weight
10629.19424796856,53242.0
