Objective Value, Total Weight
13660.851238492149,63817.0
-36489.221196102786,3575.0
13660.851238492149,63817.0
-36489.221196102786,3575.0
7339.4688237717855,51595.0
12662.124086955984,59263.0
-7829.33070318785,33159.0
-34658.57424391927,5693.0
3289.5936439311627,46435.0
5545.546268796432,47929.0
-25320.182868782096,12984.0
-11828.780546197464,29706.0
-3996.5958284412336,36130.0
-2978.5398265012554,39678.0
-14312.768186208094,25355.0
-475.12082538569666,40862.0
-31390.72158659002,8579.0
-6064.217986724965,33930.0
-16848.185427877404,22535.0
-19153.2971283643,21170.0
Objective Value, Total Weight
13684.53034281019,63553.0
-39052.30103151691,2581.0
13684.53034281019,63553.0
-39052.30103151691,2581.0
-9298.119489629542,29973.0
-31273.405876016157,9719.0
-4112.976731743984,34943.0
-28187.53080052072,12085.0
-35415.11200323726,5915.0
11449.634196452724,58571.0
5361.316662682577,47868.0
2030.3631787466802,41328.0
4065.997041040646,44311.0
7896.454667582475,50751.0
-24303.65639173286,15878.0
-20437.793324557795,18393.0
-11320.907558491599,28210.0
-12932.56483621976,25126.0
-1611.3327680496077,40326.0
-37176.33088088221,4063.0
Objective Value, Total Weight
13635.287885738217,64150.0
-38820.06764318051,2259.0
-38820.06764318051,2259.0
13635.287885738217,64150.0
-8438.529332618324,31802.0
11978.789312926412,57983.0
-34250.21389784326,5885.0
9321.862496747264,51744.0
5792.704875687603,46301.0
-13357.345803265052,25366.0
7262.112122705781,50087.0
-13357.345803265052,25366.0
2546.761149442289,44264.0
-22235.249134586687,17029.0
-6536.773829297817,35172.0
-31167.880609116022,9620.0
-32258.889010735176,8630.0
-914.8090172555458,39154.0
-16591.025223734752,22853.0
533.1865873579736,42735.0
Objective Value, Total Weight
13560.438922927453,64218.0
-40017.85137991014,1917.0
-40017.85137991014,1917.0
13560.438922927453,64218.0
-31301.682266872413,9464.0
-35894.00018797666,5207.0
9114.504500263829,53973.0
-20792.8334654458,18478.0
-589.5908763110056,39408.0
5742.830779388125,46291.0
-26437.374225708838,12656.0
8054.204964386481,49243.0
-3037.026430201542,36437.0
12304.867548953436,57214.0
-10511.002486316604,29228.0
-24035.464258268265,15425.0
-8812.185587850203,29793.0
-39333.340226551205,2506.0
2581.2682065409244,43002.0
-5643.871601014813,33827.0
Objective Value, Total Weight
13496.50271089816,63621.0
-38516.5174978233,2193.0
13496.50271089816,63621.0
-38516.5174978233,2193.0
-5478.946783343323,33386.0
-586.2171735641605,40838.0
-35392.10484863177,4929.0
8701.850802406661,52951.0
-23090.582401306187,15378.0
-8482.848434079082,30752.0
7590.693099075135,49261.0
-10289.359673122824,28943.0
11836.311503581885,57480.0
-19174.174549284166,19336.0
-21281.002409396962,17568.0
11521.78151113657,56869.0
-17219.41204063005,22973.0
-30795.767668558845,8546.0
5208.42380969059,47430.0
-26131.60159801047,12913.0
Objective Value, Total Weight
-39099.64518161685,2162.0
13471.18293077228,64097.0
13471.18293077228,64097.0
-39099.64518161685,2162.0
11381.850691555359,57867.0
8560.871204685682,52224.0
-4182.50105123972,34476.0
4110.330537291862,45363.0
1137.7230377047817,41549.0
6313.397562151338,48381.0
-35224.42427069668,4902.0
-10999.43312376328,28486.0
-8690.989761160417,31262.0
-18827.63677557782,19000.0
-7047.224239160423,32561.0
-16363.536534818471,24199.0
-17594.595893481237,22796.0
-27523.2576104186,12184.0
-1280.1600013701172,39091.0
-37900.436765242965,3609.0
Objective Value, Total Weight
13710.17202384473,63327.0
-40295.12766697998,2051.0
13710.17202384473,63327.0
-40295.12766697998,2051.0
10188.534102365833,55394.0
4210.917640298605,46156.0
7771.232930407699,52124.0
-5581.306058221548,37272.0
-37733.007813252894,3980.0
-12693.86531137531,28369.0
-34261.08901560156,7212.0
-8226.895756609025,30736.0
-1303.4772154934326,38773.0
-13793.02287037854,25194.0
-7186.33376760895,33265.0
1012.1733996348994,41958.0
-32385.306928055514,9244.0
-18885.46897718504,20221.0
-22314.163151728346,17902.0
-29501.133783460587,11262.0
Objective Value, Total Weight
