Objective Value, Total Weight
-6430.69867358014,18358.0
5178.560359779025,29835.0
-7903.8679357825895,17339.0
2041.3856869855954,26344.0
-4909.713137120612,19846.0
11116.368965176895,36163.0
-8981.560577582553,15963.0
7218.368374096492,31695.0
-1881.448366474513,22824.0
-153.72284775557637,23973.0
9640.196907453595,34715.0
-11791.67366726081,13481.0
11847.414463922534,37571.0
-3721.4186010575504,20980.0
8630.870483325016,33387.0
4078.1471359949355,28608.0
-10291.252795453547,14872.0
-13458.688817382455,12396.0
13268.146192835346,39925.0
-15092.104239436994,11364.0
Objective Value, Total Weight
14252.98297662606,39237.0
-11011.24207136946,13628.0
-5837.384824830187,18328.0
4041.386941698409,27363.0
9737.296067802163,33260.0
603.791499931649,24139.0
-2610.3897636493566,20942.0
6367.67792402544,29864.0
-1247.1776132007071,22806.0
15068.280622607243,40927.0
7950.555188972583,31411.0
1787.9040940395862,25529.0
-4286.38864870937,19395.0
4810.668019435281,28603.0
-7850.558153575068,16257.0
-9285.235722813086,15037.0
11312.133250135652,35295.0
12577.12494860073,36631.0
-13318.136025368854,11742.0
15638.910050408573,42643.0
Objective Value, Total Weight
917.495726538873,24031.0
2664.1569810711444,25586.0
8031.597113625969,31337.0
5736.213365386175,28556.0
-409.4270381045353,22890.0
6689.570298982042,30236.0
-5153.180450938482,18329.0
12959.81016690412,37510.0
-2644.9256933328215,20827.0
12040.381757703399,36347.0
3593.8262801289966,26739.0
9131.028314189934,32704.0
10531.006229480845,34460.0
-7041.085960424753,16573.0
-1379.1315833561603,21774.0
-9787.392098795011,14492.0
-8564.938589683232,15337.0
13950.964047489811,38779.0
-11074.855454569486,13273.0
14667.500424788901,41832.0
Objective Value, Total Weight
-321.6152055995699,24094.0
7061.085721631382,31094.0
2005.6493326226046,25993.0
-3586.5487943469197,20819.0
5618.558864294617,29681.0
-2179.3141825119164,22088.0
8232.535928441248,32582.0
10708.929064213633,35103.0
9374.893882487464,33385.0
817.5293732378123,25302.0
-7931.279816694994,17073.0
12305.239323662012,37341.0
-5000.675946437055,19604.0
3566.4258001822527,27848.0
14731.321494223732,40855.0
13616.010593566629,39119.0
-6168.983554288818,18483.0
-10154.232415686696,14932.0
-12101.832619057226,13404.0
15439.315751044247,43203.0
Objective Value, Total Weight
12650.104881652704,37491.0
4507.489402698011,28185.0
-953.3009483743008,22887.0
486.4867400348594,24137.0
6287.392459862487,30277.0
-2372.110079640901,21345.0
11370.096692131709,35867.0
7717.32628809286,31829.0
10193.389546105318,34829.0
3410.1941997793547,26945.0
9178.021685540276,33779.0
-4107.329641157819,19757.0
-5531.748958536351,19099.0
-8209.356373580209,16403.0
1931.405451777042,25277.0
-6769.956779786218,17637.0
-11281.082763988394,13849.0
14360.70195573505,39717.0
15484.967282709295,42617.0
-13711.832374952552,12047.0
Objective Value, Total Weight
-9950.454638147174,14981.0
-1827.7289820468795,22270.0
17.83765062168095,24439.0
1690.5353047662138,25799.0
7239.858664377927,31048.0
9846.353667985044,33766.0
-6502.919741190271,18294.0
-8724.625351453731,15916.0
11265.945359948462,35749.0
-12673.265543334011,12612.0
-4917.185440820569,19267.0
-3732.3228116572354,20961.0
5474.88236300891,29096.0
12624.209496051793,37698.0
3705.300727222275,27347.0
8506.993269307379,32320.0
-14883.052224927,10640.0
13925.390703919104,39448.0
14642.398492362023,42187.0
-16680.851075442275,9564.0
Objective Value, Total Weight
3041.8272976347143,27513.0
-10075.202842524115,15146.0
-5700.9227664385035,18862.0
-3991.195339866812,20346.0
9142.240500583393,33471.0
-8750.264990799937,16242.0
-2098.51897619768,22232.0
10338.194363911898,34981.0
1774.815158616293,25810.0
4372.67839507552,28623.0
5937.857386775475,30149.0
-6807.357374861611,17708.0
-1126.8094853534058,23462.0
671.3019688179193,24705.0
12552.571197567202,37723.0
11013.053447347178,36109.0
7325.490936925737,31709.0
13215.663546251984,39293.0
14113.87641712634,41375.0
-11564.442169234055,13918.0
Objective Value, Total Weight
-592.3283363340815,23238.0
6000.3722238502305,29991.0
691.4602780870773,24701.0
2974.806291867957,27193.0
1696.8228395921615,25895.0
-10920.587844079571,14053.0
-3050.4900594486317,21017.0
8385.296999340455,32552.0
4316.010690942392,28422.0
-1716.5865384852368,22376.0
-4693.496459103168,19775.0
-6791.247663525355,18011.0
-9539.333438974514,15373.0
-12798.733524845346,12437.0
-7930.85515698923,16525.0
10114.679414608901,34420.0
-14721.631379119797,10815.0
13481.467085758966,38960.0
12009.54793424069,36878.0
14511.638927922293,41546.0
Objective Value, Total Weight
3253.751365219665,27056.0
-2074.470479735486,22273.0
6597.392725208483,30680.0
-9282.513560669373,15666.0
4620.356524864779,28648.0
-5858.889911978025,18588.0
-618.5491260623457,23481.0
-7423.649301180216,17221.0
9311.76242147819,33273.0
7984.017424593621,31955.0
1282.7678839473447,25516.0
-4026.1085426211284,20391.0
12790.554859641292,37227.0
-11163.484993191574,13936.0
-14300.066545916008,11459.0
-12949.480744022738,12674.0
14004.859998499509,39097.0
11316.44187718135,35435.0
15383.989668117792,41489.0
-16174.282117224924,10485.0
Objective Value, Total Weight
-775.0755413848674,22723.0
6127.099403201857,29222.0
3671.1050924734445,26985.0
1623.9901653478519,24913.0
7982.772604041005,30801.0
4854.021731520988,28106.0
-7476.545160486086,16520.0
-5738.817655304221,17957.0
-4598.029952587378,19491.0
9200.53865735852,32385.0
12258.91187768813,35389.0
10502.552068678684,34259.0
-8914.501994473125,15158.0
-2266.6783713403784,21267.0
-10360.023774459944,13983.0
14318.717301507997,38684.0
15849.276028618922,42620.0
13258.075808477304,36612.0
15361.871754451495,40457.0
-12017.49202059122,12739.0
