Objective Value, Total Weight
54750.74570582778,200438.0
44313.351761492726,181415.0
27317.680825646094,160714.0
59757.46661625846,217238.0
33261.63057630489,167221.0
37418.44941462658,171678.0
51779.44949272627,194604.0
57988.376155953534,208935.0
53416.41723112375,197151.0
56441.26907861841,204230.0
31131.159049414622,164503.0
49997.97988368603,191797.0
40284.62072546777,176028.0
47192.01738504169,186346.0
38162.43838408796,173168.0
48400.99579019923,188518.0
42448.11318391067,178954.0
34536.273360444815,168610.0
45065.84403927936,183089.0
24279.213209423324,157162.0
Objective Value, Total Weight
31549.40906465301,164890.0
56037.58936525509,203523.0
26431.944584410667,159582.0
15369.9429567607,147419.0
19045.566943902464,151371.0
42958.71212857345,180282.0
11721.80325297665,143412.0
23885.67227391762,156322.0
45240.38808747422,183543.0
28648.2775866547,161189.0
34118.18395420848,168079.0
8714.47231701028,140904.0
52136.10549023675,194647.0
53914.020827115426,198399.0
39615.73575860786,174765.0
40857.18370849558,176932.0
36568.00554108247,171111.0
20836.704270047718,152941.0
47513.895756720856,186913.0
49176.73279706415,189577.0
Objective Value, Total Weight
34371.8773854528,170002.0
49882.66559124744,190656.0
57327.459610974474,206061.0
58412.859475626785,208409.0
35857.184002654656,171216.0
42909.814992761065,180328.0
41881.86340574117,178859.0
59724.88116246709,213537.0
48671.1713282679,189364.0
37718.19745087225,173085.0
45507.37689344512,183895.0
51582.35242713601,193792.0
54981.778587826586,200402.0
40044.65964339799,175838.0
26839.85206937077,160398.0
52676.788872678706,196038.0
55939.21777022985,202350.0
46343.83990359859,185591.0
32343.087988948915,166837.0
30275.655014788965,163982.0
Objective Value, Total Weight
57885.49159756809,207381.0
37358.43853496079,172875.0
54907.189800286054,199780.0
53010.85057577389,196158.0
49109.69863192091,189544.0
34912.99430711797,170093.0
51348.72495712631,192686.0
43849.21548667198,182080.0
45287.12641525813,183879.0
55932.51713903149,201592.0
14624.830482331978,146297.0
46962.7846937876,186741.0
23273.804220935213,155781.0
28939.423521175515,162554.0
39916.36169946831,176459.0
19157.419111700874,151112.0
26123.62340287515,158911.0
41784.032142154785,179067.0
30797.75080006139,164786.0
33424.62978769583,168230.0
Objective Value, Total Weight
53843.31693085175,198126.0
31221.02424816173,164797.0
58857.08872347648,209844.0
37530.21740370215,171875.0
50227.246627187706,190200.0
57098.34392171877,204749.0
45691.721866841166,183473.0
48190.23941904775,186952.0
17939.87879669611,149978.0
28593.28796614785,161476.0
55236.39354081263,200290.0
13484.290060996282,145541.0
51948.58894092543,193618.0
21871.524130348407,153868.0
39409.410832490015,174594.0
33149.94471960983,167044.0
43436.18626357129,180406.0
26301.6378933994,158904.0
10101.219980790192,141509.0
41508.32065695463,177481.0
Objective Value, Total Weight
48326.616704002605,187778.0
36609.40522066987,171502.0
60017.1097982348,214693.0
34041.99019874245,168524.0
49486.749976329476,190044.0
29397.95625198225,162940.0
39335.95636611979,174828.0
22865.53206817468,155254.0
54471.739964174456,199477.0
55960.753066776175,202440.0
41477.14935318465,177808.0
42952.767660930986,179893.0
46468.72273796628,185282.0
44856.70725272829,182463.0
31474.893895155663,165406.0
51105.02784666786,193092.0
57533.59869164837,206263.0
53134.56735976646,196733.0
18675.49078957524,150383.0
25920.76327191203,158582.0
Objective Value, Total Weight
46396.09848520241,185468.0
34737.24589010805,168862.0
58791.11253942913,213339.0
56717.02685528787,205042.0
43545.69575792592,180542.0
13732.24468507935,145071.0
17761.042735217634,149466.0
37318.13788660179,171963.0
29379.984965711395,162419.0
21953.581394323817,153706.0
50990.90408906035,193532.0
49468.290843540686,190715.0
53511.5030526208,198152.0
40942.73055883279,177203.0
55482.982539542834,202128.0
26239.48184947032,158853.0
44479.95987046859,182223.0
39106.44379468696,174644.0
23620.66185611536,155765.0
30975.373078917386,164406.0
Objective Value, Total Weight
53296.39682223671,196541.0
37653.21079694573,172421.0
60371.07191285843,218583.0
32754.437578156474,165957.0
29838.06537148697,163126.0
56837.803354183765,204669.0
44566.19847196448,182096.0
58521.95872201177,208797.0
39902.87236455848,175445.0
43239.76550996769,179914.0
50317.30709195096,190966.0
34459.47983064421,167887.0
46740.952047137485,185593.0
54948.74890351304,200589.0
48327.504208789906,187499.0
40629.605375094776,176596.0
23582.855180326063,155350.0
52217.727862463624,194212.0
35842.88284119885,169598.0
26418.338158271217,158672.0
Objective Value, Total Weight
21022.9543358722,155196.0
61017.69094884698,222418.0
36849.36584812295,172162.0
32756.772411225393,167492.0
58508.681708507065,209801.0
60128.14879952581,215409.0
38801.278722876596,174922.0
45689.787393443024,184562.0
55548.93503669932,201388.0
52181.52118601685,194825.0
44495.4551042784,182729.0
39938.83303717678,176432.0
57143.50147902049,205760.0
53901.326783013326,197778.0
47797.12112011461,187757.0
31540.247355326166,165713.0
51069.63312008724,193072.0
42118.28599360821,179145.0
49297.998920913466,190357.0
27551.628391204198,161574.0
Objective Value, Total Weight
21249.392520983587,155033.0
52363.37996016862,194446.0
57885.46198135681,208787.0
54585.85723700831,199314.0
43503.02337308068,180605.0
27226.901229694544,160708.0
30730.1707270279,164142.0
40140.100921560836,175817.0
56374.13987763261,203216.0
49221.74041263829,190011.0
22661.300118038896,156127.0
51565.454074695124,193400.0
34080.215563504404,168153.0
59434.96836037663,211505.0
38135.633036048326,173334.0
42026.64212833447,178605.0
17733.383743588318,150105.0
47880.74194431704,187684.0
46166.88643969066,184757.0
35931.05893255654,170614.0
