Objective Value, Total Weight
49796.553311132215,183216.0
54761.914854181174,191520.0
60170.96438626296,202505.0
51586.95612642978,186150.0
57282.06176925459,196314.0
53538.398932230775,189452.0
61252.65364039503,205181.0
56209.48655939242,194226.0
52604.41445834507,187810.0
47775.521771946136,180112.0
48662.58812445708,181432.0
55513.23036487293,192974.0
40733.085320316546,170592.0
45462.314058181655,176704.0
46607.49568126237,178328.0
58688.13397358186,199202.0
50667.10032028559,184604.0
42410.97264688759,172560.0
44345.65257534999,175192.0
39846.266025203426,169229.0
Objective Value, Total Weight
57036.69470698002,195650.0
55093.19487753211,192068.0
57798.68095697643,197090.0
59129.92784625085,199738.0
62383.924691904715,207404.0
52980.42411241573,188409.0
61460.29394221757,204934.0
53695.71314313641,189604.0
49470.85912140383,182976.0
55812.63669715685,193342.0
61033.63714554513,203960.0
59761.787757962855,201072.0
58293.542836911714,198064.0
51925.95780245715,186816.0
54355.91458020726,190734.0
56338.88596845299,194316.0
60218.57893254142,202046.0
48337.60786368363,181514.0
50598.24538571999,184647.0
47361.388830986514,179999.0
Objective Value, Total Weight
59589.432961103186,200804.0
60704.66595752802,203279.0
61900.31318650395,206092.0
56409.46743641319,194476.0
62658.0856862115,208202.0
62237.92545067417,207084.0
57690.930718272575,196890.0
60029.44780227763,201777.0
55034.57215401385,191988.0
56972.534800251364,195594.0
61270.922865767585,204590.0
53635.12299194062,189528.0
55698.83053335294,193142.0
58885.95051179547,199351.0
58358.592779060535,198224.0
53234.9924330973,188875.0
54399.51861755113,190827.0
52327.877339961764,187369.0
51206.575903458026,185635.0
49228.30549325494,182692.0
Objective Value, Total Weight
58222.70909693133,197720.0
54795.32345647167,191324.0
63392.78474494742,210221.0
58879.91733711524,199054.0
62097.29249928356,206404.0
61407.39074054902,204620.0
56257.72065442175,193972.0
62719.95348936756,208064.0
53390.393098004744,188920.0
60753.69295135289,203118.0
55526.36275295066,192658.0
50659.39617202975,184622.0
57533.204572133545,196406.0
51480.44679263732,185727.0
54159.815531684115,190234.0
60021.25968609765,201506.0
56843.369933380716,195072.0
52621.84404849261,187586.0
49148.70441340038,182408.0
47435.712772331084,180066.0
Objective Value, Total Weight
50646.97969802804,184696.0
56902.521745589795,195954.0
47618.855176053854,179972.0
49835.146589158394,183416.0
51742.52039187169,186480.0
44664.38178966113,175544.0
58279.82906105759,198824.0
41110.25233904825,170613.0
45909.93279508871,177373.0
54825.26835097911,191840.0
43012.35837736059,173198.0
55766.141329200735,193727.0
44102.48673375603,174756.0
48703.58300522162,181632.0
53783.0455084611,190020.0
52752.249313336244,188173.0
38969.384768561256,168101.0
41801.50051607218,171596.0
47020.515356551914,179033.0
37699.86210961599,166290.0
Objective Value, Total Weight
60765.84284632589,203197.0
59664.65684342504,200745.0
59195.473311292066,199771.0
62866.35881817722,208467.0
58026.00678866377,197391.0
54861.212906393775,191540.0
61907.31646631833,206015.0
64461.76501638768,213219.0
57474.43391101973,196355.0
54161.32115586882,190280.0
55647.12462903641,192928.0
58517.329236427206,198365.0
56241.54156178658,194028.0
60267.729881127336,202053.0
56889.76327850015,195230.0
63650.03716929097,210767.0
52706.949040871084,187942.0
61334.741578196175,204505.0
53346.33746278507,188892.0
50928.29958766847,185739.0
Objective Value, Total Weight
59390.08965471026,200249.0
61336.849680610496,204749.0
54221.47982871666,190566.0
56771.1746056251,195131.0
60567.59282461964,202977.0
61991.871833583515,206409.0
58764.243250412284,198941.0
60088.858581654844,201751.0
62624.94367632407,208131.0
56371.98526640475,194319.0
63329.88068852361,210266.0
58305.635267048085,198108.0
51592.4354270093,186154.0
53487.7093188006,189258.0
55779.550124635716,193364.0
52266.819703282876,187433.0
57414.26251989789,196293.0
54917.55110174121,191671.0
51048.39035727101,185321.0
49653.07879599699,183839.0
Objective Value, Total Weight
61767.488372206804,205570.0
61014.45638200993,203737.0
54409.209328879195,190858.0
60730.028668206505,203118.0
60094.6753269427,201715.0
56267.15883830155,194136.0
62893.09818727209,208458.0
58812.25958129103,199030.0
59122.626432978606,199649.0
62201.37286940252,206625.0
59591.60394465871,200623.0
56890.03877185128,195282.0
58284.58761555093,197975.0
57723.54642898688,196875.0
55729.318666156585,193156.0
55195.73642341606,192182.0
53746.68513105536,189712.0
57221.20697617115,195901.0
53187.40336458452,188738.0
51235.081874364114,186339.0
Objective Value, Total Weight
58070.642519282934,197479.0
52547.21344419659,187762.0
61370.868184277526,204527.0
57572.67108554047,196505.0
58533.17018659008,198399.0
60610.43221533377,202729.0
62195.87909658882,206567.0
61006.45544083495,203679.0
59131.67622687286,199599.0
56766.35255041832,194977.0
55708.09285502715,193023.0
54754.8299481436,191363.0
59848.5394862238,201101.0
62799.85008295422,208069.0
54208.824232588406,190426.0
56235.09462259326,193997.0
55174.04105836121,192086.0
53572.54852153279,189366.0
50619.69550128988,184658.0
51546.36159021041,186258.0
Objective Value, Total Weight
44877.35798434942,175880.0
40303.92522409849,169332.0
33182.78390025906,160165.0
51030.34880462289,185634.0
48563.31314544534,181582.0
47283.906423053384,179640.0
39410.380028966145,168099.0
44137.77743161877,174820.0
42725.03899003597,172776.0
37154.15159388547,165103.0
34462.03888450112,161737.0
49370.260498012794,182890.0
45937.41489327399,177480.0
41338.65015334287,170820.0
35901.122615415865,163455.0
32131.60739904808,158813.0
38404.1889735733,166747.0
28581.5583088914,154694.0
30357.912635055196,156669.0
25363.752988659486,150950.0
