Objective Value, Total Weight
34816.21776107923,166194.0
32497.465853666683,162806.0
60067.931755107915,205370.0
62524.22533413861,212396.0
42829.93907276078,175237.0
45125.57973037637,178644.0
57673.28089058568,199499.0
46074.06069346171,180111.0
49477.24409360203,185105.0
58915.94549704736,202326.0
40129.50138555991,171782.0
29429.22778463218,159700.0
61427.831194757135,208417.0
56824.19138119745,197853.0
54223.775035661005,192921.0
52742.25631292429,189729.0
55486.19578863453,194826.0
47798.84915250173,182410.0
37087.03878611818,168457.0
50996.718947718065,187301.0
Objective Value, Total Weight
61389.26953474173,209643.0
38219.50581567868,169758.0
57465.515268084884,199399.0
48488.52671085068,183251.0
46875.45717954027,181058.0
44252.25056645059,177135.0
24395.58853630937,153634.0
39063.489386415575,170340.0
36389.72705962026,167622.0
26821.025959673192,157450.0
50976.61951990871,186980.0
58667.15282482421,201809.0
59892.042027860036,204898.0
45632.2528936282,179120.0
30382.526351850043,160353.0
41624.8380152637,173545.0
54424.38424070098,193035.0
52227.95150622248,189009.0
33290.16704866904,163814.0
56383.50788459089,196680.0
Objective Value, Total Weight
50208.150325345196,186079.0
56964.1267752565,198002.0
62504.97823298175,211572.0
60893.589437904506,206433.0
38990.24160312957,170269.0
46139.89877014712,179451.0
40021.92953787747,171962.0
52110.857661472604,189036.0
49069.82616040119,184001.0
41794.2734178594,173765.0
58220.06897869313,200501.0
34891.07081793065,165041.0
53200.31879933935,190830.0
60162.66324104075,204533.0
54638.59436316151,193341.0
44988.655712902546,178025.0
48227.57010312591,182231.0
31141.702896525443,160871.0
43556.39509642302,176349.0
55613.6331211458,195153.0
Objective Value, Total Weight
63508.90451724155,220167.0
61024.895201166306,208963.0
62332.19227400783,213043.0
58116.408634430874,201815.0
59415.60261446776,205229.0
52825.49348648661,191022.0
32886.22443335966,163849.0
56879.281576828216,198355.0
38321.36168412308,169535.0
40265.14802093795,172405.0
54226.17110996676,193214.0
47690.31958223076,182626.0
34771.33366286181,166090.0
51272.97186277894,188519.0
31086.38287730486,161539.0
42114.73927067971,174785.0
43794.46100412801,176797.0
26926.9290225289,157638.0
50107.47537552632,186584.0
45686.426320575614,179853.0
Objective Value, Total Weight
51236.05350260623,187368.0
57384.81227870085,198317.0
40168.98433891934,171401.0
59298.40370076441,202800.0
61252.936513672146,207044.0
63134.1585177363,212883.0
44480.67329653981,176844.0
56400.391097500134,196393.0
52307.020953226194,189036.0
55450.59552089343,194545.0
53268.58549654923,190507.0
32245.036566708877,161433.0
29546.874971784913,158003.0
42959.85206470324,174828.0
46815.97826804375,180360.0
35267.74010097535,164927.0
41349.89978404582,172544.0
50073.46598883101,185362.0
48585.81089223706,182924.0
37611.96455571108,167606.0
Objective Value, Total Weight
58364.76266030452,202085.0
62468.79813048759,214540.0
35824.08384637174,165416.0
47930.0399347776,182255.0
61679.1106193914,211381.0
55806.7620149843,196003.0
48959.50712330997,184185.0
50423.91660188345,185890.0
53542.22319670371,191485.0
45717.27575879023,178892.0
52365.21270423266,189716.0
23572.80393769851,152544.0
60017.63604989316,205705.0
37963.24162295449,168608.0
43009.73449277558,175132.0
28497.98633946752,157089.0
25296.423540472606,154087.0
57789.97721506609,199835.0
31645.545872006915,160839.0
40426.10685188827,172091.0
Objective Value, Total Weight
60888.741922742076,208031.0
62952.458791415615,213240.0
61806.82162524061,209598.0
57614.46087475182,198421.0
38911.431580256554,171019.0
46789.98854603642,180881.0
58014.37594081124,199573.0
45472.624535199895,178655.0
51723.37715066734,188620.0
54676.27788529065,192943.0
50328.97054854341,186047.0
41667.17311602441,174131.0
53128.47740898002,190599.0
55993.86701248775,195262.0
60532.232693991915,205675.0
47532.4014216747,182136.0
43542.27196870613,176371.0
59200.58130902579,202586.0
49272.41987800246,184448.0
35167.06244222974,166938.0
Objective Value, Total Weight
55030.16090280368,194021.0
31731.260922297224,161517.0
58413.630664705706,199929.0
57344.66309545032,197870.0
52162.630568389955,189071.0
26883.67111173924,156359.0
48215.45281491816,182474.0
60617.71124538939,206384.0
30792.927233709663,159920.0
43870.903972174536,176665.0
54505.211412817676,192763.0
36005.324712029746,165817.0
40431.767315585865,171679.0
42355.33689891748,174316.0
22471.110169943364,152015.0
45198.86163842853,178455.0
38469.27868014257,169389.0
51340.76703307888,187356.0
49781.46554287849,185212.0
33331.468298083986,162911.0
Objective Value, Total Weight
33572.419330395816,164923.0
39572.71386421411,171539.0
42477.28885667544,174913.0
65012.4002112326,224534.0
50216.71316015563,185952.0
47453.55548935462,182012.0
59922.41375228236,204262.0
55209.446505142085,194425.0
57224.439692525135,198162.0
53685.35347680902,191857.0
40928.61439924792,173332.0
36261.30885152446,167855.0
31749.05731538555,163196.0
62768.26348982213,212220.0
61664.69882318305,208738.0
52892.72975682843,190446.0
45536.663245442876,179074.0
51590.16715416702,188409.0
58564.93090865147,201221.0
48595.23625527232,183575.0
Objective Value, Total Weight
63551.66832578386,217263.0
35259.67486964195,166244.0
55261.43580683964,194116.0
47838.784621186845,182363.0
31527.286436857714,161371.0
38511.27742346295,170080.0
49832.33719621907,184764.0
58075.638586625166,199613.0
56612.40429086148,197123.0
44043.81902280316,177162.0
53137.782870053285,190253.0
60644.89091649151,205953.0
32539.108867656905,163221.0
62456.822824945906,209823.0
40007.78585626115,171829.0
58844.40474567306,201507.0
54008.784054755466,192092.0
45317.65919678367,178382.0
41261.96826143356,173234.0
51743.93718859865,188424.0
