Objective Value, Total Weight
-138217.69153273822,7469.0
39365.76258102953,225913.0
-95620.19863044054,51964.0
-72075.10339950252,72452.0
26102.596138877503,195554.0
11229.862272191967,175669.0
-122006.2134627866,26466.0
29970.67154378147,212307.0
-6076.079281064129,146624.0
-104861.23062065442,43158.0
584.126639402617,156195.0
-15798.189389952633,132491.0
6482.125581499247,170383.0
-40558.6830188389,105407.0
-127820.68822088663,17567.0
-22825.108030077303,129586.0
-31792.329760173772,117979.0
-67394.2921043961,79413.0
-49052.17799506066,101765.0
-29720.296232824592,120388.0
Objective Value, Total Weight
-137276.9589853184,7839.0
36417.28666625518,233848.0
-5758.609534571733,151833.0
-19197.551660830155,134561.0
7479.694415758626,168132.0
21866.135344372422,197857.0
-30960.302601423842,115755.0
28586.270865551807,217896.0
-127983.61530878214,18722.0
-22445.2067617868,125407.0
18259.515331540897,188110.0
12768.33691300865,175639.0
-90635.1441361793,59776.0
-100987.5308243765,46395.0
-72958.95730961853,76569.0
-49085.71148534794,97137.0
-39953.88842193602,106539.0
-110364.84186587922,35286.0
-96422.05789563165,49109.0
-66419.22954549946,83310.0
Objective Value, Total Weight
-137896.71965326346,7206.0
39542.36074860577,223267.0
-128306.96159490719,17013.0
-55593.908578252944,90765.0
-115119.6158171012,30438.0
-66195.7380246951,81646.0
31322.002694619936,213337.0
7571.494098484778,167584.0
2167.2197120848286,153580.0
-15233.667188054853,132220.0
-44543.80318495829,104164.0
-27765.547531636024,119557.0
-93359.12439764311,54825.0
25915.454833479453,194319.0
18399.152333499194,176368.0
-76738.34431846207,70015.0
-81232.17482338368,65650.0
-106361.9168663082,39041.0
-9466.67041955475,146118.0
-39187.29791170804,109942.0
Objective Value, Total Weight
37832.193329663016,227497.0
-136936.41932954438,8606.0
-5360.856410883949,152995.0
-58684.72197606176,89862.0
20324.34686041117,195468.0
31401.507952986896,215111.0
-78258.9338676444,66544.0
5348.605076891312,168952.0
14935.09083293553,178986.0
-19698.472514900437,137803.0
-28192.417961927364,123999.0
-126615.63285281384,18254.0
-40430.82047955127,112715.0
-104437.97974949065,39995.0
-35345.410382254864,117272.0
-122319.12742264985,23837.0
-20428.454714724736,133353.0
-114000.95944673862,33079.0
-47336.65041403711,101219.0
-52632.564378134644,95734.0
Objective Value, Total Weight
-138348.1576988748,7410.0
38422.682788181264,224918.0
12265.61914375631,170720.0
27685.907320447848,207376.0
-1619.7578047989227,148316.0
18917.881129575486,186650.0
-50260.67574945433,96424.0
-66846.79511691406,77883.0
-12700.406871100393,141027.0
-60232.97432291796,85063.0
-80468.41919383261,67479.0
-39350.05830947752,104723.0
-128529.9531101941,19154.0
-96128.76958130137,48627.0
-107640.30257839471,39269.0
-33854.56473524176,111802.0
-19966.501537440345,129650.0
-25866.14096225088,120060.0
-112429.1553183709,36492.0
-92603.15511117119,53449.0
Objective Value, Total Weight
-138535.31889792287,7689.0
40150.63954773234,225740.0
18946.611583493912,181347.0
-406.50230815346004,157254.0
-52768.4664217392,99355.0
26174.430263965827,194107.0
32811.16230941127,214254.0
-100361.52720962447,47375.0
-7587.27094316273,146794.0
-88992.01615642736,57466.0
-35443.164596818126,112411.0
-15559.644281050714,135887.0
-27054.579255132325,123641.0
-81433.53226780685,63588.0
-110103.48720981763,39702.0
-131279.158953279,14477.0
-67279.89272651702,78607.0
-20756.73764371319,129289.0
-58195.10720558354,89327.0
-60021.10707362354,84915.0
Objective Value, Total Weight
-140162.53751289967,5986.0
38365.88653770104,225182.0
-121023.78029530265,23884.0
-56476.16815849536,90598.0
-10787.374130024109,142585.0
-84693.10886918733,59149.0
-38114.99431002766,107237.0
23356.07825739667,205008.0
15805.338381594804,193212.0
9512.806970765814,179267.0
-26231.490876511234,122420.0
34055.17772450665,214532.0
-96976.5805947285,51196.0
-1390.8940006280318,157535.0
-35923.3823792715,109326.0
118.8306146642717,170093.0
-75897.50588034716,70260.0
-114344.54405054904,32456.0
-21609.943746388337,135851.0
-60982.97003842378,86377.0
Objective Value, Total Weight
40327.37258872061,221373.0
-136290.165923215,9660.0
-100352.62329494266,44276.0
-660.9574554215651,153977.0
-30123.34853468943,117630.0
-76849.87528836937,68698.0
-45552.88587817506,108418.0
-66689.41164419829,86143.0
-8720.225461137452,143835.0
33024.31568975691,209569.0
26261.095192406763,196857.0
20729.46861092365,186166.0
7817.526465648058,169738.0
-84644.58313124452,59828.0
-49615.64849116243,97341.0
-17426.897421815986,132090.0
-111095.26812972195,36886.0
13686.391953271028,173930.0
-58566.0401767102,89631.0
-23584.65808751533,127376.0
Objective Value, Total Weight
41183.869409055565,225402.0
-137358.4850176062,7833.0
-70660.7643037943,76371.0
-122671.09120409715,21281.0
-56587.378948591446,93256.0
-37442.493546678714,109468.0
32661.789820194565,211541.0
-50816.13004629288,100523.0
-115033.20665888092,31369.0
-4080.257514643279,153113.0
10848.304812914954,165963.0
14757.384882419195,182573.0
-81372.02270149771,66913.0
-86225.29317887113,59506.0
22505.362052954646,205508.0
-11693.09348915756,138321.0
18339.045128220634,194683.0
2564.5277113521297,159333.0
-26663.096096931433,119207.0
-96536.1218624916,50453.0
Objective Value, Total Weight
-138829.99410394,5788.0
41841.041586622276,222363.0
-3339.2453384337714,149989.0
-124896.86316011209,20752.0
6498.855926214979,166983.0
-15443.303763952019,135633.0
15214.184762512887,177976.0
20175.89854360145,196872.0
29275.56024468245,205709.0
-104883.81528784169,38108.0
-117558.60409285431,30616.0
-57259.014592629275,89921.0
-40830.95443861149,106983.0
-97728.65374951155,48818.0
-50181.00405671957,100923.0
-31601.3919067354,115947.0
-69253.06976783476,74198.0
36076.774533121905,221600.0
-82868.9357375041,66817.0
-66138.07646488378,82715.0
