Objective Value, Total Weight
16399.617853822623,164749.0
-18173.002288665855,126182.0
40209.96837867619,194140.0
30581.88411342961,181913.0
31908.436858869565,189756.0
11241.614836989145,156043.0
23799.317301529984,173478.0
-7158.43570873639,139771.0
51184.03975875792,215010.0
1027.8075413652405,143540.0
-37651.68354809887,104815.0
-11956.138099543401,131894.0
-28716.624562204204,112829.0
-46453.45820438952,96403.0
-52753.59879665231,89088.0
-61225.448657498375,78914.0
46651.21068511106,202942.0
-68699.09306590518,71925.0
-77524.62289478464,64088.0
54815.964486601326,230611.0
Objective Value, Total Weight
-15846.113463453163,126784.0
-22140.08626708691,117596.0
-10655.708563693479,132727.0
-5693.429107363452,139583.0
33906.72065508785,191806.0
-54164.80201085631,89881.0
7550.0352125559,154838.0
-29708.550749757327,112061.0
4433.794519062532,146393.0
-36746.66019266372,105227.0
16595.009366007173,164054.0
44423.66635279721,200869.0
23925.588778224163,170137.0
-74186.74888028551,68436.0
-64653.155743988085,79332.0
30264.575917934853,178416.0
52997.723294924246,222833.0
52469.21638852288,213060.0
-43806.905681127595,95442.0
56790.93732908639,230029.0
Objective Value, Total Weight
43727.12762750895,203599.0
-16599.451182311983,126766.0
-34345.877431952336,109767.0
-23145.494723121286,124192.0
-64856.49919521503,80025.0
-27211.0280690926,117526.0
-1285.7830967230839,142080.0
24567.03660619707,171446.0
18302.429193449236,163788.0
37276.676438857714,192592.0
-47216.76914516368,97877.0
-12160.520068793674,134699.0
10790.800953262195,156742.0
-54009.223693430686,89854.0
48279.895471657015,214155.0
-74996.86798807603,69503.0
-40082.538166452025,103775.0
6140.365104870783,150516.0
31081.39182180926,179968.0
54895.58031627719,227477.0
Objective Value, Total Weight
12364.1453011407,157920.0
33566.65087684491,189554.0
-47735.189499090106,95485.0
17195.71694324547,164822.0
4010.251088399149,148235.0
-23906.79994124471,119823.0
-34451.384076931485,110163.0
-55558.10115357986,86823.0
-16030.434318428655,126133.0
29644.267654809664,179596.0
43267.500413833186,205092.0
49211.46979673128,211484.0
22272.255700676236,171617.0
-1584.5794359749416,142021.0
41998.7344811724,196486.0
-64527.65621675845,77486.0
-37761.8868578423,102141.0
-7821.4507890479,132824.0
55636.0579909877,223843.0
-72391.63947521686,68521.0
Objective Value, Total Weight
-6214.30464775904,143503.0
-50599.19978808818,93036.0
-37411.46271716288,103683.0
17711.882556384255,164758.0
-44510.93555985327,98833.0
8104.2843375209195,158377.0
-12395.627227500663,135300.0
24541.790066939633,175842.0
-32549.909248470474,111231.0
-55369.8714141488,84731.0
5999.652968650218,149389.0
32987.90724388274,186905.0
43920.48832618006,203733.0
-64888.371841185726,77634.0
-16805.828015605424,124685.0
-22529.21241270352,118373.0
40788.66964244729,192202.0
52234.43867083467,214292.0
55083.28992559176,230039.0
-75423.26331194222,68201.0
Objective Value, Total Weight
-267.89229716328555,145176.0
39933.723114119464,189533.0
10470.910128807503,158540.0
15316.053466810292,165737.0
9164.319209249777,151209.0
-59464.1557699558,80894.0
-25539.3402238728,118965.0
-5291.659560120257,139171.0
-16597.250180376694,123667.0
-36333.88938056407,103473.0
25472.115169421595,172131.0
-8646.572870455362,131449.0
-28982.896906931506,110623.0
-50246.00982461183,87238.0
-44525.780354767805,95825.0
31400.13947109846,180667.0
45854.28207861626,200888.0
50379.17373479708,214178.0
-69407.69455527264,70950.0
55657.455072883866,227505.0
Objective Value, Total Weight
-18672.12360653575,122667.0
-75671.13617476507,66111.0
-6984.335713004781,132749.0
-587.6786858559353,142408.0
38860.570021475985,189924.0
-12791.563543652446,129150.0
6294.524331203022,150715.0
17659.709519148193,159866.0
21830.530400915886,171347.0
45860.74456444927,210762.0
43350.360318192485,200175.0
-59796.28193557018,81108.0
51127.62058164386,222208.0
32555.651396681264,179772.0
-67526.94632189473,74031.0
-36024.46168952042,103690.0
-44229.1797128687,97547.0
-27973.86854011417,112179.0
-52078.64093597242,90301.0
55807.473256286146,229303.0
Objective Value, Total Weight
29437.00231916303,178165.0
37313.93212236211,194212.0
-31869.502701777586,110341.0
17809.099431578652,161548.0
-19467.58354988633,126283.0
-2194.2902832506516,146552.0
23739.832389384712,169284.0
-6913.557288520649,139713.0
-26094.001586448547,117738.0
46588.317070562945,202540.0
-12566.29154107417,131310.0
-48820.91096082929,95150.0
53484.61693647836,214228.0
-37146.52661164245,103250.0
10414.23181431301,155779.0
5542.6168384547345,146772.0
-54601.45324984932,87072.0
-62453.848404662625,78060.0
