Objective Value, Total Weight
43308.34288874877,188507.0
48708.420540081075,195818.0
37159.90781451372,176703.0
5164.33454227788,137664.0
-35437.97519044517,97328.0
7909.152268163889,144597.0
-2739.2075254768715,131695.0
24160.628139263048,162253.0
19640.53094152143,155447.0
-9926.567642266338,123388.0
12136.64077060364,147332.0
-29961.194099920976,102596.0
40415.380572318245,183116.0
32647.833151171246,169936.0
-22834.081129432132,109201.0
-15722.717935688474,116726.0
52825.89332599036,203333.0
55592.590715964994,211612.0
-44473.79514687104,88197.0
58685.940372431185,220557.0
Objective Value, Total Weight
-23951.187501983193,113398.0
1572.988548579975,140786.0
-11536.587741612864,126597.0
26828.383609568904,170967.0
-7267.94330523847,131397.0
37440.07240291883,185908.0
47642.27524741611,203110.0
32428.61221005337,177907.0
-2226.0353226606676,135875.0
6193.505905905331,146442.0
-36413.317823920894,101557.0
11278.73081342876,151107.0
44507.19987117301,196422.0
19700.617870121874,163409.0
-42788.18866461466,95204.0
-16518.023283666553,121016.0
-31238.390515614272,106471.0
50852.27909533947,211999.0
52559.41641441258,219892.0
-49295.059958458616,89116.0
Objective Value, Total Weight
-13209.766679497,121874.0
-649.4498797412962,134563.0
25859.831833143835,167333.0
9646.750200428069,147329.0
6353.635061536479,141338.0
-30909.558415500214,102232.0
-22007.535656412074,113033.0
38662.48680827272,186558.0
-4728.703950095252,131417.0
22101.862237711262,159252.0
30628.018999346386,173707.0
-51378.34825803316,82733.0
15132.327119363443,151244.0
34856.624879541865,178412.0
-36951.25782245799,96021.0
56770.798500674864,219702.0
46039.13131057634,194985.0
51528.57426829447,204213.0
-42770.25296319122,90359.0
-58567.70740975454,75688.0
Objective Value, Total Weight
42695.612375442084,188633.0
-20432.068451112485,112699.0
321.1569106115494,134807.0
-6129.230937860935,127366.0
-14161.18331270758,119441.0
-37657.284106896695,95479.0
34675.58136895273,178022.0
16480.07043484709,153796.0
-32952.35466018843,100244.0
-28299.751420555374,104895.0
10764.349395849684,146900.0
30955.208248277777,171867.0
21067.397243142128,160994.0
49113.01414764137,201846.0
26713.02291441022,165807.0
46399.819210692454,194590.0
6336.87400509158,141544.0
53771.50041096372,209047.0
56702.042805349425,219174.0
-43700.55215272654,89313.0
Objective Value, Total Weight
32139.36215183529,170140.0
18234.499024220248,154265.0
39686.26125649785,182927.0
12464.489393596974,145890.0
27386.878082453826,165291.0
54221.493304456,206315.0
-11729.921134256554,120581.0
49702.511686539656,198726.0
7760.436631216318,140471.0
29.0505951566156,133532.0
35797.80350899615,178479.0
-16433.283459733357,115075.0
-4953.997910411446,127647.0
-22427.907413401583,108431.0
22193.961227048247,160495.0
46237.64762083671,190249.0
58437.48830910516,221931.0
55957.74509577916,213094.0
-29148.48039949956,101706.0
-33912.75704491502,97173.0
Objective Value, Total Weight
36439.684976729506,174929.0
-847.2699378115358,132183.0
31442.752023030975,168652.0
28480.204830602714,164883.0
20064.454673847213,154194.0
13945.228016975598,147360.0
39704.57232382783,179879.0
47900.59939987963,195098.0
-25725.86309706018,105037.0
-17633.835271541,113060.0
23693.606566581497,158751.0
5006.305606459588,138532.0
-13578.491187792097,117766.0
55497.8083446307,210135.0
-8756.674831655662,123734.0
42882.500377982826,186893.0
52840.80418258556,203372.0
-33944.45468140772,97480.0
-41456.372746626905,90690.0
57767.71381446117,219957.0
Objective Value, Total Weight
26402.050799253077,162723.0
-15667.930021746055,116861.0
31329.20004257612,172018.0
-9905.842083883646,122837.0
11997.812714546017,147400.0
-26358.014794173097,105478.0
-19681.359992219426,112521.0
55625.33579941714,209610.0
1726.606704983511,135156.0
-2645.03003985103,130044.0
5580.162250889931,139134.0
46813.45801748376,192241.0
18861.812188930635,154927.0
50941.95723044948,201693.0
41677.604173473665,184449.0
36605.12359964574,176579.0
-33864.65862679665,97495.0
-39802.17736934524,92348.0
57080.538195058965,222965.0
-45124.08170669776,87462.0
Objective Value, Total Weight
19104.613896432653,159973.0
-7736.507817601465,127484.0
36628.54387884724,181319.0
44336.482270514476,193559.0
10561.138596582488,148943.0
-30815.281309890415,103940.0
15798.446440125612,154707.0
31335.34278126,175041.0
24597.284630890616,165385.0
47583.00736853891,201583.0
50652.689485847164,206697.0
40935.719457318104,188402.0
-19316.234144036018,115932.0
3058.2536813940096,138495.0
-2724.880870970257,133883.0
-14399.108303342975,121069.0
-24630.847829831357,110652.0
-35603.22339544905,99082.0
54258.21445709985,218802.0
-40621.3868696703,94156.0
Objective Value, Total Weight
52577.991968526476,211007.0
16779.15802823822,154748.0
-3999.8667365091096,131294.0
-44408.45586668697,89289.0
-9236.045396652567,125496.0
11296.159988498111,148109.0
28720.815004139382,174186.0
-29902.065953928133,104263.0
23207.438466839376,162745.0
-36554.77603165642,97739.0
5353.87931642562,143556.0
46883.25547209868,199598.0
-22200.700017367984,112488.0
1520.5469271404436,136456.0
40320.80501050342,186833.0
-16338.123592498421,118733.0
35259.681881189346,179693.0
-52372.941866291134,81576.0
-60372.936493058456,74204.0
54225.89546184239,218524.0
Objective Value, Total Weight
52136.48870558673,201899.0
-455.6148098424601,131928.0
16563.66168331905,151309.0
29909.560708104138,170054.0
-13538.46418568655,118933.0
11428.406793064496,146640.0
40857.441942652425,183807.0
6483.740580963291,141664.0
25102.87387901661,164195.0
34783.48396054629,173744.0
-7506.281236409704,126847.0
4109.3971984958625,136553.0
46103.88473393998,191440.0
-28745.17045292849,104150.0
-23495.091049070674,108644.0
20921.913192852982,155430.0
57776.75646010434,214423.0
54933.334721170366,207658.0
60405.66918287924,223616.0
-35164.047952030174,97388.0
