Objective Value, Total Weight
-7684.850441948278,240331.0
-44819.94903963461,186062.0
10965.956185200484,263888.0
-49571.086605291755,177340.0
-11533.978656523395,231350.0
-56172.88330473739,168659.0
5577.715217083576,254423.0
-72217.43997455126,147141.0
38900.31347472244,310629.0
-65628.48841162003,159290.0
-37629.33747125656,193860.0
-21378.47375828342,215761.0
33611.90967814147,294885.0
-85950.59369404707,134845.0
17485.505753247708,273587.0
853.6273719838355,245653.0
-31925.84672537801,201946.0
-24751.740539430524,207507.0
24902.230366930482,283059.0
-15296.353732256277,222457.0
Objective Value, Total Weight
11788.56846722524,258583.0
-15744.344516160665,220978.0
25485.02210051613,275544.0
-80282.19229735411,144262.0
30137.830030427896,288494.0
-33693.59917964053,196106.0
37915.60275873658,300258.0
16568.93937488523,267883.0
7838.735608454852,247180.0
-42642.30393200077,185600.0
-21097.83110088564,213857.0
40293.568058262405,315071.0
-26163.381963247375,208609.0
-5745.757793725759,234943.0
-35382.54347946361,193565.0
-67721.76718463795,158991.0
-51200.4351451681,179834.0
-60571.01257211901,170217.0
-1101.9680742146447,242809.0
-10528.250432506029,227791.0
Objective Value, Total Weight
11162.635671494994,255881.0
-53305.05582474539,175794.0
36134.10572218581,303609.0
-76281.57858713646,149041.0
6031.71132482728,250034.0
30246.7386289094,291578.0
21479.749420725624,272607.0
-31322.909441851953,197874.0
3709.3604808458476,243259.0
15085.720822518633,264959.0
-24960.285949560173,205842.0
-43222.58873366105,182046.0
-63032.20511307736,163259.0
-16532.42290346627,220386.0
-4812.225615277595,230695.0
-37738.58285094536,190630.0
-1304.9024757071165,237558.0
27407.925851528882,280320.0
-10153.794844744378,224965.0
-20270.045446708216,213560.0
Objective Value, Total Weight
41626.75824432733,316536.0
-46914.84019569814,181059.0
19825.891370434663,269608.0
-25816.938168676395,207467.0
-56436.32465374825,170777.0
24986.748263953894,279301.0
3550.571010170155,248542.0
35203.877299447835,295484.0
-20438.09680490964,217298.0
-65214.39531048853,158876.0
-37489.2003941235,188731.0
-33337.91486448946,199143.0
-7562.279674349469,232943.0
27925.953855723143,287350.0
16267.597095015983,261650.0
-2505.647692676226,241529.0
-76412.75247544958,147436.0
11426.741913036734,252605.0
36068.03588845808,306149.0
-11951.256101241277,224031.0
Objective Value, Total Weight
8584.746242818539,249477.0
-67578.27263518202,159479.0
-19224.57166346308,213548.0
38036.65185864514,305172.0
20947.188104102854,278004.0
-25441.95134367654,206999.0
10275.11216798122,259557.0
-52635.26378883619,178187.0
-87037.70319554087,133644.0
-75564.13871681908,148729.0
-5761.3528481726535,236943.0
17778.252509029408,267161.0
-16493.963164013345,221915.0
-9653.849409755843,228362.0
