Objective Value, Total Weight
57990.44760912494,337243.0
-38475.561404647306,189119.0
-21070.73567434773,211931.0
-101889.88663901208,124464.0
-149947.24738697606,65071.0
-12189.678682406608,225178.0
-32602.18455284217,201570.0
44241.361289020744,323355.0
10300.780139366805,263797.0
-75438.66809785762,151049.0
-86126.54184850134,137345.0
-128690.14481631259,90403.0
-62272.7350094493,163645.0
17597.043081583164,278448.0
-5137.926915474702,237489.0
-51311.80010282906,176680.0
36649.26221230894,307125.0
4572.255909562518,249747.0
-110800.77012799302,107694.0
25784.685377705842,293434.0
Objective Value, Total Weight
-68863.45525342342,163123.0
14906.06139185297,264922.0
-39401.80691823189,203890.0
35151.611049324274,311048.0
-26393.596446351963,213404.0
-12645.534434264235,225185.0
-93068.16808561937,132360.0
-81999.03703286342,149373.0
-122933.44483028451,96389.0
-106933.9809184462,114824.0
3614.408089367149,253351.0
31244.36325239722,294931.0
-139489.5173391496,78083.0
45386.08088494721,322471.0
-159779.41775630406,56650.0
23480.58900757914,278661.0
-55027.05713125219,174756.0
-4320.741700127604,239393.0
-46891.93011742114,190885.0
58244.4635061404,337913.0
Objective Value, Total Weight
23083.04072451481,289524.0
-39647.83001546346,186944.0
-81060.58108455082,144378.0
-145390.76915614284,72019.0
-68530.96885181137,158509.0
-34065.2106027836,199435.0
46369.97758444317,326526.0
-55987.8487784653,174044.0
-131148.03656418767,89276.0
-117145.82509108225,104457.0
-9298.82280670997,224870.0
-91356.90548557599,130573.0
11003.948841613077,255323.0
4226.9521967874025,238248.0
14859.950840081263,273433.0
-22502.384051037254,212050.0
61676.517972956644,345172.0
-107446.01672512633,120957.0
33663.34347816126,308276.0
-161942.18783318638,53708.0
Objective Value, Total Weight
8921.642457143113,263921.0
-19846.396936511912,222846.0
2058.729934800358,247103.0
38549.9557067781,307505.0
-115265.92661861013,107054.0
-36854.387234261085,193131.0
-89760.62890945212,140660.0
-14940.272873533831,238863.0
-52406.12725157803,183636.0
18590.831269253395,279839.0
-74086.92780009296,153305.0
-63196.01988683146,169698.0
-148454.74767095476,72914.0
50056.26725985325,322889.0
-100890.54130625247,124201.0
63515.72943270428,340411.0
-165646.42845247284,50969.0
-26957.612975986325,207357.0
-131899.82819850525,92075.0
22160.792885273288,297096.0
Objective Value, Total Weight
-120888.78398079632,99195.0
-66076.38916175545,163515.0
-3191.0038431834546,237830.0
-24437.802148319024,213631.0
58202.1292953862,338942.0
17560.280359367665,287297.0
47024.32384965173,318160.0
7734.675159005565,250500.0
10389.822030589217,268085.0
-134930.9397231055,83922.0
-44398.15100601985,189205.0
-54518.53336055658,177766.0
-98343.17244319397,125429.0
-87660.01534904435,135606.0
33555.549687742896,298075.0
-35089.74312096846,200844.0
-111100.53281304459,111714.0
-76348.4238318637,148341.0
-13478.438382839144,225978.0
-150261.1129044148,66279.0
Objective Value, Total Weight
-93661.32271907706,132793.0
-27008.490755004343,209164.0
-59802.99100172083,175523.0
-118754.20598467925,100886.0
9692.489880085632,262534.0
35926.895207999856,310412.0
-106697.2687122726,117637.0
25591.459383114357,294558.0
-49856.056180323765,187113.0
-21437.04303689825,222200.0
-152583.90386908987,64729.0
-84704.20728471439,147539.0
18151.93880946032,278380.0
-10381.246235104627,234594.0
-38603.87724562414,198786.0
46620.00341638044,325701.0
-70428.52059971151,159217.0
1462.236608916137,247248.0
61410.73500343721,339571.0
-133857.11155045967,86167.0
Objective Value, Total Weight
-89450.88851820354,136970.0
-103298.67935035785,122370.0
30008.93173886568,299243.0
-39346.11720006162,195754.0
-3327.7401126493933,238558.0
-26540.84198487742,209868.0
-163234.50927149947,52951.0
-131923.4023048347,87101.0
5653.357408444397,254693.0
-16113.753031151777,225085.0
61287.20730000478,341627.0
-118143.17477921693,105356.0
38718.88710601907,312747.0
-61723.41178874031,166071.0
-146735.98541669286,69925.0
-51652.314017378434,182236.0
18347.39034580381,266840.0
26916.75564110081,282301.0
49997.19186669111,325841.0
-73330.06915379773,151028.0
Objective Value, Total Weight
1054.2330757094896,257202.0
-48088.61751759279,189326.0
19607.96389549441,283678.0
-120431.00047196582,104560.0
-24484.90146565839,211407.0
-35436.36504093575,197981.0
-8040.387464084488,239167.0
-59782.92304544506,177698.0
-67680.3705063531,163138.0
11808.530060390534,267377.0
33642.98620847036,316222.0
-136981.06894825437,83103.0
-94666.93330771636,136449.0
60814.73964002699,342859.0
49656.83420530299,327055.0
-80465.40214055491,150710.0
-106068.16078308705,119310.0
30157.902285743563,298129.0
-16576.35957229219,225125.0
-153353.79366612894,64853.0
Objective Value, Total Weight
-127682.75828003313,92170.0
48289.594764662674,324365.0
-6956.609695933352,242606.0
22865.93755428499,280385.0
-112794.98481822675,109659.0
3056.64989100158,257334.0
-164509.4323973456,49823.0
39709.234013229085,309617.0
-146603.68916264927,75672.0
-82900.32038354353,141216.0
-37551.71542027779,198669.0
-17709.467709156976,227732.0
-49016.032814158825,184696.0
-73033.33727042004,157761.0
-62487.12985005684,172961.0
9313.230413030193,270588.0
-96588.39573602963,126209.0
58575.5970401325,340405.0
27272.65081170888,297128.0
-28463.709290165687,214105.0
Objective Value, Total Weight
-55750.92393844569,172671.0
-33346.29451004561,201987.0
-2463.1896888895426,243015.0
31343.567577097565,296760.0
38317.02102757647,312852.0
17230.72379702347,287643.0
-12445.77212893957,229258.0
-23032.298117408936,216163.0
-165623.0990260158,51565.0
63371.72316444095,344095.0
-96776.07266755015,128381.0
3785.008453030023,257485.0
-111624.97953271557,110444.0
-69598.51586481393,159257.0
13838.96520512295,270727.0
-127315.1950176222,92455.0
-83735.42462955735,143657.0
49817.05125491513,327500.0
-46107.12058100192,188712.0
-146009.23805399195,73971.0
