Objective Value, Total Weight
27506.145967788645,72797.0
29327.45007619963,75290.0
28481.64482460021,74057.0
28130.046999101585,73673.0
29856.49095704421,75997.0
31495.44001489786,78942.0
27002.008831296305,72167.0
25071.746569583745,69833.0
32357.949441705394,80556.0
30239.020303500336,76613.0
30500.962366206644,77136.0
25552.24120660429,70449.0
31917.241702946543,79649.0
27690.484199710496,73057.0
24575.622151905307,69227.0
30942.582374772755,78131.0
26079.797457227396,71096.0
22423.502717661715,66832.0
23197.6501994969,67739.0
23942.063520354466,68631.0
Objective Value, Total Weight
27402.111084390926,73686.0
30140.707200156,77604.0
28669.15215102624,75379.0
29291.792315721585,76229.0
28167.852984259298,74395.0
25613.226940824665,71408.0
23411.068524106522,68946.0
31357.24099391364,79578.0
26903.18390481602,73005.0
29727.944799411518,76910.0
26657.24992604938,72700.0
29072.43933465166,75924.0
25955.28841775391,71850.0
25171.860894970057,70864.0
30655.64916736509,78726.0
22118.216794540393,67500.0
23677.827051472515,69251.0
24481.199706983534,70237.0
22948.011658677337,68486.0
21557.91935895916,66901.0
Objective Value, Total Weight
24632.38775546578,68279.0
31562.834365638904,78182.0
30662.57254376728,76632.0
28997.37196104895,73735.0
31220.746134797213,77539.0
25926.404013217005,69817.0
32656.719414231004,81079.0
27060.013033395066,71179.0
23229.473950443673,66694.0
24973.38321824251,68776.0
28245.40675791331,72806.0
32258.088855196023,80172.0
29642.019636224824,74642.0
27761.064290364753,72086.0
30210.35781284701,75753.0
21735.305853906844,65220.0
26531.34007796792,70612.0
22800.42462663639,66441.0
19527.549046207874,63219.0
20603.22639832068,64232.0
Objective Value, Total Weight
27695.678303134628,75902.0
22381.57193116247,68366.0
21747.107220177684,67431.0
25495.531637876455,72372.0
24124.22847549914,70576.0
24932.45512447896,71437.0
22996.071293871864,69126.0
27014.37237005515,74684.0
19829.14495415357,65429.0
21038.383817633847,66791.0
26501.72426896823,73924.0
15511.105118885738,61574.0
18010.578302546055,63439.0
23679.232982284113,69975.0
20280.76802664026,65951.0
26042.52811835264,73132.0
16577.497909583282,62429.0
14788.948478789578,61172.0
19055.691441604024,64589.0
12391.173766644948,59988.0
Objective Value, Total Weight
21770.559653440418,68074.0
23662.641277933828,70441.0
21004.842994648847,67224.0
26680.295278948004,74654.0
23130.985774280445,69780.0
25008.788654707445,72366.0
25733.875580242122,73354.0
25336.958885353233,72801.0
22878.635396502126,69374.0
24368.101348372133,71306.0
26304.747213107185,74101.0
19782.31182828422,65850.0
19476.647933997912,65538.0
16734.976348460972,63082.0
21378.54956737539,67659.0
18610.66276371946,64550.0
22130.67006760373,68524.0
17472.993995439,63928.0
16470.783945925214,62761.0
15839.081276755256,62244.0
Objective Value, Total Weight
29456.965078515103,75130.0
24044.74509125766,68601.0
31316.20606417861,77946.0
28846.287220328857,74294.0
26592.3620011951,71421.0
26954.051991637418,71856.0
32474.822064987457,80014.0
30662.2084815837,76958.0
27394.79292054285,72409.0
27747.015703410507,72844.0
30273.38512937333,76362.0
28387.944579594434,73680.0
31826.59712788371,78782.0
29698.3654558422,75526.0
24745.571778245896,69437.0
25210.656685911774,69938.0
25820.662653320163,70519.0
21270.460692840337,66818.0
23095.937623129284,67982.0
19671.824132774098,65396.0
Objective Value, Total Weight
27815.429593056106,71323.0
23435.49204307502,66559.0
24565.86411676898,67737.0
24004.407533213933,67139.0
26950.619018697063,70335.0
30675.27143249671,74821.0
29375.86381274303,73235.0
31563.910487760615,76099.0
28823.41315334571,72555.0
22866.01052068689,65961.0
31092.783808715045,75501.0
28342.974542284006,71921.0
29880.728246791245,73833.0
21959.573638389338,65048.0
32501.437683463722,77377.0
26361.58779242584,69655.0
25812.190861892464,69057.0
24992.519410582376,68209.0
22068.57143616538,65180.0
17970.339842100177,63986.0
Objective Value, Total Weight
22877.314044981686,69016.0
23540.85653182851,69750.0
25884.890111899178,72539.0
28169.23943816108,75530.0
18899.38446224398,64566.0
26954.18803164203,73546.0
27471.569586071026,74583.0
17323.848080490585,62970.0
21844.137015262226,67797.0
19732.225495241903,65468.0
17959.368063648813,63560.0
24727.05815744774,71125.0
22352.38106981774,68368.0
20129.737969288108,65903.0
25481.425897301466,72027.0
16555.854173750515,62194.0
28777.015004560104,76477.0
20972.56103562034,66850.0
15920.022584645238,61536.0
14659.199848052274,60605.0
Objective Value, Total Weight
19407.82518648771,65681.0
25900.702580838057,73211.0
24815.018619583367,71795.0
27561.884663353267,75483.0
22095.549752849678,68517.0
24301.450834724877,71161.0
22415.904768625915,68889.0
25111.373875229678,72167.0
23888.283806566877,70655.0
27895.498046230045,76045.0
26836.277371905264,74477.0
22957.558007543063,69523.0
21068.89252160178,67383.0
23271.15759547845,69895.0
19856.83540266579,66243.0
26283.572680282872,73717.0
20413.746632971874,66623.0
21394.330704192485,67755.0
19163.7826799467,65420.0
17363.20681125918,63622.0
Objective Value, Total Weight
19825.027017653832,65003.0
23951.415170945635,69657.0
28260.76658549563,75392.0
25223.78309665354,71260.0
27115.97139069406,73757.0
29719.28808964006,77763.0
26445.333750480073,72836.0
21790.746546566952,67224.0
24676.836906520577,70564.0
21006.71684924084,66303.0
22836.943518299624,68357.0
22247.477581734885,67688.0
27640.716302781904,74485.0
28861.51354848742,76313.0
17354.432392974035,62641.0
23380.051914183685,68988.0
25763.03921370067,71929.0
20037.443067190135,65426.0
17914.256807735,63244.0
18777.624380753696,64108.0
