Objective Value, Total Weight
21912.4677972043,82981.0
-10760.919677885075,45107.0
14538.019347554771,70701.0
-15719.488541087572,40255.0
4007.4220591508347,59104.0
18131.028371846187,75225.0
16049.568819060776,72500.0
-8013.201215483496,48030.0
20131.814156126115,78332.0
6703.39782053807,61745.0
-5729.284780270187,50166.0
-18851.51396168716,36884.0
-1798.282247982439,52699.0
-29167.053565519294,28026.0
8964.908970221019,64280.0
-25478.39031907104,31100.0
-22625.91876683179,34290.0
-12923.67499815629,42890.0
1562.2967304217018,56136.0
11269.796968171533,67061.0
Objective Value, Total Weight
-4305.823467132155,47247.0
-10035.791629047017,42036.0
-1652.8613779273874,49770.0
17836.86407727492,71083.0
-19519.405750796097,34648.0
22077.95275787711,77173.0
20321.150876230706,74133.0
23566.632296069074,80156.0
-12158.353855784851,40260.0
8416.216001035209,59923.0
2920.715531425987,54752.0
621.1297108728468,52315.0
-8469.24209383552,44310.0
5435.801578084123,57280.0
24598.910172168573,83314.0
15604.954394942484,67865.0
-14360.360354679302,38530.0
-17185.621153029817,37105.0
-21943.21442939584,32783.0
12531.161582871136,64240.0
Objective Value, Total Weight
9722.54843272637,62112.0
-2946.712977809104,50181.0
4350.94081608078,57637.0
15348.125267346099,69216.0
-14553.868297435722,39536.0
-1168.070821804169,51990.0
-13075.115030224159,41929.0
2585.3275459339784,55994.0
-10880.047713361579,43797.0
18979.066467674827,75122.0
20831.71078908036,77653.0
-5619.607468782051,47054.0
7479.8657296202,59931.0
13776.511210585799,66258.0
11117.904929449418,64900.0
481.4750465127436,53459.0
-8250.648639645719,45825.0
17902.146265805437,72005.0
22599.599421484847,81417.0
-16977.9518619842,38577.0
Objective Value, Total Weight
940.8152890815545,55430.0
14935.289785151574,70601.0
12425.39218240956,67166.0
-1528.5106348111149,52389.0
3967.35919496094,58252.0
-20288.929959801622,34780.0
-11608.487737317759,43022.0
18183.36581422355,78226.0
10421.77271392163,65390.0
-4082.57734339156,50022.0
-16736.515958546326,37915.0
-9194.767043754473,44977.0
-24526.61255477184,31305.0
-6786.319914712731,47221.0
-14362.98716770875,40047.0
17917.532439867893,75757.0
19342.687415893917,81711.0
16037.758157082513,73062.0
7496.540285243711,61997.0
-27768.18385713194,28293.0
Objective Value, Total Weight
-2886.0095734291535,49390.0
14990.35209698233,67743.0
-14651.793304882274,39385.0
-19595.28179365315,34967.0
-17295.11773147853,37129.0
13165.118745659172,65830.0
-8462.367710225706,44419.0
-12128.074669082256,41665.0
8270.240915310409,60092.0
2271.2501138461957,54622.0
19643.115614367736,72820.0
16952.512251720298,70150.0
-139.12070896652585,52660.0
-6155.647120383859,46228.0
25401.986484740803,84014.0
