Objective Value, Total Weight
10616.390060084785,77113.0
-2773.6092725208728,62469.0
8167.3731669691915,73676.0
-1541.3415144442552,63897.0
9356.512960214633,76210.0
8913.863121076356,74829.0
11379.485805758159,78448.0
12794.740380662392,81901.0
4403.75359393016,69740.0
-343.79595442181744,64719.0
-4508.192685437069,61337.0
3152.758437906945,68557.0
12067.172912873444,79778.0
6682.1254398905585,72228.0
-5788.967733884856,60258.0
5726.457073635262,70909.0
-8367.252661295948,57698.0
-6613.213445206828,59050.0
702.1304199527804,66038.0
2217.6138114424684,67627.0
Objective Value, Total Weight
-8805.735090634742,67224.0
-6331.458918557473,69289.0
-7152.700973277795,68753.0
3860.6327272461494,80484.0
1366.5721906808612,77553.0
-3374.486532867799,72526.0
4528.87277419657,82774.0
5102.330038598404,84013.0
2729.8364561699273,79768.0
-8024.168618657553,68040.0
-1833.4671979788545,74098.0
-1001.205316444044,74965.0
-5090.9519949460955,71231.0
-5786.225733484433,70350.0
-4280.160346527497,71910.0
2147.872696206381,78442.0
-2824.995859974544,73470.0
538.4407511075406,76943.0
-88.39824281093024,75835.0
-9732.965155084807,66796.0
Objective Value, Total Weight
11643.901484436312,82307.0
-5726.241581691036,63417.0
-3896.7554118593835,65312.0
4198.04411643483,72829.0
-2367.5337639684003,66082.0
8167.843211462605,76931.0
9026.097359187668,78244.0
2238.289665954595,70636.0
-360.85558090521954,68544.0
6357.6065278116,75035.0
7202.060869576744,76127.0
-1641.270087412282,67249.0
1268.7259308711655,69584.0
11129.70696461403,81183.0
3259.9191944272898,71777.0
10054.406852573782,79642.0
5286.030880528255,73756.0
11971.964486060315,83966.0
-4684.819322357958,64194.0
-6872.436996629418,62483.0
Objective Value, Total Weight
6084.288722333527,71568.0
-4058.366759192606,60986.0
381.28311164733896,64958.0
-9120.323693676284,56526.0
-790.061365587826,64206.0
-2208.2716135215014,62506.0
-8323.05985227508,57893.0
7695.879121623613,73187.0
4782.130653177694,70274.0
-6716.177961137131,59373.0
1259.1281672381738,66142.0
11860.7198919144,78331.0
-5527.804879851072,60125.0
3952.3078141237056,68836.0
10585.648390336384,76721.0
2513.572857804844,67552.0
13685.159373804301,82569.0
12920.04479976269,80305.0
8793.811978063459,74821.0
-10550.731179937211,55593.0
Objective Value, Total Weight
-6304.366370530741,65139.0
2411.381234028813,73403.0
-2887.1981940230617,67995.0
1399.0659756806854,72289.0
3556.8023898385,74474.0
8088.431522910963,79767.0
6390.800769494745,77952.0
-2031.8881650585536,68753.0
5575.146315888283,76792.0
-3949.786245717769,66870.0
-7497.30912082782,63749.0
10044.697080747515,82827.0
7251.829017738564,78905.0
4481.262414648008,75435.0
8770.54550435397,81206.0
128.11556455718528,70972.0
10659.274053325731,84716.0
-927.3115903337748,69779.0
-5079.315777416428,65830.0
-8427.044183998602,63149.0
Objective Value, Total Weight
-11635.16910986854,66887.0
2582.5666801485786,83818.0
1441.8549534277554,81753.0
2839.5131990139344,85811.0
-2928.16743489106,75057.0
-2279.9129544899333,76242.0
-8346.391975604798,69952.0
-1477.2989062046254,77273.0
-672.7559639251122,78254.0
406.97899752348894,79016.0
-7439.095230459614,70874.0
-9390.745968534247,68944.0
-3997.3652588658006,74262.0
-5720.8004648513015,72567.0
-4884.933314590133,73457.0
-14239.31247111669,64707.0
-12716.213789639674,65879.0
902.8598288242501,80201.0
-10542.694330986138,67814.0
-6646.663691715803,71839.0
Objective Value, Total Weight
-11396.515888009162,69040.0
-13926.1247459804,66762.0
-16135.907958136595,66489.0
-2824.252738013529,77601.0
-3607.009806707196,76351.0
-11607.131596828607,68878.0
-90.31942652941507,81377.0
-1727.533232488844,78848.0
-10395.10984772358,69701.0
-12524.73169504742,67740.0
-4992.107787248082,74804.0
-1102.2645009900443,80413.0
-4311.324235597611,75994.0
-9665.946546606647,70601.0
-7515.579945731384,72447.0
-5763.754444356746,74453.0
-16151.94649131861,65288.0
203.97984226918197,83786.0
1199.5450965882628,85382.0
-9215.4647347032,71849.0
Objective Value, Total Weight
2501.40899775007,77002.0
-10857.117541217449,62455.0
-3422.163845909352,69977.0
-13698.041533928976,60266.0
302.8699066299305,74185.0
2712.0816498793283,77750.0
-2506.586760191145,70833.0
-1031.5986071442749,72175.0
-9690.789782636333,63755.0
3862.190313222891,79277.0
1781.4702316110925,76005.0
5441.227682615718,80703.0
-12591.412280051256,61678.0
-15448.340802548613,59110.0
-7039.189940383119,66186.0
-5721.329712676423,67846.0
-8604.512787942469,65159.0
-4230.040318531028,68888.0
5957.344352835367,82200.0
6581.942392404424,83659.0
Objective Value, Total Weight
4845.14854960535,79020.0
-3921.2096269829053,68928.0
-6469.843332220058,66674.0
-8551.09706765115,64433.0
5562.045411048122,80468.0
3646.087088496366,77866.0
2728.037957749082,76625.0
7715.936468037558,84962.0
8267.297614474446,86542.0
-4821.233412679212,68027.0
6309.359965610056,81977.0
6623.461912448867,83473.0
911.5880901657074,74102.0
-7594.442278017043,65312.0
-2771.0590575649403,69787.0
-2241.912462244989,71010.0
1988.8291471876291,75179.0
-1345.558910430991,72069.0
-315.8774862920691,72975.0
-9710.533081561924,63614.0
Objective Value, Total Weight
-1017.4430547685333,73842.0
3434.138970234926,80254.0
-5991.0608610718045,69301.0
-5059.815442078892,70479.0
-2936.800774327552,72771.0
-7166.5541090313345,68324.0
-11579.890328620531,64100.0
-16028.040946929017,60077.0
-8158.840598062539,67212.0
4321.5589961756195,81790.0
2888.9668539908016,79310.0
-14521.395146426948,61320.0
-13522.399975869557,62367.0
-489.74894321076863,75612.0
-3845.109454903635,71659.0
-9168.588402954672,66235.0
2076.6685159850167,78147.0
950.2202790306474,76972.0
-10360.286480776354,65251.0
-12609.829965248806,63119.0
