Objective Value, Total Weight
103296.88795085368,389513.0
108854.26175254193,402450.0
105927.35552560253,395226.0
100680.57118152641,384327.0
106776.16591737297,397130.0
101956.86342481064,386787.0
104378.34822545841,391790.0
103712.10294522712,390398.0
102647.18377767812,388179.0
105501.26952625305,394242.0
104852.01951477188,392850.0
107655.90725987812,399232.0
101289.78037824284,385463.0
100025.59652054688,383039.0
99336.93725700333,381715.0
98773.79515974002,380775.0
98268.88068907044,380111.0
97283.26287873654,378084.0
96491.92384454241,377672.0
91776.57284561283,374441.0
Objective Value, Total Weight
110797.6333319323,408772.0
111372.10472540767,410400.0
107980.67156987375,401452.0
104079.71587591356,392779.0
103042.45639849553,390574.0
109671.63115939376,405734.0
104533.55799194425,393748.0
110213.77211368934,407172.0
112550.27328927588,413836.0
112016.91988413956,412236.0
109108.60154002969,404284.0
106463.64016118867,397867.0
113160.22060745204,415730.0
108542.04328899749,402846.0
105831.44405248755,396527.0
102064.72859049612,388821.0
107019.18993499293,399175.0
105257.5223763116,395219.0
100642.75259698537,386439.0
99440.31375525042,384422.0
Objective Value, Total Weight
103597.19934519805,390718.0
104513.48888472351,392706.0
102728.54297986819,388948.0
109425.57706217084,404795.0
106881.10689665121,397923.0
105356.99049774004,394497.0
99343.95584747056,382320.0
106243.62832346442,396485.0
108279.39879520854,401275.0
107543.12336328399,399425.0
102018.9369081909,387510.0
101166.4201714748,385836.0
96909.03171232768,378078.0
96198.65828198392,376841.0
97936.83748680667,379672.0
100671.64463942457,384862.0
98485.05461038876,380717.0
99880.51493139088,383365.0
94531.61863632192,374460.0
93097.75298224692,372889.0
Objective Value, Total Weight
96107.91407122446,375970.0
105197.2194453199,393773.0
104596.20546644076,392596.0
99472.37016275135,382117.0
96786.47764252737,377104.0
100113.1710254447,383341.0
104138.32256709697,391496.0
97801.32017935265,378996.0
103536.58398993616,390188.0
100799.87776671577,384656.0
94502.94347641588,373552.0
102782.86518114165,388608.0
101464.24116979627,385950.0
99154.42986114993,381505.0
102437.93495656247,387911.0
95380.67516071285,374646.0
101847.71726670978,386706.0
98496.86577293026,380290.0
97090.29066635744,377672.0
93564.09260816494,371974.0
Objective Value, Total Weight
110506.90298294375,407690.0
109825.45709866157,405816.0
108556.37189070549,402584.0
106590.82795284141,398032.0
107971.53792514553,401146.0
111714.25100216846,411134.0
105048.43047758867,394414.0
109291.7905452376,404420.0
112587.26740114571,413945.0
105686.53296910942,395806.0
107277.48606568191,399492.0
103787.85686143255,391766.0
101164.22068124329,386572.0
111071.8549111117,409260.0
102877.6380356804,389922.0
104444.63696886011,393158.0
100616.82364990603,385722.0
102199.33815255074,388530.0
99075.14216945024,383760.0
96635.46914841811,380714.0
Objective Value, Total Weight
107933.56696633232,399759.0
109917.5293244996,404592.0
110314.14948647015,405647.0
108954.33610656887,402211.0
100940.19224719785,385352.0
106991.84027570655,397598.0
104536.21692123619,392286.0
105587.11737428902,394563.0
112070.88266763953,410485.0
111230.14166264492,408028.0
108429.2773607049,400933.0
112628.50831611815,412085.0
103715.71771143604,390648.0
104865.66672290285,392968.0
107391.00559857942,398481.0
102763.95139151346,388796.0
106385.24903891532,396204.0
101938.63789295155,387306.0
99719.0057515467,383819.0
97796.59024726972,381060.0
Objective Value, Total Weight
104430.53249504737,392683.0
104931.70313040994,393842.0
101403.65799374116,386370.0
102065.07529843505,387704.0
100415.53533176909,384468.0
102702.00019397389,389012.0
96940.9755975171,377884.0
98954.19486263517,381632.0
105964.68848918285,396119.0
95152.46306107292,374662.0
98196.51318139985,380194.0
96161.22011776053,376446.0
99734.7702553639,383134.0
97651.41548705183,379218.0
103789.45713434886,391289.0
93481.73083095124,372302.0
92106.34811817226,369908.0
91023.58001761726,368404.0
94783.38947353227,374008.0
89808.50083925197,367075.0
Objective Value, Total Weight
106665.85359021061,397146.0
101711.80818322184,386675.0
107829.40463197761,399928.0
105391.81545295962,394258.0
104216.9011119121,391757.0
106128.76998485636,395870.0
107378.78797670803,398758.0
109391.64354906481,403702.0
108518.38154269336,401540.0
101149.53901777562,385567.0
103038.71663670283,389315.0
103582.11898698262,390423.0
104773.54586121696,392924.0
110066.41881984985,406285.0
100679.78922640975,384661.0
98820.69840350962,381381.0
102369.63712399238,388009.0
99801.26217947347,382975.0
97789.27454471507,380450.0
92118.713208979,378689.0
Objective Value, Total Weight
109127.08750101092,402842.0
105443.5002439582,394363.0
111719.4766175996,409728.0
105963.92019356345,395481.0
110627.48088596389,406770.0
108115.79659867834,400390.0
107564.1733764984,399082.0
106978.63971353252,397748.0
109965.80550194316,404970.0
104622.8662207853,392627.0
102550.6884209303,388365.0
103047.02754315315,389391.0
108593.46451628412,401534.0
103937.70043742197,391189.0
102080.58192739938,387441.0
111287.09463323088,408620.0
101374.22017428261,386055.0
100645.53292525181,384617.0
99259.84317334095,382523.0
97183.99599844316,379624.0
Objective Value, Total Weight
112380.60111324908,411952.0
104065.63975328952,391647.0
107985.75565775117,400358.0
104691.59720724629,392981.0
111078.66086468496,408208.0
105933.904439974,395629.0
109773.74633132509,404772.0
110478.33447136334,406580.0
111817.4343902056,410324.0
103047.9764340006,389734.0
109140.8720513336,403144.0
100744.63435839466,386192.0
108578.6855059769,401750.0
105325.83271749545,394295.0
106562.18060630228,397021.0
107555.22905155586,399298.0
102338.99570507981,388445.0
101093.62311420706,386874.0
98921.65873786394,384574.0
96831.11017964728,382562.0
