Objective Value, Total Weight
80615.69244244066,444682.0
-97172.87752186379,201530.0
23044.36587233492,328217.0
60914.160889124265,382966.0
35563.85557742766,351531.0
-52995.13392044493,247879.0
-69725.32104794483,231019.0
-85467.28258276166,220353.0
72965.18064106675,430010.0
-12494.695760611969,301331.0
46048.974346023635,370287.0
-63741.27395442262,239486.0
67623.21877884952,403586.0
-27139.021206706297,274296.0
4554.658633327344,306649.0
13191.484988794662,317536.0
-91752.61936800613,213667.0
-15879.74924322404,279615.0
-39765.068171891675,258447.0
-34920.124425481714,266294.0
Objective Value, Total Weight
-113200.46528149763,188518.0
80152.36406429851,445441.0
22940.931759244762,339158.0
76315.65698524652,424436.0
43133.50264365086,362984.0
-21494.06530261383,276775.0
65889.68199613679,402434.0
-104942.01295812218,202493.0
16236.835610620328,333784.0
-81738.30703417014,214880.0
7479.5730032779975,314331.0
651.6262395044323,308249.0
-39111.25795558718,272276.0
-71869.55317122757,228586.0
-18615.450998542365,304019.0
43918.78555276577,380216.0
-62306.108611386444,246381.0
-20864.431815396063,303758.0
-97344.58422859787,213071.0
55052.747423155,387451.0
Objective Value, Total Weight
79253.7428645587,443359.0
-114035.38371058233,183096.0
3299.9490216662525,306530.0
19858.16780347185,330534.0
-93699.99909539823,208873.0
-103470.30216043524,194700.0
49193.42282809742,365219.0
-9211.511215243489,302036.0
63448.51604200143,402633.0
-24193.472385821573,278822.0
-63369.60221635533,228746.0
41182.25710263924,353030.0
55304.35420889291,385162.0
70227.7946216109,428917.0
-19562.968608367315,287318.0
-77713.7726571351,223084.0
-37916.78018772078,265271.0
33669.028733021754,340477.0
-53953.665475966,240387.0
25858.514946328884,340305.0
Objective Value, Total Weight
84090.3243384239,442782.0
-95023.96321373666,202663.0
-4739.280339695397,297833.0
-19215.565109808056,280976.0
40663.10630124505,349810.0
-70877.31405556918,233107.0
69033.09134750802,393619.0
56226.866242186574,390466.0
-81218.02082881937,227423.0
-88543.79429173243,213327.0
24154.55045553972,323283.0
51850.08977307897,371269.0
-56572.59055911191,240097.0
47467.58974616951,362430.0
32760.405717676796,334996.0
6682.882277780329,313368.0
69124.53479602258,418884.0
8832.206802029104,314913.0
77253.56926546688,439070.0
-46508.007890500885,254985.0
Objective Value, Total Weight
77494.23681626876,438264.0
-103989.77115913178,193000.0
58354.49381244375,388364.0
69377.77728286106,431275.0
-57870.317503707425,251234.0
41051.5953295271,361002.0
-38773.18759849429,252897.0
-70672.22539877926,237533.0
52584.89646871411,374576.0
32071.704998383182,347907.0
-9840.2300769047,294241.0
-77333.03734287969,226505.0
-22281.26998648327,281049.0
-30347.415347455302,266409.0
19513.401887276093,325231.0
793.6634939805954,302282.0
8374.890999117692,310885.0
-96638.9924889052,201359.0
24461.2455901035,338465.0
-84056.20855370752,216851.0
Objective Value, Total Weight
80651.37824150978,443245.0
-93254.97324075579,205798.0
-31915.04312202375,264493.0
-54442.437297150725,254401.0
-13244.301465613476,293341.0
69042.12385506602,424367.0
50978.540912214085,367734.0
-80641.60297619575,221690.0
16695.35089022963,334601.0
38940.29852059926,354049.0
77035.24632278044,432919.0
8828.10923698271,318524.0
-271.21919980080565,300025.0
-91538.88404215517,209985.0
29479.785132539226,338878.0
-78217.67333540425,231935.0
2100.408614063519,305522.0
66715.8729481622,404599.0
-22146.535064921074,283398.0
13409.75131388579,324732.0
Objective Value, Total Weight
77679.82278968894,434390.0
-97035.63949555886,205073.0
19914.770874046895,330145.0
-82431.49729217967,224035.0
44033.53914659994,373128.0
-6882.888703346951,294675.0
31317.651122737443,345504.0
36075.423226669314,354432.0
-70374.69879824866,238229.0
-21102.73042330047,288306.0
65994.02926533477,415898.0
62391.62377060874,406634.0
-44540.59866205533,257178.0
2289.213843590638,303620.0
72792.49057417223,432781.0
-54937.983852911566,243702.0
-30764.83747353428,269572.0
-80127.68172230927,234893.0
13000.990040083707,315212.0
54656.7306612088,391207.0
Objective Value, Total Weight
78597.91364033695,439511.0
-97218.27461147495,198900.0
-12842.725434570923,293368.0
2186.577075964189,308302.0
-25391.34592371597,279944.0
-42413.75230461883,274423.0
-49529.761600996775,249457.0
49044.401880905614,374423.0
59949.59515068494,389181.0
72813.2199876075,418134.0
20929.7543241402,335933.0
-81815.63858850452,223407.0
63528.905310476315,395999.0
70238.00204566825,410099.0
-44892.858825634816,262669.0
-76085.06401808053,225305.0
-62955.63308367372,244002.0
13685.988708653022,319108.0
-90917.88588334562,210050.0
41238.64539493655,361581.0
Objective Value, Total Weight
79197.4645273051,442049.0
-92989.4555527569,205880.0
47657.99206204183,370758.0
65792.92303163913,405372.0
72529.18763615837,415014.0
-31565.554392675695,278442.0
-66824.5939510588,230689.0
