Objective Value, Total Weight
-197874.65014889796,216931.0
-278482.03308072255,138265.0
-184979.93375544884,229862.0
-234468.51474010822,180146.0
-317145.18099265784,102643.0
-224485.8239987652,189776.0
-81952.49672341032,343349.0
-71391.3901030664,355344.0
-135547.93107478088,283775.0
-302728.67318557284,115763.0
-251553.44471987325,163849.0
-51293.79978407326,381503.0
-260846.09373188653,153717.0
-146776.97272247606,270167.0
-207674.64302342688,205851.0
-174311.68758250767,239652.0
-102057.09368581785,320956.0
-158462.95359536377,256713.0
-125496.06598859356,293831.0
-112463.50769209111,308531.0
Objective Value, Total Weight
-128621.03961446759,287425.0
-43123.523808796366,392833.0
-90651.88385784265,331804.0
-220494.5667718065,191665.0
-258765.21569165983,156304.0
-243919.6716616272,170030.0
-116824.18259551894,300625.0
-100658.107106035,319985.0
-273473.30703345034,142429.0
-74138.05578091025,353238.0
-197377.32470291667,216430.0
-65673.7001254555,363480.0
-186055.46388950362,227185.0
-51414.14419701183,379594.0
-171978.70911486534,242787.0
-162471.84001165908,252012.0
-235668.14586019842,176255.0
-208412.49139124108,204150.0
-140227.81086792046,275848.0
-151205.83172184642,264007.0
Objective Value, Total Weight
-371534.58530101547,55634.0
-276766.8916760415,139208.0
-115265.13856916415,305917.0
-219787.61309769208,194566.0
-48817.16783798201,387773.0
-157355.14906448667,258300.0
-135417.2365780382,283193.0
-176212.5037150703,237422.0
-259849.59532561636,155614.0
-23905.148915824364,424585.0
-68739.15237618465,362017.0
-314406.0658836805,104277.0
-85402.87549102656,338523.0
-351838.70973637945,73564.0
-100171.25442332192,321792.0
-330221.73219518195,90142.0
-296022.04206361464,121223.0
-241982.40055809007,172136.0
-199862.82411771518,214791.0
-403012.28276931937,29521.0
Objective Value, Total Weight
-351226.44283829763,71182.0
-104445.15855399508,317970.0
-30550.7157278636,411156.0
-303090.90232879564,113723.0
-71565.09603277949,357513.0
-252918.09214943042,161562.0
-135921.2368190103,282602.0
-149763.90921527136,266555.0
-41194.99915608013,397401.0
-271830.9586697146,143945.0
-286144.8838604947,129072.0
-197204.48366369522,217054.0
-120500.01083272393,299227.0
-166423.75170140626,248406.0
-332279.3571961141,87514.0
-239948.468552412,174113.0
-87457.54846021417,336872.0
-184868.84695445915,229781.0
-225844.98942145344,187257.0
-213316.1792470907,200198.0
Objective Value, Total Weight
-57814.494746836426,380941.0
-325985.64350097283,94671.0
-302325.5364293091,115792.0
-100153.26620803244,325599.0
-68163.89284742222,365469.0
-46298.53669236554,397188.0
-111739.92664236977,311141.0
-89563.6272600785,339144.0
-352399.53517269203,71775.0
-286531.2507209901,128747.0
-144010.26026152348,273274.0
-132361.40403736377,286908.0
-173862.0608202343,241333.0
-154243.6519597377,261142.0
-258833.26802976488,156265.0
-204663.16530244978,208992.0
-377844.208844558,48821.0
-226628.43341749505,187498.0
-187756.36297775374,226291.0
-244660.8954292101,169872.0
Objective Value, Total Weight
-143741.804362657,271775.0
-37037.11271931289,396078.0
-48223.83884037088,379933.0
-69081.14583649847,355862.0
-285081.1582417939,132489.0
-173412.54661578994,241224.0
-188971.56603505893,224877.0
-158962.47813394567,255827.0
-55067.02922408801,371183.0
-245759.72377016547,169628.0
-134421.6424097821,281046.0
-79061.55277270061,344116.0
-112826.11058099283,306235.0
-225289.67485524743,187919.0
-90664.25047499954,331918.0
-101080.23348988185,319031.0
-199141.41341179417,214161.0
-211790.2249773576,201494.0
-122752.7248477639,295593.0
-260647.58771011565,153563.0
Objective Value, Total Weight
-238668.50128785305,176377.0
-66526.62821180321,363075.0
-161921.21022096346,254197.0
-15135.58514395007,431872.0
-197780.28991251683,215678.0
-212022.75533545273,200997.0
-260422.42218792543,154821.0
-230775.8009630568,184197.0
-53314.53576114972,377979.0
-78478.43258496746,349428.0
-172813.91585144307,241019.0
-89712.30333619734,335519.0
-23328.164596239687,418031.0
-38439.08366833662,396807.0
-106179.02687125315,313907.0
-185224.7745453184,228510.0
-148988.55755803932,267713.0
-280810.84004405886,134282.0
-135446.00759288232,282556.0
-123630.4069236436,296447.0
Objective Value, Total Weight
-61060.491365018825,368144.0
-230781.44614587358,183544.0
-2716.6980936028995,451936.0
-242408.8482201809,171532.0
-223483.98167451523,192165.0
-18920.438839664566,428412.0
-183375.27506080223,231813.0
-33117.06216072047,407433.0
-208474.7720129898,205184.0
-199200.55076289288,215524.0
-145171.5543390828,271458.0
-103653.88890819653,319280.0
-45298.36171262036,388173.0
-77090.4521631457,349774.0
-159865.98931893188,256474.0
-87840.67229088221,337019.0
-116414.82087179937,303765.0
-65434.607744470704,363234.0
-132409.37304741994,285952.0
-172823.66322508536,241998.0
Objective Value, Total Weight
-123208.30105547427,296608.0
-12028.411509667872,441639.0
-68862.95462547208,360110.0
-98467.90425928292,325778.0
-84112.99642739183,342794.0
-292785.54522528086,123816.0
-211529.7902124516,203232.0
-168020.10648233438,247155.0
-199806.77524878073,214902.0
-36200.42198305472,399460.0
-279570.63202049927,137848.0
-243322.58407286293,171845.0
-229543.54449712567,183952.0
-109740.58611768926,311120.0
-48247.71057273279,385101.0
-261435.67524542834,153267.0
-317325.07239123783,100554.0
-137857.2633506339,280817.0
-157076.69666898448,260434.0
-186663.46019136603,228706.0
Objective Value, Total Weight
-294462.11104780587,124927.0
-275517.0057474321,139165.0
-129956.66745275346,287492.0
-105855.74823795562,315927.0
-33544.195489683305,411830.0
-95658.12753222394,326678.0
-145888.30299481587,271154.0
-260185.43669520272,154560.0
-73028.20547350391,355373.0
-188376.3010276198,225385.0
-211029.6378931412,201999.0
-227989.16528438329,185058.0
-55435.438059916254,376078.0
-243125.36299977393,170065.0
-303807.03406115365,113005.0
-198676.5422132127,214203.0
-331874.63337254786,88015.0
-174388.85200747248,239565.0
-118063.43327010248,300555.0
-158098.42094127258,257390.0
