Objective Value, Total Weight
64051.65112119855,495199.0
101047.75517006824,558208.0
62509.79560309334,491747.0
87187.53751258377,532186.0
94382.7977239592,544431.0
106048.88953612524,567766.0
76346.23736438865,513999.0
91032.86812612414,538764.0
50633.01394035178,475200.0
53284.100077166804,478138.0
34106.69275610917,457707.0
68639.57231587137,501418.0
39307.58021551743,462779.0
42564.71201866027,466760.0
71923.50363984145,507106.0
56865.85659149662,484493.0
79546.22325740801,518944.0
26697.573433720274,450112.0
83426.09577777656,525545.0
17161.90199955355,439670.0
Objective Value, Total Weight
53610.03944074211,479500.0
70787.07941110851,505351.0
67342.22046932753,500675.0
86291.19018541987,529267.0
78805.62683444226,516735.0
58009.837043256615,485939.0
6197.918060452968,424653.0
24051.722262963187,444155.0
63987.98218918429,494132.0
39293.0583369917,460940.0
46583.38389670674,471120.0
28826.465245400672,449178.0
32536.16001971357,452546.0
-6199.873312660027,411538.0
93831.52373069571,542482.0
13848.93664611841,432399.0
49770.89875704283,474960.0
75207.59632706398,510106.0
18521.99678928539,438264.0
939.7180830919533,417356.0
Objective Value, Total Weight
5777.693568194809,423391.0
91328.20083267195,537556.0
44649.158368109376,468322.0
80852.67685941013,519401.0
58223.08995667973,486146.0
86609.34005835687,527579.0
14207.281188824098,432177.0
39255.18756221037,461416.0
66659.42637933046,497976.0
17449.640210206155,436642.0
54333.00018464518,480488.0
77946.74151637394,513810.0
99928.69234595133,553191.0
48953.905377108604,473952.0
96081.46398248617,545068.0
70512.79750231607,503209.0
33994.1715093134,455085.0
30726.999879952404,451296.0
61390.37936681311,489980.0
25047.21199938364,444829.0
Objective Value, Total Weight
98175.02343767753,553213.0
86976.26870054693,530836.0
93002.95797031978,541476.0
30918.979146559373,453583.0
102311.73316009901,559939.0
85668.5619429273,528393.0
107395.312677657,569706.0
64130.5292536628,496074.0
76641.06885450135,513830.0
81297.20037006913,520966.0
95721.06469757692,546033.0
47379.3599056158,472939.0
58728.07250752207,488545.0
40457.21660676447,464053.0
25669.639480478945,447322.0
53131.6310543773,480241.0
35358.25742072787,458033.0
67798.62052280526,501507.0
70766.2650172459,505655.0
16717.549606407178,438524.0
Objective Value, Total Weight
93037.20767790673,540432.0
77328.22418796737,513762.0
84286.76798086485,526205.0
37974.27285090729,464019.0
100584.55045697419,555988.0
96568.03120357229,547121.0
74197.97969473607,510569.0
69711.18914722756,504130.0
32313.451944254455,454538.0
42301.05452129082,467945.0
65711.31882961758,498204.0
59410.67059630004,488126.0
61222.48141935712,490974.0
23422.55315787054,445458.0
48280.69212835189,474707.0
54240.40807083959,482421.0
104479.68608878681,560390.0
87871.65827042947,532364.0
110601.20522971742,575178.0
16729.18305940862,437985.0
Objective Value, Total Weight
89714.30212177779,534336.0
60889.33102812932,490315.0
28150.692819834105,452574.0
75448.98239904782,511267.0
44937.70589414437,470598.0
86547.86757057474,527918.0
66547.92606917012,498546.0
70650.2018921444,502934.0
108315.75192608696,575543.0
77543.54365429422,515238.0
97983.68098943657,549826.0
63296.34662227309,493860.0
81755.48034787807,521720.0
49251.923200724996,475860.0
55058.38798763009,483276.0
103404.11521442258,560661.0
38182.449382581515,463080.0
18164.370597768575,441507.0
95729.58777914383,543865.0
32535.95157960942,455880.0
Objective Value, Total Weight
61520.657576573896,492965.0
97202.82533857669,551382.0
95397.79949553695,544624.0
56792.61673162435,486239.0
32074.220125969732,456215.0
82558.7704142665,524978.0
78367.07566327543,518008.0
36598.105682112975,460326.0
66952.8333426679,501130.0
21970.760877065593,443056.0
75221.23813092255,512515.0
47391.77907502826,473635.0
70079.26043987938,505114.0
105194.36020073236,563344.0
43823.48652641289,470132.0
53958.56275814795,482629.0
90096.93998262391,537019.0
86047.43093071796,529502.0
25799.781291558756,448496.0
10197.729619130841,432193.0
Objective Value, Total Weight
100432.44686851255,556255.0
56136.69876492559,484221.0
31800.659837362473,453130.0
88340.16702731082,533749.0
76383.91317830211,512657.0
86193.08671546611,529499.0
68315.3230821602,501574.0
21086.186014547246,440196.0
94143.79226702813,544400.0
65642.79231626855,496864.0
48198.38174453005,472240.0
51295.10475398938,476898.0
38500.19100775907,460379.0
82207.59235679335,522875.0
15811.535733019351,435699.0
72881.53424111521,507470.0
43506.83877399948,467023.0
27607.336150661577,447675.0
60487.539676203625,489082.0
11274.227572257805,430313.0
Objective Value, Total Weight
92396.99872095801,537720.0
89114.45892906399,532485.0
53450.03434948239,481207.0
109521.56976598746,577209.0
58046.90326969419,486482.0
74208.40649243293,508296.0
63238.742201096844,492979.0
70306.1460151315,502449.0
38429.53449592565,463161.0
28632.44947777863,451908.0
43719.80838690023,467989.0
105229.09640693956,564140.0
79561.86124229734,517935.0
96492.33530443977,545549.0
48575.20247838565,474327.0
32667.43923241808,455419.0
85287.17189424811,525771.0
15637.640005132766,439669.0
99374.37343249249,551783.0
65342.11655899009,496446.0
Objective Value, Total Weight
60942.36082200776,491246.0
98437.54448260996,551575.0
90340.7918279256,534518.0
73168.83266126597,507131.0
85142.64580101706,527219.0
100682.32678915211,556774.0
46218.496741025825,470519.0
50812.09883297456,476553.0
30825.573103777366,452009.0
95048.7408543058,544128.0
70118.63658591022,501820.0
104610.83345201018,564467.0
26267.663131536683,448624.0
56486.62330438243,483642.0
36979.08237440942,459889.0
77227.78728516097,513395.0
42355.88499834773,466410.0
66259.42422425107,496020.0
81978.63333321351,519827.0
15643.03967645904,437531.0
