Objective Value, Total Weight
41832.035676835105,452393.0
40141.65376662958,450280.0
49737.583328375826,462967.0
53836.41298863769,468762.0
51739.532729970175,465742.0
36341.64179678168,445261.0
35119.550548905216,443621.0
57526.7591260504,474942.0
44429.85406510625,455837.0
37593.95770371216,446861.0
45830.23412982316,457711.0
43097.72464323678,454053.0
39245.9384673342,448981.0
47598.97201153857,460065.0
30475.985554712883,438203.0
55226.038565202616,470734.0
33045.67481854075,441086.0
27662.996806704963,434849.0
23491.775401751627,430996.0
21138.261434220767,428122.0
Objective Value, Total Weight
55030.856310257106,467970.0
61557.29641204502,476821.0
66834.01595698216,484329.0
73520.92130948824,494557.0
62915.283665980794,478743.0
59651.16467976943,474203.0
72018.45455569937,492229.0
68185.57129425998,486301.0
56316.50547826965,469605.0
42008.66713564331,451211.0
65490.25613024237,482407.0
58176.31549250765,472239.0
70675.47441791883,490177.0
49412.89252834115,460344.0
47053.85994720366,457331.0
53179.1977427582,465432.0
51169.78474321787,462862.0
45622.61467704218,455658.0
38166.04002939392,447708.0
42973.60351067572,452718.0
Objective Value, Total Weight
48999.527354014805,459746.0
52305.126011214685,464160.0
50913.210327478824,462286.0
45070.65783606621,454518.0
46381.05794910842,456240.0
43774.72564151476,452796.0
53621.385238049086,465944.0
38801.583478887274,446432.0
55621.77953225176,468719.0
47681.49141977739,458004.0
41774.09668399411,450180.0
31450.354490106343,437635.0
40812.16732623044,449048.0
56785.46781082859,470387.0
35447.16417819337,442244.0
36917.65669848438,444063.0
29246.934518327762,435596.0
59157.09589318582,473717.0
33583.82251812011,440059.0
23305.87326586654,430194.0
Objective Value, Total Weight
76020.93729529087,498428.0
79826.82047178887,504795.0
66551.9192713243,484509.0
78149.40705654654,501880.0
65439.58647801052,482913.0
69316.70409546595,488488.0
59130.37775224622,474230.0
61061.95187763951,476799.0
74489.46606160852,496113.0
68036.43925507681,486638.0
63704.86746613518,480505.0
73235.6720002722,494196.0
62187.517180050374,478395.0
54849.80059181899,468690.0
70857.68390385539,490748.0
58017.70290064404,472768.0
72120.53662006918,492582.0
56072.7341750646,470092.0
52633.08374612895,466191.0
48540.05411991768,462531.0
Objective Value, Total Weight
78986.1110767303,503854.0
54179.29373970989,467686.0
73415.61357748485,494895.0
80981.79922840919,507401.0
64006.306802447885,481144.0
69248.88611613028,488652.0
71223.17918151524,491583.0
65980.8028801179,483955.0
67292.22772823542,485841.0
76872.48555432633,500397.0
72794.21613902505,494016.0
75539.19367119507,498135.0
61731.859098063665,478049.0
58411.87420376064,473442.0
60167.835157288006,475850.0
56193.34946641838,470398.0
51601.682528148405,464328.0
46504.43515268224,458195.0
48241.84196002269,460228.0
43552.55259281886,454878.0
Objective Value, Total Weight
46889.76017822663,457029.0
50135.48389318143,461742.0
41956.97721177904,450483.0
29610.12228974764,434593.0
30810.883236939262,436170.0
45021.95665068255,454542.0
48459.57669534092,459157.0
39880.13053124613,447865.0
27557.30206713034,432035.0
25030.28919904621,428993.0
37493.428852206096,444680.0
33746.93272212893,439867.0
36032.25108292623,442786.0
42888.73748765327,451728.0
23175.75880206062,426681.0
17884.54730669927,420315.0
19870.895500068087,422767.0
21159.540466072445,424205.0
14879.804105635441,417291.0
1057.2179338583373,409805.0
Objective Value, Total Weight
72762.73762626434,492821.0
69557.26777837158,487945.0
50814.61341883289,461606.0
47120.56895242707,456825.0
71182.16597235459,490433.0
66512.8163603238,483264.0
61698.62220374285,476289.0
65185.783446024754,481308.0
57912.81755017233,471065.0
54535.25335940032,466468.0
56361.93521100038,468966.0
67740.80567554536,485038.0
59302.73983220942,472995.0
63660.4728046502,479064.0
48914.51031881245,459108.0
52206.43727739621,463480.0
45050.72730123607,454354.0
39822.85408500995,448362.0
42328.56952080579,451140.0
35684.34630092222,445152.0
Objective Value, Total Weight
67788.06317022466,486970.0
58785.50743528071,473523.0
64960.30938531505,482445.0
54903.18723665539,468082.0
70867.26557481813,492073.0
69775.53661729943,490267.0
50983.8305668215,462794.0
56975.0220382167,470959.0
48407.258356980514,459350.0
62950.389762317995,479514.0
52352.28096973582,464644.0
37716.69028127019,445822.0
73830.23824332701,497165.0
42664.72800828854,451899.0
40752.35512548161,449447.0
36066.28531004337,444012.0
61395.463034590124,477186.0
46365.28326916695,456670.0
44436.76579460583,454176.0
30763.35191855271,438507.0
Objective Value, Total Weight
66198.48228720075,483755.0
74077.94318415457,495876.0
54780.099396424484,467692.0
56566.52634445927,470203.0
58547.21280693053,472852.0
50417.368713098345,461816.0
62827.62043022667,478844.0
64784.80290340178,481777.0
61066.69830736017,476296.0
52891.68585602089,465134.0
71376.82901292772,491656.0
68892.32961004926,487780.0
44591.880043528334,454146.0
42049.54311402532,450861.0
48560.572346410365,459310.0
46509.75858511659,456598.0
39332.72644309234,447613.0
36914.90461713489,445068.0
32562.57928454253,441188.0
29699.424581398547,438596.0
Objective Value, Total Weight
72044.14068535657,495750.0
67363.60359296843,488154.0
53114.29784283636,467423.0
54645.93350824795,469587.0
65606.23825599125,485480.0
61316.18691356096,478969.0
70326.21666558995,492926.0
64154.3769131687,483212.0
58103.01810557861,474431.0
47004.87852664001,459174.0
59715.0592177409,476701.0
56448.06984036218,472046.0
40928.337630637165,451184.0
43558.67502138583,454620.0
50533.33866373403,463978.0
48799.891840361524,461582.0
45366.81351848878,457028.0
37123.16839146684,446690.0
35552.71018247132,444555.0
29809.956924003724,439566.0
