Objective Value, Total Weight
-434642.23000000004,0.0
95251.63485383708,678961.0
-434642.23000000004,0.0
-195901.93922179006,282651.0
-2604.5922050179215,513265.0
-53278.335475834785,441202.0
-216676.04360307677,253628.0
-53636.20318631106,440938.0
-98027.29909091908,360362.0
-290363.69896903326,162902.0
-290363.69896903326,162902.0
-336369.6443796314,108669.0
-216676.04360307677,253628.0
-142173.44251000392,313069.0
44653.60457328893,648029.0
-336369.6443796314,108669.0
-408993.5029456644,26611.0
1105.4176801128779,519896.0
13069.394361841842,592142.0
15449.565359268454,600201.0
Objective Value, Total Weight
-434642.23000000004,0.0
90222.53438848455,688524.0
90222.53438848455,688524.0
-434642.23000000004,0.0
-30200.859669730882,451596.0
47627.3841622991,651790.0
-24161.054415250197,509502.0
-197336.1239272555,249003.0
-264605.82606443163,188857.0
-144611.4243160626,311188.0
-211888.7596845653,233846.0
-85591.87810091663,380470.0
-86446.3016323119,379271.0
-264605.82606443163,188857.0
-146724.19641835382,307798.0
-409260.7592204397,26353.0
-337558.842958336,99070.0
-337558.842958336,99070.0
-363038.32012903556,72325.0
13799.810789864045,581417.0
Objective Value, Total Weight
-434642.23000000004,0.0
95499.35942373984,676692.0
-434642.23000000004,0.0
-202954.79387684132,271255.0
-390275.32903272414,43851.0
-88357.56070207118,369779.0
-51159.901359941694,452285.0
-270420.9009871512,179133.0
-91553.86464568367,365395.0
-270420.9009871512,179133.0
-1498.3805214663735,506505.0
-49619.31584542827,454593.0
-148295.10457579803,309093.0
-323108.9067226709,123374.0
11030.752842924441,595703.0
46798.91357688734,649333.0
-401448.9792822871,33965.0
510.78647756157443,509845.0
-323108.9067226709,123374.0
9948.207623214577,592375.0
Objective Value, Total Weight
-434642.23000000004,0.0
84888.33189773466,678521.0
84888.33189773466,678521.0
-434642.23000000004,0.0
-179455.09214722918,274141.0
-63556.14308739768,407296.0
-357173.22909922805,80832.0
-256712.3202779704,202744.0
9209.202953170403,567611.0
-117490.44069718418,351111.0
-420567.57857393846,13809.0
-288060.5988758742,160143.0
-10337.123196315719,511864.0
53528.23622330034,675579.0
-10337.123196315719,511864.0
-71635.12997603882,397413.0
-288060.5988758742,160143.0
-116446.94995827728,352035.0
-220544.8504863268,236228.0
-220544.8504863268,236228.0
Objective Value, Total Weight
-434642.23000000004,0.0
96861.15414204728,699566.0
96861.15414204728,699566.0
-434642.23000000004,0.0
-141160.32462266006,322263.0
-79798.79524675023,378421.0
-194746.57037877967,245769.0
-43474.4238884846,444113.0
5804.5522840635385,581675.0
-291131.16071226395,152509.0
-291131.16071226395,152509.0
-184252.6259018064,258252.0
48516.53107615991,638156.0
-10931.330622159177,516985.0
48516.53107615991,638156.0
-318316.0197298204,117732.0
-397360.93813608156,36603.0
-10407.6994190861,519784.0
-318316.0197298204,117732.0
-397360.93813608156,36603.0
Objective Value, Total Weight
-434642.23000000004,0.0
86654.00266767258,697021.0
86654.00266767258,697021.0
-434642.23000000004,0.0
-211362.02223659266,238397.0
38299.55361852632,636411.0
-305832.10683176096,136974.0
-191900.6556233117,275232.0
-398715.81773132656,34331.0
-36830.442586273886,446941.0
-131816.2643666856,324687.0
-356406.5753087123,76585.0
-86151.41284206905,385109.0
-86151.41284206905,385109.0
-17091.527853269014,514157.0
-273755.13119851804,169066.0
-273755.13119851804,169066.0
19316.53046564141,578501.0
-358551.5974560825,74607.0
-17091.527853269014,514157.0
Objective Value, Total Weight
-434642.23000000004,0.0
99437.16835528112,692982.0
-434642.23000000004,0.0
-233151.67870076286,208527.0
40694.86363054474,653726.0
-151330.67578215094,303924.0
-300460.5422857776,135121.0
-300460.5422857776,135121.0
-66335.58106991125,403072.0
3711.0142212704523,556588.0
-393163.74508984084,44229.0
99293.94446748204,692737.0
-75638.41450012906,387619.0
-66335.58106991125,403072.0
-159587.75262962113,292971.0
-208800.39115743566,265253.0
-75638.41450012906,387619.0
-393163.74508984084,44229.0
3711.0142212704523,556588.0
-206356.54235268023,269584.0
Objective Value, Total Weight
-434642.23000000004,0.0
