Objective Value, Total Weight
-151888.6955739464,295324.0
68275.07996478386,602849.0
-29123.013512767735,441914.0
-137801.36342530302,311306.0
30959.88744618115,535946.0
58508.71977861854,579747.0
13047.529929944896,500354.0
-49993.04424244363,420479.0
-19241.105513788178,459035.0
50152.56386154692,561740.0
-11300.796578165842,478829.0
-122019.76344316511,331043.0
-69443.76074164559,388626.0
-93049.06679299835,357294.0
-63172.05688385037,399764.0
38797.907921205624,548111.0
-106872.72554705432,349166.0
-83175.43479583785,380844.0
-110287.96591344231,345939.0
-120766.8746567613,336027.0
Objective Value, Total Weight
69244.63310657418,611224.0
-155920.68229796528,294092.0
-121149.12607850088,333709.0
59058.65783840814,590900.0
-108168.42847083975,347759.0
51959.789949960774,565331.0
-61799.602476877044,400455.0
4924.999397460488,490146.0
-74410.20937422325,389296.0
-48513.86788844806,426890.0
-17630.3465992806,462717.0
-96861.77305857488,364054.0
-53156.488894609036,413316.0
26390.91809963528,531268.0
-33831.87413669692,437450.0
-81370.8186367146,375731.0
-7695.083371736808,481999.0
15445.730260264827,509822.0
36183.5552288834,542112.0
-27117.833464499214,461969.0
Objective Value, Total Weight
73703.28089251556,616434.0
-159982.80844497832,284326.0
26766.005325386883,520672.0
58374.837072568014,596318.0
50421.02304917772,560017.0
40307.657579884864,544670.0
-149234.02325498802,299542.0
-112001.08294806414,337598.0
-99043.52421471785,347528.0
8885.627223076066,497636.0
-130805.68445641099,314469.0
-130774.423003181,323575.0
-69409.96108004765,384897.0
-43385.920910298126,423756.0
-60739.95709463011,405507.0
-14668.379448713386,460280.0
-80501.6225868928,384874.0
-27234.106682807673,445613.0
-89410.51994312403,370545.0
-33715.997072482016,437184.0
Objective Value, Total Weight
70078.5015299723,603230.0
-158129.9477430323,287230.0
-122979.93274837529,326069.0
4195.326924902736,488857.0
-27690.04802908143,439726.0
39184.6452989059,548678.0
60525.49545590521,586228.0
48749.740010535694,556646.0
10218.024907034822,505395.0
-102230.10706852667,352388.0
52324.1967114486,578789.0
-46113.692067652126,423782.0
-7607.632658394636,470008.0
29615.8862131848,533370.0
-88376.05248289905,368014.0
17648.718622960965,518529.0
-58414.28246386675,402260.0
-55297.07520971936,413462.0
-115303.60403651372,339405.0
-11833.17677456094,466238.0
Objective Value, Total Weight
75927.98991050082,618142.0
-143087.1260097564,300885.0
-118805.75818877446,333935.0
32369.423946317635,529311.0
-95016.34857201576,360379.0
-131416.062314309,319438.0
69220.70197728497,594685.0
-3403.7120944095077,480755.0
14434.1088592991,501172.0
-24837.99851857568,441931.0
-16067.726795410039,460473.0
42274.43854005379,550601.0
-70952.0442040076,391012.0
48542.15530980646,554101.0
55842.48523479444,574955.0
59657.626720040455,578854.0
-62485.16951043962,395191.0
-49264.27324734558,414290.0
-39606.92361723224,430526.0
-82259.40070506069,378449.0
Objective Value, Total Weight
-144602.8567566765,302564.0
73458.59732215025,614508.0
-106639.00710712187,344919.0
40905.676480858936,550075.0
-83764.10648632608,375370.0
55666.902707950445,584466.0
-133281.54144170124,315728.0
65286.42088086507,600203.0
-33799.612042093184,448361.0
27663.510222689598,537419.0
22237.58583816397,522811.0
14798.464889295283,505937.0
-72926.46968531876,382708.0
-59144.694504292216,400265.0
-17530.73259477294,456136.0
-117520.53707547334,330384.0
-65392.996170229046,395422.0
-122045.58776244492,327393.0
-52524.087098087184,420725.0
3495.898715974996,502261.0
Objective Value, Total Weight
-136424.80589715263,305926.0
78697.9502872898,611171.0
-59332.04507731984,401345.0
-76654.06788714591,377068.0
-105569.24665221781,350434.0
-46836.865841855644,423196.0
-86400.03535163822,365775.0
-124624.7882313861,322180.0
-116014.32804860483,334028.0
1797.8357678877655,475515.0
76403.56569341733,593767.0
31517.843615720747,513522.0
-22543.274893813417,449938.0
46387.83562627598,547415.0
-35362.95849457465,436327.0
-16169.90021067392,465071.0
61892.902086863294,584908.0
22658.18118738022,506816.0
-30941.012546475744,439514.0
41405.82914625725,527266.0
Objective Value, Total Weight
73621.73196535371,608706.0
-143096.91926711885,306639.0
-67683.65193867986,395123.0
-92052.24400470778,367952.0
-45119.48827521049,412269.0
-103887.14605573972,346640.0
-122850.34681048163,328888.0
64673.09734141058,587983.0
32390.329378277063,520385.0
-136596.81290446245,312827.0
-38392.890834584134,425842.0
-28512.58374790824,438249.0
59126.74159574765,572399.0
-112456.79823940422,337002.0
52199.82117774268,558329.0
-7638.7488938147435,476066.0
3874.1206996757537,477379.0
37592.37164976669,541500.0
-11175.850652325316,457614.0
20391.028504911927,510986.0
Objective Value, Total Weight
69605.93427952006,609526.0
-152475.1407654303,293274.0
-101555.80748062988,351651.0
-119235.21992655774,334980.0
-87939.82096894912,368840.0
41888.353213785216,550903.0
-71988.25733152137,381192.0
3928.0490456909174,498127.0
54496.21641437209,575915.0
-64544.96541035967,398254.0
15747.61957525846,505844.0
-5351.415248685982,479768.0
-130538.5252919402,319159.0
-147193.59988256835,305382.0
58907.87764250045,592092.0
-19920.607884154306,456572.0
22239.902740996913,519730.0
-31484.66506167769,451467.0
-135151.74123932456,312949.0
-59865.07561238366,412651.0
Objective Value, Total Weight
-131760.0101878065,312553.0
76501.5173940399,615602.0
-108226.7326169766,337708.0
-87520.7217818594,367556.0
-64085.41987326369,387660.0
-38170.174088069936,428139.0
-98722.86712058459,354153.0
-48998.0677017828,412303.0
-22308.351646108087,446945.0
670.7503442206653,470510.0
68092.57416111848,593531.0
30182.72912533069,510366.0
52749.66287969821,573380.0
-58339.237979413476,399519.0
12205.494355379255,483035.0
-7580.512860534131,458822.0
31950.92411037162,528718.0
16718.21178640204,502041.0
48719.22362286458,553313.0
68484.94733340817,599900.0
