Objective Value, Total Weight
-196788.6568750997,245801.0
97755.43160016288,652096.0
-60641.45930526464,385573.0
-94278.10461371113,358584.0
-115531.55800201895,320968.0
-11289.90812742291,449257.0
-30896.470437766053,412444.0
84671.73999895563,602215.0
-145194.60479061876,302055.0
60184.91943434032,545540.0
28343.746505586314,490526.0
-178278.68831988645,265420.0
46097.72840697947,517160.0
-45306.73611609463,398972.0
42992.96063668502,513305.0
-2810.448393280967,454662.0
-149564.79148194066,295132.0
-162371.24012941628,285349.0
-102642.5319159776,332762.0
-101808.8865732635,339774.0
Objective Value, Total Weight
-209102.12103323638,224719.0
100433.05303287448,650977.0
69638.64533509826,595038.0
-100751.8264660947,328875.0
-133486.09847448108,302250.0
98062.71379346284,643445.0
-76364.4827461458,353948.0
-49923.60872512392,399887.0
38983.34792018018,496229.0
68387.55641451699,549051.0
51983.644982169615,522198.0
29885.034639843972,486778.0
-30212.928714397247,414640.0
-151248.07343676005,300310.0
1121.3002303490648,447840.0
14851.091768803424,469243.0
-61979.12237434648,377414.0
-171420.8577257158,271513.0
-198086.19383197004,237525.0
11283.921492950758,466076.0
Objective Value, Total Weight
-209696.5186515951,229742.0
101463.16507695767,650174.0
-87010.45405528281,348965.0
-57695.91115438094,383454.0
-165348.14626220375,275869.0
-200846.73384516983,240082.0
92376.12824442377,608308.0
63900.00199409027,539059.0
22876.670307063032,483528.0
47987.949129417655,516743.0
-111222.76352681807,324521.0
82230.3478552613,577167.0
70262.62955923704,570303.0
-20065.882752531907,432299.0
4329.846184417955,461024.0
97171.59818945231,640475.0
-36069.66230700724,406837.0
18968.761127709062,480284.0
-119045.08130558842,321799.0
49844.63998985407,519190.0
Objective Value, Total Weight
-209673.6394542235,225126.0
101677.51075867936,646008.0
-196286.54524064925,243763.0
7282.101197979646,460909.0
86011.61614211847,586215.0
63083.09423584107,546997.0
-57367.263663375226,375522.0
-99540.56173718726,332250.0
32177.114987036446,487936.0
42757.0902156512,516032.0
-172281.83799127513,271782.0
-82183.96654826694,349558.0
-46296.257752480975,394003.0
-13931.307702038204,442782.0
-148596.60130163835,280951.0
-5833.054076578701,444506.0
-110601.56601606199,318578.0
-75263.26788524498,358216.0
-143584.1008661844,289477.0
-40425.24320035055,402612.0
Objective Value, Total Weight
97781.20121280814,654836.0
-204347.83882897586,235269.0
72667.04202995414,564212.0
-81546.9523768273,360964.0
37783.20901187102,506817.0
58991.097988295485,535035.0
77558.17562968133,615792.0
-143772.85969916976,298709.0
14787.488138620043,473612.0
-125873.85192145826,318560.0
-195545.13645992626,245411.0
-100656.87547349243,334619.0
46817.04452844686,516615.0
-182163.87907435623,263856.0
-36565.934753881884,408578.0
-13644.661670780042,432526.0
-15936.82869947981,428117.0
2666.775283555151,459028.0
-54884.69914541545,393750.0
96585.71166583442,627952.0
Objective Value, Total Weight
-227023.1037416213,212416.0
95348.38395860966,629324.0
42764.24527784763,522272.0
66756.06180032238,553962.0
28866.244718949776,486416.0
-74923.1827088038,388980.0
-145163.0743874953,296620.0
-19548.447968944674,432244.0
-165713.43731803843,272292.0
-124444.417180616,308865.0
-36123.02305002499,405802.0
