Objective Value, Total Weight
1080.0112533135398,5163.0
-3136.6948839112683,1570.0
-1061.148348289058,3196.0
2704.2096603806012,6655.0
144.56809546090244,4248.0
-1459.7828192546804,2836.0
-3463.685893629483,1368.0
3351.1475834398534,7570.0
-525.3045804555795,3659.0
-1776.650796619103,2634.0
1676.9787266765034,5628.0
2324.9139476394257,6255.0
2077.904431078755,6028.0
1829.0562101176001,5751.0
830.6980677974061,4875.0
-224.04593174842466,3930.0
-2542.994164447633,1992.0
-2023.002396333044,2432.0
3351.1475834398534,7570.0
-3938.656464351574,1027.0
Objective Value, Total Weight
2024.8863349602507,5604.0
-4010.8551518788136,791.0
2666.475554990452,6193.0
195.35355158748098,3749.0
3590.89110426566,8067.0
1390.4458944284252,4801.0
-510.9006368707378,3187.0
1011.2950755359252,4483.0
1390.4458944284252,4801.0
-2168.0520162372877,1921.0
-1577.190856457214,2343.0
2845.0885557637566,6315.0
-857.7193956854435,2905.0
-572.2815192696162,3116.0
2207.115258052798,5726.0
-3102.213255679054,1315.0
-1288.9287824435496,2554.0
-2773.601832700383,1517.0
570.4742071418514,4090.0
-4397.022120294301,589.0
Objective Value, Total Weight
-806.5575450654806,3260.0
-806.5575450654806,3260.0
1785.3845534634966,5654.0
-101.7275653860288,3822.0
566.9206276945351,4411.0
566.9206276945351,4411.0
-1868.9927536187843,2416.0
-1150.4677582955483,2978.0
2433.567398834799,6216.0
1091.6923970912949,4874.0
3445.806527653329,8219.0
2433.567398834799,6216.0
1785.3845534634966,5654.0
3445.806527653329,8219.0
1091.6923970912949,4874.0
-101.7275653860288,3822.0
-2839.8195426127613,1792.0
-2459.209783623174,1994.0
-3234.05336712591,1451.0
-1581.2155005051272,2627.0
Objective Value, Total Weight
-1718.6032602686328,2731.0
1114.6116849560995,5174.0
-3354.4163238870815,1545.0
698.1396101511928,4750.0
1385.8341856430761,5385.0
-964.2305237041255,3373.0
-72.78981471816951,4122.0
-1351.8360637662454,2976.0
1904.0658811071744,5908.0
-498.0788227202347,3698.0
-2070.3874091373473,2414.0
2330.2646318413235,6233.0
-2556.045477709078,2089.0
1563.881711568858,5499.0
-766.4436239538209,3495.0
386.3402146102144,4447.0
2914.8989299351015,7158.0
-3032.5294537044065,1747.0
2497.660101826362,6460.0
-4148.831482460314,1002.0
Objective Value, Total Weight
-2505.030563278351,2091.0
-2505.030563278351,2091.0
-1782.5966673210287,2625.0
-2828.516676874162,1889.0
-852.8680085981268,3481.0
-1066.9632750448209,3187.0
-4227.157176467558,924.0
