Objective Value, Total Weight
1059.7101835170852,4843.0
717.724764180568,4204.0
73.60985878096017,3531.0
-1110.2009681486534,2630.0
-2283.1425299644698,1789.0
2701.6742715464825,6059.0
1718.4762556467176,5170.0
337.50440515646915,3731.0
2014.6112346088457,5380.0
-1901.7363375777477,1991.0
-1440.6579121097502,2325.0
-369.09277207551804,3169.0
175.0471772253186,3608.0
-1269.6549250999678,2464.0
-3020.071533703501,1392.0
-720.9578294244402,2887.0
-1890.9486316270286,2002.0
-2561.974504115181,1596.0
498.64237138261433,3870.0
Objective Value, Total Weight
2219.2425064160334,6010.0
2449.77273594249,6166.0
1695.5704536864814,5762.0
1140.3368433601654,4433.0
-890.1228170972718,2764.0
454.48980555786784,3831.0
1538.298811965783,4836.0
-1728.0173915456025,2130.0
1006.850236620573,4320.0
-1611.3369222315814,2202.0
-551.7695962250482,3026.0
-205.22116743170773,3308.0
-1269.6549250999678,2464.0
-2044.3730496156222,1923.0
337.50440515646915,3731.0
-2540.50247447336,1619.0
-720.9578294244402,2887.0
-2540.50247447336,1619.0
Objective Value, Total Weight
2141.019751205906,6095.0
2416.3284192438896,6474.0
1160.9455570458613,4502.0
1309.027203190618,4604.0
-127.57729866966565,3392.0
1822.9641941626587,5091.0
-2628.1977898293007,1632.0
-598.2335544712305,2987.0
908.7696729205709,4259.0
238.9761047822658,3670.0
572.7450211859177,3975.0
-1859.437461377116,2042.0
337.50440515646915,3731.0
-369.09277207551804,3169.0
-2134.8572620406294,1842.0
-720.9578294244402,2887.0
-1543.3208525336431,2264.0
-1269.6549250999678,2464.0
-3008.8379486589065,1530.0
-2628.1977898293007,1632.0
Objective Value, Total Weight
-1329.4418162503052,2483.0
1268.5984628899287,4601.0
1950.6322733340712,5958.0
-236.1257377861475,3514.0
1123.06698787399,4420.0
-822.8595603995764,2826.0
194.2717230353337,3631.0
1458.9990994521013,4770.0
-2338.8442383275196,1736.0
73.60985878096017,3531.0
454.48980555786784,3831.0
-822.8595603995764,2826.0
-430.91588807269454,3126.0
337.50440515646915,3731.0
-995.5739260881292,2687.0
-2182.430719406303,1791.0
-1730.346101793465,2114.0
-2182.430719406303,1791.0
-1435.6189405611522,2353.0
Objective Value, Total Weight
2891.989321085566,6706.0
73.60985878096017,3531.0
1662.84682373965,4938.0
2254.950647819828,5565.0
-289.5327863331013,3253.0
1425.1999402631072,4725.0
-1440.6579121097502,2325.0
-720.9578294244402,2887.0
73.60985878096017,3531.0
-1611.3369222315814,2202.0
-2804.666272296511,1429.0
-289.5327863331013,3253.0
-1178.1080076861244,2553.0
-2391.5085608093787,1687.0
-3654.724017126341,961.0
454.48980555786784,3831.0
1123.06698787399,4420.0
-2522.0131794358695,1587.0
-1901.7363375777477,1991.0
Objective Value, Total Weight
-43.4221477370229,3474.0
1039.468428020955,4358.0
2170.167285847532,5752.0
2133.0753204471866,5640.0
-237.75822515536765,3374.0
-2407.8797918317505,1779.0
890.367823078438,4219.0
-718.9274660715637,2903.0
-1644.3183221895888,2203.0
47.60076036773626,3535.0
-369.09277207551804,3169.0
-1775.7793463531953,2091.0
-995.5739260881292,2687.0
387.4303263133788,3836.0
-1519.7906428152573,2303.0
-2197.6746059405095,1792.0
-2632.1698026725844,1509.0
-2878.311638124451,1367.0
-3333.891400288803,1151.0
Objective Value, Total Weight
73.60985878096017,3531.0
452.2268756802059,3929.0
1026.9815257770651,4333.0
748.9622004879839,4156.0
2097.1139860018347,5489.0
2612.8235368223595,6208.0
-1649.6321735389065,2277.0
-2236.3612079054974,1781.0
725.593303019934,4094.0
-995.5739260881292,2687.0
194.2717230353337,3631.0
-720.9578294244402,2887.0
-2754.2014733772758,1438.0
-2323.1055807053153,1692.0
-1717.6948079947888,2125.0
-1440.6579121097502,2325.0
-2031.674887966301,1903.0
-551.7695962250482,3026.0
73.60985878096017,3531.0
Objective Value, Total Weight
2440.1837279174088,6674.0
292.4833635898376,3897.0
780.2186759229025,4315.0
1262.2151523835037,4650.0
1833.8116975515122,5230.0
-430.91588807269454,3126.0
1262.2151523835037,4650.0
-2132.8632618924503,1879.0
613.3719897652454,3970.0
-1147.4223773978438,2564.0
-353.4078063180368,3231.0
-598.2335544712305,2987.0
-1004.1928839627017,2691.0
746.543966743563,4097.0
-1316.6396772534272,2425.0
-2087.648247692896,1902.0
-2348.916731440808,1690.0
-85.06330558036098,3430.0
-1603.6466929336775,2224.0
Objective Value, Total Weight
-1316.6396772534272,2425.0
728.4934111721177,4109.0
2448.2323095162965,5914.0
-2911.9449542800685,1387.0
728.4934111721177,4109.0
454.48980555786784,3831.0
1660.9034909857364,4943.0
-1147.4223773978438,2564.0
1257.5586046134758,4572.0
-1440.6579121097502,2325.0
-1717.6948079947888,2125.0
454.48980555786784,3831.0
-2323.1055807053153,1692.0
-720.9578294244402,2887.0
-2472.846237169584,1629.0
-2031.674887966301,1903.0
73.60985878096017,3531.0
-3521.6500407269596,1102.0
-3042.0009987454096,1287.0
-430.91588807269454,3126.0
Objective Value, Total Weight
2646.586672005242,5918.0
-369.09277207551804,3169.0
2354.0537056779267,5701.0
1171.176233304519,4524.0
-598.2335544712305,2987.0
-1817.6146229279148,2192.0
1323.7563575478953,4625.0
337.50440515646915,3731.0
1932.9500705380551,5149.0
-2561.1156684943035,1558.0
-369.09277207551804,3169.0
-720.9578294244402,2887.0
-2031.674887966301,1903.0
-1904.7443116293107,2019.0
-2446.467105765779,1657.0
141.15710526754265,3609.0
-1316.6396772534272,2425.0
-3122.4868207605978,1367.0
-1440.6579121097502,2325.0
867.626858452104,4194.0
