Objective Value, Total Weight
3464.208854651236,6632.0
3587.8883449198693,6771.0
1803.1660263683043,5022.0
2874.865160178645,6037.0
2363.0401216343216,5549.0
4144.422535101593,7503.0
2177.4311466170884,5371.0
3086.3157902056446,6244.0
3672.163288972274,6871.0
3226.3321070384636,6383.0
2735.0695027920247,5898.0
4319.855177994663,7852.0
1647.6984723586438,4883.0
2073.2506002865484,5271.0
2472.5994518893694,5649.0
1413.533002621496,4682.0
1140.3368433601654,4433.0
4144.422535101593,7503.0
590.2391799113293,3983.0
983.3436888585475,4294.0
Objective Value, Total Weight
2735.0695027920247,5898.0
4347.567823669369,7952.0
3226.3321070384636,6383.0
2835.757587577792,5998.0
1647.6984723586438,4883.0
3086.3157902056446,6244.0
2073.2506002865484,5271.0
1403.5335243229802,4685.0
2472.5994518893694,5649.0
4119.916715982112,7464.0
3978.243837358902,7303.0
2320.8126062881383,5510.0
3672.163288972274,6871.0
1006.850236620573,4320.0
3464.208854651236,6632.0
1803.1660263683043,5022.0
744.3681873686137,4120.0
1280.8034735526517,4559.0
242.27285938871046,3715.0
121.94436667652917,3615.0
Objective Value, Total Weight
4119.916715982112,7464.0
3226.3321070384636,6383.0
1647.6984723586438,4883.0
3464.208854651236,6632.0
3672.163288972274,6871.0
2874.865160178645,6037.0
2073.2506002865484,5271.0
4050.084217047127,7364.0
4319.855177994663,7852.0
1006.850236620573,4320.0
3852.9252859697062,7118.0
2319.032825114824,5510.0
2735.0695027920247,5898.0
3086.3157902056446,6244.0
1123.06698787399,4420.0
2472.5994518893694,5649.0
1412.8421303908453,4686.0
1803.1660263683043,5022.0
242.27285938871046,3715.0
583.1549290588582,3997.0
Objective Value, Total Weight
2584.4835860637786,5756.0
2363.0401216343216,5549.0
3775.080135072705,7037.0
4216.951726008298,8200.0
2981.788890384677,6144.0
4177.486253274472,7851.0
1803.1660263683043,5022.0
3672.163288972274,6871.0
3464.208854651236,6632.0
3553.4997375675957,6732.0
2217.9778327157983,5410.0
3125.3652217089966,6283.0
1140.3368433601654,4433.0
3226.3321070384636,6383.0
2735.0695027920247,5898.0
1413.533002621496,4682.0
2073.2506002865484,5271.0
1647.6984723586438,4883.0
983.3436888585475,4294.0
498.64237138261433,3870.0
Objective Value, Total Weight
3672.163288972274,6871.0
3086.3157902056446,6244.0
2584.4835860637786,5756.0
2836.4291576087344,6005.0
2073.2506002865484,5271.0
3587.8883449198693,6771.0
3226.3321070384636,6383.0
2735.0695027920247,5898.0
3937.2890770744643,7263.0
1690.9220301940932,4922.0
2329.0925287035243,5517.0
1803.1660263683043,5022.0
4319.855177994663,7852.0
4050.084217047127,7364.0
3464.208854651236,6632.0
2472.5994518893694,5649.0
983.3436888585475,4294.0
1413.533002621496,4682.0
1140.3368433601654,4433.0
498.64237138261433,3870.0
Objective Value, Total Weight
