Objective Value, Total Weight
-6314.820000000001,0.0
4154.928515166768,8291.0
4154.928515166768,8291.0
-6314.820000000001,0.0
-3829.9193240622453,1100.0
-1077.4403940779866,2838.0
2783.534886739144,6340.0
-2852.8683005383764,1767.0
-4451.866520226602,651.0
3627.1037533487033,7236.0
1688.3607174546669,6003.0
-2194.179581783904,2417.0
1319.0213614677605,5548.0
528.270864693739,4381.0
3232.07932808609,6980.0
66.77046295449509,3911.0
-513.26143172925,3448.0
-5265.5079270736105,193.0
-2264.5778751857697,1907.0
982.9964698280564,4787.0
Objective Value, Total Weight
-6314.820000000001,0.0
4051.5446790331916,8128.0
4051.5446790331916,8128.0
-6314.820000000001,0.0
2639.3763732228053,6604.0
1653.296368053111,5558.0
-1398.4747994711697,2825.0
-739.95905196905,3732.0
-4963.848596261255,196.0
3113.8936894357357,7026.0
-4144.74140268102,701.0
3561.5234577713327,7775.0
614.8756835186396,4693.0
-3695.7041955427903,1047.0
1182.6365199753836,5231.0
-2373.682016734131,2198.0
-2056.4599648600843,2384.0
-6104.494785365145,122.0
234.1230424903506,4158.0
-3058.3564504819424,1588.0
Objective Value, Total Weight
-6314.820000000001,0.0
-6314.820000000001,0.0
4047.08364196386,8296.0
3411.725713662625,6916.0
947.8115830102106,4581.0
-247.9384734012192,4110.0
2617.476920967212,6456.0
1622.9308820734313,5208.0
-2205.232259272613,2247.0
-3103.257078973169,1716.0
4031.3963011197648,8094.0
-5584.094699122053,311.0
-2114.1203781463073,3001.0
-427.4564742577513,3361.0
-4689.829379684586,489.0
-3725.455290252593,1430.0
2131.0362841184988,5759.0
-4230.617462386823,1181.0
-4347.8853505111165,843.0
2131.0362841184988,5759.0
Objective Value, Total Weight
-6314.820000000001,0.0
4024.3070539684522,8048.0
4024.3070539684522,8048.0
-6314.820000000001,0.0
1797.4025482668594,5558.0
-2313.9189900401043,2145.0
3511.221132269794,6968.0
-3009.311507253017,1510.0
-1370.3345837789284,2604.0
-5081.582770878849,590.0
853.2031767797862,5009.0
-4273.807640172602,1408.0
-5567.407155655166,190.0
-833.5064474913979,3059.0
2772.7017968153514,6278.0
-4648.282724682559,1173.0
686.5979977995712,4776.0
2772.7017968153514,6278.0
129.33403616327905,4034.0
231.42093505578214,4081.0
Objective Value, Total Weight
-6314.820000000001,0.0
4073.0472441342918,8093.0
-6314.820000000001,0.0
4073.0472441342918,8093.0
-3364.296510171028,1281.0
-4929.9755341128375,288.0
3367.0839139437703,7516.0
2549.5563787177643,6189.0
2979.666302979579,6753.0
-1009.4713177948124,3731.0
1807.3242561160023,5573.0
-1148.513987157021,2986.0
18.02036018436229,4001.0
991.8567271155052,5036.0
-2730.8413537571605,2155.0
-3122.0761791241357,1773.0
-5662.7503855286795,251.0
609.7832585144206,4489.0
-2551.021337572349,2787.0
-2097.2399786539545,2981.0
Objective Value, Total Weight
-6314.820000000001,0.0
3833.4296815207435,8096.0
3833.4296815207435,8096.0
-6314.820000000001,0.0
800.363241117745,4617.0
-2073.465689018267,2239.0
2824.5433772156775,6485.0
1672.0977591359115,5784.0
3465.1259620809906,7469.0
-3183.151464037065,1462.0
339.507541773145,4063.0
2123.5491476951483,6043.0
-587.2896076445077,3397.0
-1518.5968887412555,3097.0
-313.6496217257218,3597.0
-1865.1501455075486,2988.0
-4047.4940297279527,879.0
-5677.390699640228,98.0
-5187.6416689647685,464.0
-4787.014070796052,832.0
Objective Value, Total Weight
-6314.820000000001,0.0
4000.975248892959,8175.0
4000.975248892959,8175.0
-6314.820000000001,0.0
-1609.423392659619,2533.0
-550.9725272618871,3337.0
2026.8884927745812,5796.0
-4594.369433517035,519.0
375.61252921470987,4559.0
2938.496880008506,6389.0
-150.25620246877406,3703.0
3194.837210110817,6963.0
-3543.0794799626583,1130.0
-5377.424687075708,329.0
1430.6820374641093,5325.0
3844.1630980675873,7567.0
1072.3863979540665,4845.0
-2451.259976073765,2082.0
-2652.524499082255,1763.0
3954.287329597517,7964.0
Objective Value, Total Weight
-6314.820000000001,0.0
3976.579818087641,8311.0
3976.579818087641,8311.0
-6314.820000000001,0.0
2379.9420925829872,6246.0
-1966.6892201386618,2348.0
3458.251807828052,7133.0
-1443.8146081348777,2914.0
-2789.5707192880773,1832.0
1299.595669710805,5103.0
3111.9427389872917,6936.0
-343.2681609983829,3689.0
-4125.5545773539125,759.0
-780.8468107603985,3356.0
-4963.848596261255,196.0
573.3592504616618,4731.0
-64.05506256746321,4532.0
1749.1936370823669,5682.0
-3312.7600315747595,1500.0
1749.1936370823669,5682.0
Objective Value, Total Weight
-6314.820000000001,0.0
3960.9239661112642,8201.0
3960.9239661112642,8201.0
-6314.820000000001,0.0
273.5971826900468,3828.0
1057.0189635011056,4903.0
-4334.647031981414,761.0
-5235.734990383728,110.0
2017.0420014348256,6012.0
3009.8154605545615,6594.0
1788.4392747044812,5348.0
-1649.5581484564455,2639.0
-520.6742569286662,3423.0
-2832.306174056892,1601.0
-2265.2695694966196,2351.0
3715.653566107205,7461.0
-2457.363313045861,1949.0
-3557.597459699976,1120.0
-1057.6457424093833,3007.0
-3434.7554011521606,1206.0
Objective Value, Total Weight
-6314.820000000001,0.0
3886.382903553076,8333.0
-6314.820000000001,0.0
3886.382903553076,8333.0
-1907.3406006044816,2510.0
-2996.4826321693135,1650.0
-1165.9129410477162,3139.0
3013.5748413538695,6873.0
2460.7676785253543,6223.0
3470.3439923779897,7622.0
901.6053948726658,4763.0
-4497.954485195932,717.0
402.4724136446339,4244.0
1619.1382293584848,5390.0
-3761.395965351634,1122.0
1910.6224094230774,5592.0
-641.0542202330962,3701.0
-5712.187177806686,422.0
-5462.6555524617115,627.0
-3517.085253969314,1468.0
