Objective Value, Total Weight
-2502.577487419514,1690.0
3694.0088971845416,6970.0
843.5595999566549,4394.0
3018.8159456515496,6479.0
2579.6967455113654,5984.0
-5059.824227561282,150.0
-4514.486124927089,338.0
3974.163991008343,7358.0
-3729.0421765491938,980.0
477.52422870929513,3951.0
-2986.03794079599,1290.0
-1544.7300399093583,2436.0
-2127.7275181174646,1952.0
1383.0264614705848,4764.0
1927.0603430236088,5214.0
4391.210803746235,8174.0
-525.3191782838148,3131.0
-1047.6033784521378,2688.0
22.807466203244985,3532.0
-5912.826503093868,4.0
Objective Value, Total Weight
3049.1741513455936,6644.0
-542.3893245951867,3116.0
390.5982591222855,4262.0
1601.6882266938755,5288.0
-185.25353636208365,3486.0
-1449.2183645645318,2461.0
-1881.167930776116,2058.0
2230.2419024345236,5689.0
4015.6205181494934,7427.0
1194.751034063871,4592.0
-1041.1481579055635,2798.0
-3812.187121314614,976.0
3392.360709849907,6731.0
2659.947980306102,6025.0
-3222.2854439311404,1319.0
-2591.518426505768,1530.0
-4412.224286992127,554.0
-5912.826503093868,4.0
-5160.462259914063,149.0
4383.187216611852,8115.0
Objective Value, Total Weight
341.9788325606878,3867.0
-2414.460669812238,1809.0
2378.5077144759025,5705.0
3567.6851285840257,6826.0
1803.442816606349,5311.0
-3708.998239875473,904.0
3952.3363910959115,7371.0
-819.7462780430697,2983.0
-3156.36499899349,1335.0
-172.70866215251044,3478.0
-2049.80013263392,2175.0
-4297.032294338618,590.0
2918.6257838268584,6216.0
-5611.4618529148765,7.0
-1418.2557987334458,2495.0
1263.7948593581195,4673.0
754.152533738119,4283.0
-4863.208657990092,197.0
-6214.170537968259,1.0
4397.654835096462,8215.0
Objective Value, Total Weight
-2022.3171124220835,2029.0
42.08686854982352,3751.0
-2612.2569452786474,1607.0
2640.7461795859135,5934.0
-4579.48221703418,473.0
1179.2505637974427,4550.0
2319.032825114824,5510.0
561.9457457759145,4137.0
-866.1476925700072,2915.0
1803.1660263683043,5022.0
-1426.723427494324,2517.0
3034.991318174756,6386.0
-3244.7956113528926,1164.0
3996.224473761553,7420.0
-275.8136224136442,3403.0
-3875.4801888906277,760.0
3419.5419018973025,6874.0
-5409.844165867355,9.0
4376.413365931137,8196.0
-6113.201737925765,2.0
Objective Value, Total Weight
3686.2238302622573,7508.0
3563.6316261516495,7008.0
-2463.8006649638637,1760.0
-3084.7198614768904,1245.0
878.0637556317488,4286.0
-92.50062300269838,3609.0
-4449.60078498186,499.0
470.95470232351454,3886.0
1356.0631381104895,4892.0
-410.70866223494704,3181.0
2360.822042255062,5669.0
1881.3858943374444,5315.0
-5123.235978082964,355.0
-1761.7843645749635,2229.0
-1053.2676719325182,2653.0
2781.9193934702107,6136.0
3245.603513141512,6603.0
-3682.765031576412,941.0
-5712.110862447686,6.0
4391.210803746235,8174.0
Objective Value, Total Weight
4118.302906879791,7627.0
-4273.742080303547,515.0
936.1232427282266,4348.0
520.1543903775246,3995.0
1696.8205085308136,5155.0
1356.3851981016223,4744.0
3073.685815881997,6344.0
3788.4898464945163,7037.0
-1159.1497350455274,2639.0
-3727.6211976948816,1005.0
-2372.0641753242444,1830.0
-690.4453393512958,3012.0
-2986.03794079599,1290.0
-143.66377200236093,3421.0
2378.4819269468844,5609.0
-1717.6948079947888,2125.0
-4817.363263869472,327.0
-5576.3995245285105,99.0
-6314.820000000001,0.0
4405.18109805082,8049.0
Objective Value, Total Weight
-2748.143980425136,1657.0
92.34209483996165,3610.0
3286.4038753777904,6805.0
3839.195463242553,7214.0
491.2522161576935,4237.0
-1761.7306193643208,2529.0
949.4314331710284,4439.0
1317.665963169804,5085.0
-575.6082430959787,3061.0
3891.9998393306305,8089.0
-1239.1254647004898,2811.0
-2169.8333978891105,2070.0
2577.169084392579,5952.0
2023.3392553813683,5410.0
-3303.5922151828654,1121.0
-3983.452366175009,695.0
-4729.303913652756,290.0
-5476.700378408282,100.0
-6314.820000000001,0.0
4391.210803746235,8174.0
Objective Value, Total Weight
147.62969721038826,3916.0
625.0808666859948,4175.0
2471.624412433139,5931.0
-2764.8851788960274,1533.0
-1904.0041708606104,2069.0
1179.8979863133027,4663.0
-1285.1462450509953,2762.0
3585.855143615804,6965.0
-88.2580296261549,3563.0
3037.9158233807084,6492.0
1979.622773052699,5390.0
-568.7763573007996,3171.0
1613.6829065308893,4940.0
-4590.2127550338955,515.0
4096.029704071632,7523.0
-3873.7156371731817,804.0
-3255.1662427734855,1130.0
-5275.090455934233,102.0
4397.654835096462,8215.0
-6113.201737925765,2.0
Objective Value, Total Weight
1458.9990994521013,4770.0
-711.8940307971834,3074.0
3531.1257804915367,7178.0
4037.215502185065,7679.0
-5476.700378408282,100.0
-2376.2734552217207,1809.0
2836.854377378775,6124.0
-1898.4360518334288,2189.0
1591.2663297302088,5081.0
-3079.3072626274698,1258.0
-1436.3783166543171,2573.0
956.4588032764341,4458.0
-4729.303913652756,290.0
-4150.014508814919,614.0
-192.90730313932,3403.0
2130.882784512527,5619.0
410.6658505641135,3983.0
-3650.6789188100547,918.0
4393.403817953136,8254.0
-6314.820000000001,0.0
Objective Value, Total Weight
-2596.9885915311397,1688.0
1606.15662512598,5171.0
2207.674382009355,5583.0
-1439.1864594371627,2627.0
-1075.1784672580143,3049.0
78.2170974098326,3959.0
3644.5859262132153,6940.0
-480.098757044143,3635.0
508.4604040918084,4361.0
4052.285417154847,7403.0
3273.238117479018,6488.0
-1848.0963391920995,2291.0
1122.710933369085,4677.0
-5357.459391675043,154.0
-4396.773666838313,559.0
-2887.6000894375848,1407.0
2791.1432573065604,6025.0
-3560.3661857483357,965.0
4397.654835096462,8215.0
-6314.820000000001,0.0
