Objective Value, Total Weight
10068.3752335151,40899.0
-29124.195727810325,186.0
10068.3752335151,40899.0
7360.042620126595,35242.0
806.9798128863767,30430.0
-17864.32010606984,9847.0
-9003.179269350148,17782.0
-26711.169197836873,2422.0
-19857.34682056826,7955.0
-3168.517880253341,24453.0
-13015.457024723306,15695.0
-15592.34394590518,13245.0
-22674.73023624809,6475.0
-404.65536878343846,26049.0
-4636.395187200418,22097.0
8704.77825951617,38968.0
-24395.282215848067,4370.0
-7812.131892891302,19655.0
-23897.77828688132,5098.0
-6908.980333956191,21914.0
Objective Value, Total Weight
-28844.80619279527,6.0
10045.926170285056,42261.0
-28844.80619279527,6.0
10045.926170285056,42261.0
2186.970810389401,29403.0
5035.05047324342,32813.0
-2277.164473539764,25328.0
7716.003746044931,36861.0
-24430.10571877729,3789.0
-28190.049023766813,848.0
9018.466783156116,39457.0
-13217.135536257214,14242.0
-19222.759542774365,8741.0
-16871.945279358544,12679.0
-22190.966417292784,6071.0
-3672.632727976714,24520.0
-6022.780483343267,22643.0
-18868.145103931816,10244.0
-11103.110200170719,16772.0
-9499.349502106204,20589.0
Objective Value, Total Weight
10237.942743997213,41636.0
-29448.25,0.0
-29448.25,0.0
10237.942743997213,41636.0
-5954.2805067176305,23185.0
-615.0833796682564,26566.0
9066.84503354002,38223.0
-23306.51688500345,6246.0
-15771.485968681169,13389.0
6916.417661369,35603.0
-8825.3794465799,22152.0
-26340.311259988597,3395.0
959.054543490216,28289.0
-20838.203918967865,8327.0
-11489.782349061767,18587.0
4702.583137340407,32536.0
2840.5600960374504,30374.0
-14707.176673789734,15440.0
-12583.270554775976,17278.0
-18192.669332977996,11795.0
Objective Value, Total Weight
10066.134343071535,41479.0
-28661.280875289118,327.0
-12402.647224353983,18204.0
-5553.923890843485,20943.0
-22401.480427117174,8743.0
2866.808937548267,30370.0
555.4167600300134,28104.0
-593.1871930378984,26823.0
7927.752294622005,38114.0
-20216.164154638536,8983.0
-3913.8466221635463,23591.0
-23698.470782530174,4800.0
-8765.089601185136,19186.0
5274.886169156751,33776.0
-12770.6720824535,14880.0
3551.7175804247818,32516.0
5822.764465789878,36374.0
-17073.41565857324,11095.0
-17158.734420448312,9811.0
-15068.61817056482,13405.0
Objective Value, Total Weight
-29247.247288729865,2.0
10093.744583955719,41422.0
-7250.9898954552555,19915.0
-1796.6554642265473,24156.0
-27625.929137809882,1676.0
-18089.060261028946,11716.0
-9689.041396972476,17942.0
-12553.635112292686,15217.0
5755.57246871735,33626.0
2406.892945793559,30276.0
-23858.250762411368,5034.0
7830.767695106682,35792.0
436.7154561483112,27867.0
4224.711805365354,31696.0
-20562.02089826527,9108.0
-14415.326874246108,13132.0
8092.9517753356995,38630.0
8414.92634148433,41215.0
-22943.710573368666,6592.0
-14390.069632579529,13864.0
Objective Value, Total Weight
10064.543279462014,40826.0
-28090.89272208237,502.0
-17948.764339107307,10766.0
3470.800955989049,32145.0
8015.65532521483,36640.0
6724.287806359447,34620.0
-20721.43328703371,7934.0
-12163.548769052031,16875.0
-24570.931698207707,4425.0
1553.1884888036002,28850.0
-9754.42056861805,18200.0
398.6953800329429,26840.0
-2074.2434047618153,26783.0
-2969.5293816095727,24982.0
2596.470256662127,30743.0
-15435.373018554521,12260.0
-6870.962774647989,22109.0
-8542.610414057417,20381.0
-14915.113608830026,12847.0
-26121.675842315162,2467.0
Objective Value, Total Weight
10345.041239153506,41153.0
-27729.700403633236,1084.0
-9916.11693624068,17131.0
6739.634936996234,34252.0
-6364.075725644929,20068.0
2462.516136621867,32073.0
-4161.025857969529,23102.0
-1967.7085852525997,27544.0
-12309.997770157777,14847.0
-25576.987714949453,3067.0
-20792.57417815087,7731.0
7132.006303389826,37471.0
-14651.321822428334,13792.0
-150.34878042204218,27725.0
-14766.642157988903,11615.0
-24581.9369694467,4741.0
-4749.54463105771,21536.0
1099.9665127320623,29994.0
8877.707883177187,38822.0
-18434.74966010225,9005.0
Objective Value, Total Weight
10070.985739318086,41361.0
10070.985739318086,41361.0
-28839.588428225183,416.0
-28839.588428225183,416.0
-550.7680098984929,26885.0
-23154.47230704269,7552.0
-26004.308497620565,4345.0
-18951.535912657113,9300.0
-12307.079227955634,18399.0
473.8812944639576,30072.0
-9823.706828110713,19049.0
-12760.29630745055,14524.0
-6878.793721543487,20036.0
8747.263360899567,38417.0
-23949.674931963487,4780.0
8174.279843971148,37023.0
-5057.02085453998,22483.0
5800.301786414158,35372.0
-3357.639949253782,24194.0
3294.337736587084,32617.0
Objective Value, Total Weight
10329.969760351763,41767.0
-27563.235654889853,1005.0
-27563.235654889853,1005.0
10329.969760351763,41767.0
-7064.951642046719,19571.0
6475.212262901565,35816.0
4961.963083367074,31480.0
-21568.286498452897,5673.0
-19346.828825496686,8313.0
-5365.6555006228955,21749.0
-11307.80241800841,16748.0
-17309.792618993015,11060.0
8709.079667044389,38380.0
-24184.91048606155,4791.0
-102.58266977892345,27447.0
-3449.991376849546,23379.0
-14592.943818897336,13341.0
2248.8291164393086,28388.0
2521.044002929557,30741.0
-13314.983266321426,15284.0
Objective Value, Total Weight
10296.224771970054,41504.0
-27926.697198793998,554.0
-27926.697198793998,554.0
10296.224771970054,41504.0
-10107.451035676117,19102.0
5296.556664927506,34340.0
7991.404569292332,37945.0
-1432.2079725922813,26509.0
-24940.114643359084,3060.0
-7515.883590323923,22876.0
-13324.527572961837,15904.0
4468.3845326674855,31717.0
2854.339621499559,30086.0
-11740.717826303313,17162.0
-15232.190159950253,13963.0
-24645.556759886364,4253.0
-22338.603442244115,6390.0
9564.418680599672,39482.0
-3875.7634030852496,24562.0
-4105.873558745348,23882.0
