Objective Value, Total Weight
-18674.795298522768,20187.0
-22598.977770964106,17841.0
-24756.279677704115,14555.0
-32285.74960584953,8445.0
-35160.703003594244,6527.0
-28810.284089455745,12044.0
-17133.42913231694,23257.0
-10207.916988673082,30046.0
-5980.06968626516,34165.0
9253.956337191972,58500.0
-11930.10993035519,27224.0
-38090.31225403569,3200.0
-14501.904592801919,25123.0
-986.5486773992307,39638.0
-3486.429700832654,37198.0
2908.5553171569045,44751.0
5672.147870927161,47589.0
8125.834793636081,52286.0
12244.888347492262,63209.0
-42830.65,0.0
Objective Value, Total Weight
5548.310475800492,49671.0
-14853.199850142759,24908.0
-22607.89520400957,17250.0
-25915.12390791838,14700.0
-40197.32312874899,3004.0
-12403.310980374852,28022.0
-19615.270691099387,20090.0
-35499.64440896414,5687.0
-31562.744870965376,8960.0
12345.642483825468,59154.0
7424.079503652203,53575.0
-9828.934657049002,30787.0
-17649.0315897353,21970.0
12998.538778249,65172.0
-7757.536511660517,33733.0
-28461.348092757144,12199.0
1862.6899713053936,44690.0
-4571.777560103714,35537.0
-1090.4367713742467,39639.0
-42830.65,0.0
Objective Value, Total Weight
-13896.457187730884,27955.0
-16204.135860785856,25694.0
-39248.2146310574,3216.0
-32363.167222814358,10046.0
-11826.79738142588,29979.0
-19117.239814803455,22466.0
-34921.524574937706,7042.0
-28930.539633943787,12984.0
9326.394046965237,56651.0
-25640.728865817524,16279.0
-21550.963769644855,18851.0
-8722.880999280664,34111.0
-2326.8642205192664,40778.0
5398.196973592545,51549.0
2106.1435585085055,47500.0
-5161.575634608525,37322.0
12276.591866710834,60356.0
1745.3372728985705,43953.0
13099.602020658363,64101.0
-42830.65,0.0
Objective Value, Total Weight
-37384.906033680345,4253.0
-25964.96142432298,13794.0
-12683.504936010766,27331.0
-17768.862251312858,22489.0
-8925.264959473556,33103.0
7420.5000697850555,51014.0
-14841.117639445474,25105.0
-29302.588755018587,10551.0
-23715.760619296474,16179.0
-20418.856578129373,19810.0
-2682.6120706232978,37932.0
-32962.31141036005,8631.0
-34.33921808382729,41874.0
-10977.80922095674,29847.0
9220.210905510758,54832.0
-6213.1748213311,35672.0
10985.994516155813,59613.0
3024.3671690867122,46154.0
12819.125502322073,64503.0
-42830.65,0.0
Objective Value, Total Weight
-4754.10957846565,37023.0
-34491.20330225801,5945.0
-32451.592419578323,7978.0
-40382.851856304806,2186.0
-25537.926029783273,14286.0
-29328.56624960646,11629.0
4720.202718064647,47476.0
-37447.603969812815,4580.0
-23071.848181548776,17475.0
-14885.742715093482,24783.0
-12173.71569087162,28514.0
-1712.4542212028318,40795.0
-19979.362571164274,21067.0
-9602.8301049016,31794.0
1034.4272444381932,43446.0
6345.574358973063,52796.0
-7342.37951052306,34742.0
11142.019314574885,56884.0
12897.709616122884,64440.0
-42830.65,0.0
Objective Value, Total Weight
-38522.3151645325,3274.0
-19455.146993026654,20860.0
-35610.594183605135,5823.0
-26737.226348845186,14870.0
-22547.715197037498,19396.0
-11929.005962449985,28672.0
-15554.883529592567,24167.0
-32858.153190814504,8854.0
-8598.273458348121,31969.0
3368.015538487183,46173.0
908.586605915596,43045.0
-29130.45116288835,11728.0
5380.366674997458,48561.0
-6047.975091947366,34517.0
-3489.460640856705,36985.0
7799.637042019836,52788.0
10237.681844483894,56790.0
-1006.437833389471,39422.0
12295.852334674128,62515.0
-42830.65,0.0
Objective Value, Total Weight
-39963.390682964506,2874.0
-30828.85936910061,9760.0
-22616.30847577883,17092.0
-37555.352379191616,4140.0
-12928.051422808043,27226.0
11630.954121540417,61029.0
9765.842087343153,53902.0
-8542.864823079908,30895.0
-27205.198784107626,14419.0
494.786148968793,42154.0
-35357.35123508037,6880.0
-19684.883712215626,20295.0
-15679.371565307687,24586.0
-5991.279021591981,34921.0
6497.519819465706,51099.0
-2406.035148881092,38045.0
4108.493880536669,45909.0
11485.279196205323,57614.0
12933.412343005315,62821.0
-42830.65,0.0
Objective Value, Total Weight
-31795.06006288933,9824.0
-12173.339253927676,28548.0
-40887.43253737677,1802.0
794.1685156508975,43579.0
-35458.73735640756,6223.0
-38555.37257646785,3781.0
13161.792657395825,63724.0
-27732.272963612762,12856.0
-24050.321395825726,16513.0
-9570.194183982654,30810.0
-21228.10366442636,19394.0
