Objective Value, Total Weight
6825.923636034517,49969.0
-2395.7526485516064,37754.0
5389.786616542697,46510.0
-21787.06426431665,20061.0
-12165.384579997663,27227.0
-28031.41905139405,13263.0
-34619.57345684531,6648.0
-30792.774070263593,10641.0
9878.393186848909,55278.0
10567.683761768523,59439.0
-24153.086372406287,16487.0
-17761.16563867448,21857.0
3718.666380137278,44153.0
-27.31261938370153,39828.0
-38619.70164609564,3468.0
-7122.134200815264,32684.0
-15234.28210449135,24507.0
-10928.91363901637,30099.0
13760.117911635345,64279.0
-42145.11754999184,251.0
Objective Value, Total Weight
8958.450274565068,51949.0
11116.38798353533,57388.0
-15093.57032845635,26380.0
-23701.07511208691,16016.0
-11091.367946358849,29361.0
1369.0957189041073,44119.0
-17710.552306032507,22203.0
5842.625603619104,50054.0
-20657.924613937845,18908.0
3442.7113481840206,47235.0
-6893.181916246722,33694.0
12358.47542737487,60127.0
-26.86336986113747,40692.0
-30402.74584249196,9985.0
-26650.739892524383,12780.0
-2746.736194381716,37469.0
-34074.8732211694,6565.0
-38387.01661454184,3678.0
-41817.16682706971,363.0
13769.163808102967,63687.0
Objective Value, Total Weight
-3380.7838770239396,35740.0
5847.187278320023,46526.0
-16977.522352994703,22197.0
-20381.21487673409,20944.0
-21811.189165565665,17792.0
11850.58852148652,57200.0
-1887.42283462442,39145.0
-32691.320728597035,8207.0
-39354.47668072849,2418.0
-6791.5281066039315,32308.0
-14204.193215497078,24920.0
-11648.873656595038,28706.0
-35424.82180867207,5410.0
8020.222448361303,49977.0
-28600.36229619391,12158.0
3496.163699036246,43102.0
-25523.69875302774,14748.0
10219.515904019383,53139.0
13771.202282833561,64179.0
-42427.5453985345,212.0
Objective Value, Total Weight
9738.106104729748,54773.0
-31984.328341916196,8995.0
800.9101064909773,40624.0
2619.870906086653,43354.0
-12200.317484695297,26765.0
-9885.214339981583,30291.0
-18396.9767552384,20735.0
-21546.99479028274,17031.0
-25527.92462218609,14905.0
-15897.448418507789,23176.0
9845.439810782336,58473.0
12499.471505365575,60854.0
-2224.195694328817,39393.0
-4489.97355813891,34692.0
5348.212081459162,46381.0
7644.508162691425,50307.0
-36475.16809129092,4560.0
-29325.851398239378,11351.0
13730.953557684654,64735.0
-42446.99075462833,248.0
Objective Value, Total Weight
-19666.194956003557,19778.0
-2937.2176653635543,37634.0
-17263.01264063303,21942.0
-23073.188441505183,16122.0
-25988.366313184335,14988.0
-36128.500509576676,6253.0
1753.4075330378037,44582.0
-12759.672466669996,26712.0
-5251.595058466955,35372.0
-31262.956972653403,11190.0
-702.3655556614176,42093.0
4331.61948997782,47632.0
9323.341092042909,53856.0
7301.000458242015,49646.0
11580.151498505453,58602.0
-8266.133885465184,30755.0
-39245.89886554965,3262.0
-26929.49479574438,12295.0
-42418.86754954144,245.0
13792.402624796741,64615.0
Objective Value, Total Weight
5102.159557860927,46119.0
-20867.8618442612,19301.0
-451.1375550906305,40660.0
2307.3650241541036,44693.0
-12483.625114011571,27267.0
-30553.638769145728,11895.0
-33564.51791456329,8682.0
-27670.815064764516,13671.0
-2794.671142697538,36686.0
-8946.512438296537,31529.0
8107.21134914006,50338.0
-15871.8536305655,24766.0
-25641.64428827606,17487.0
-5766.156684238347,34563.0
11871.947152807079,57321.0
-36954.993620705485,5497.0
-39623.86163099741,2223.0
10504.819253384594,53781.0
-42830.65,0.0
13806.533657316264,64943.0
Objective Value, Total Weight
-2581.290905715614,37236.0
-22548.724210707594,17991.0
