Objective Value, Total Weight
12738.448440182801,41928.0
-9836.647757415922,19657.0
-6587.41648611251,21091.0
-4026.36114661202,22222.0
10212.975352443333,36853.0
11455.166628884908,38566.0
-8497.521410411282,20121.0
11746.842177196231,40118.0
1603.668466448551,27185.0
7946.205707732384,33702.0
6460.175224925428,32997.0
303.07940532272914,26151.0
2767.7284115688817,28347.0
-953.1612345032627,25283.0
3924.5424734778353,29319.0
5724.822466998026,31381.0
-2790.224759703393,23200.0
-2628.544647644223,24778.0
4977.308574720242,30418.0
8885.285854089081,35151.0
Objective Value, Total Weight
13007.717602002609,43016.0
-9487.947507798097,18298.0
12631.751263677295,38950.0
-6919.102700258496,20790.0
10761.256114627497,37699.0
6724.399993573468,32836.0
-8473.79050455756,19551.0
-1732.6886488635864,24790.0
-2771.3056899294825,23460.0
-272.4660181707659,26019.0
3638.895031320426,28999.0
-4889.150871145903,21712.0
5639.022174702397,31119.0
8086.053507908837,34071.0
4630.111298484939,30672.0
-4628.783634024738,22762.0
2298.839229144389,28441.0
713.4428468125043,27256.0
8292.820687029365,35446.0
9966.259188587821,36102.0
Objective Value, Total Weight
-10785.167069744828,17527.0
12719.304178963335,42354.0
-7296.113816910067,19481.0
-5880.816189656711,21162.0
11523.451699586403,40282.0
-8870.196629447542,18254.0
10005.879686323635,36690.0
291.0708516962113,27165.0
10711.065192267582,38800.0
-4657.381118445832,22375.0
3487.599270149716,28823.0
1858.4807613893863,28305.0
-2630.479049538946,22872.0
-360.41075629901025,25312.0
4353.832479058008,30786.0
-1601.4925031906605,24171.0
8103.548662968889,36215.0
5816.898070367148,31332.0
6510.995263398581,33202.0
7398.492911402238,34727.0
Objective Value, Total Weight
-10793.568240207605,17119.0
13629.332422152263,43164.0
-2987.544499409283,23046.0
11727.711334698877,36832.0
9787.653025895794,35227.0
-4494.797131676045,21183.0
12970.213148945491,39037.0
8617.035348354635,33517.0
-7913.514811405927,19351.0
-598.6980187774316,24342.0
-5732.772573641079,19708.0
7043.45604926638,32172.0
5064.105200220991,29319.0
-9721.423037396482,18313.0
3363.438151948081,28305.0
6130.499375937048,30748.0
13502.523802709911,41015.0
2122.9250925881934,27477.0
1104.7415559729052,26875.0
-10.873041957587702,25355.0
Objective Value, Total Weight
14262.68700961522,44017.0
-7429.690565145189,18658.0
-4152.931390783619,20769.0
-1763.507308978289,23232.0
-6730.352952679306,19736.0
1658.6174654244096,27064.0
158.55200436050654,25888.0
7272.272118218018,32384.0
10195.8147096233,35683.0
-391.7221558675519,24422.0
3002.8814254038007,27837.0
6047.506299656969,31156.0
11069.133755551644,37451.0
4340.194167894966,28777.0
8344.014399709216,33397.0
11999.86993242956,38377.0
9629.548687931965,34226.0
13229.262528474275,39492.0
5236.254174048845,29939.0
13717.37185372896,41279.0
Objective Value, Total Weight
-9745.171089786665,18245.0
13644.856978185133,43616.0
12933.269552467398,39705.0
-7599.060528239694,19341.0
10881.457466675063,37043.0
2417.581826191781,27599.0
4015.047333129616,29266.0
553.1001277654577,26115.0
-1922.8862714945353,24300.0
13263.741440810125,42566.0
10103.97478472945,35849.0
5624.372701377455,30340.0
-536.5164021468954,25050.0
8976.283561063465,34448.0
-3484.070381249876,22148.0
7073.478191697039,32396.0
-6002.238140694491,21455.0
8406.105782913139,33332.0
-3051.7541956072164,22763.0
6219.24423671882,31501.0
Objective Value, Total Weight
13749.846045374608,43527.0
-9986.383705814958,18001.0
-5969.781339350826,20291.0
-8283.71487214911,18873.0
13180.200792475269,40690.0
-4007.0430599716638,21979.0
10220.538742016077,34994.0
5209.04163032736,30360.0
9004.067896858876,33414.0
-1560.906639166591,24631.0
-2774.8278084751946,22990.0
7431.9853459547885,32366.0
12123.624820941215,38842.0
3954.525679576567,28628.0
11110.433557486343,36981.0
6609.277782711011,31495.0
-332.805319386498,25677.0
1594.9214231809892,27600.0
436.58515822151094,26811.0
2720.334531853914,28625.0
Objective Value, Total Weight
-11163.503924745462,17124.0
13520.570078512275,41342.0
-5432.463690290329,20881.0
-7333.848136827306,18584.0
-1416.2573252096554,24366.0
8769.814459359943,34648.0
-8733.147012371483,17795.0
-2941.494870784365,23261.0
12426.756834578468,40078.0
8100.053087112457,32457.0
5233.040216676272,31081.0
-4205.960326114167,21923.0
10998.40559127905,38657.0
2044.6822870571486,26978.0
2568.1896186599697,29388.0
9226.977166650657,36573.0
8.51458816073864,25654.0
3752.7004362577354,29774.0
6757.646076858313,31697.0
10634.735886623268,37243.0
Objective Value, Total Weight
13612.572125866856,41882.0
-5471.945094629715,20282.0
-4027.1603397860817,21696.0
7762.123041710023,33448.0
8882.90789525448,34911.0
6814.252730686021,31769.0
3498.2407955658346,28079.0
-2455.322205580065,23312.0
505.1817368601842,25425.0
1652.6416862772458,26413.0
-671.8065710582159,24552.0
13265.265493834566,40331.0
10208.999840774231,35981.0
11805.134487651441,38081.0
11021.832837946124,36607.0
12716.939738254885,38765.0
2311.20135190984,27780.0
4618.153339806406,29728.0
5860.107594971836,31012.0
-1669.6262517623836,23527.0
Objective Value, Total Weight
13626.374794084877,43014.0
-8607.407132591201,18877.0
10768.591896964805,37187.0
6508.339146568025,32005.0
4706.108952634255,30195.0
-4381.303982810568,22391.0
12969.528916891584,40347.0
11978.578191097433,39215.0
9390.471421069793,35952.0
-5968.087011424861,21067.0
2433.7051548187083,27714.0
-6632.463802316401,19501.0
3741.2722274508633,29048.0
-2980.0455837517948,23754.0
8442.844231881238,34169.0
865.0784301830718,26949.0
7731.267057546102,32969.0
95.06116308759374,25663.0
-802.2063961289168,25285.0
-1363.1302065107084,24009.0
