Objective Value, Total Weight
6247.131188832696,32952.0
-213.4749019143128,26338.0
12206.134727411925,40380.0
5675.7496337213015,31343.0
4518.513294783479,30315.0
8531.010950845804,34766.0
-2597.276302614693,24008.0
9078.931517307996,35943.0
1421.3517468113423,26629.0
10669.673364760209,37747.0
-1530.5477748620542,24684.0
-4861.804968253426,22199.0
8445.879689033922,33433.0
13330.986740664222,40480.0
-5929.665436930634,21011.0
2101.615528554932,27968.0
-3815.3141123018067,22488.0
3429.641696548759,28976.0
10129.310470008837,36352.0
11983.653644049511,38696.0
Objective Value, Total Weight
3376.082405060639,28217.0
4502.5160728130795,29550.0
-1765.683696079308,25658.0
13370.587515971929,42347.0
9509.10844168791,36411.0
10888.180880315544,37530.0
12387.43294739465,37950.0
7155.614454220384,32847.0
-5628.057255441236,21899.0
-592.4238879462937,25769.0
-6291.288846411357,19429.0
1427.9522818063851,25961.0
8761.945348146364,33508.0
5905.815386946859,31409.0
12697.416357024027,40280.0
9226.297604505417,34842.0
-3104.896648591188,22377.0
2006.2166144638395,27410.0
-9278.84783404084,17598.0
-2083.678711467561,24050.0
Objective Value, Total Weight
7703.772194272518,33141.0
2573.123434530302,28115.0
-2029.3983849301949,25501.0
6152.143696644627,31200.0
1984.806595408052,27008.0
-900.6030163868563,25829.0
-2636.666684787473,24313.0
280.6077439853034,26713.0
9074.396367116366,34645.0
9512.795972023807,35881.0
-5505.427684837094,22177.0
4860.141733175915,29982.0
10823.368904252762,38365.0
6743.112310715558,32688.0
12211.431395247164,42891.0
3586.8466965278276,29172.0
12115.871429118735,39578.0
10401.620074542901,36702.0
-7930.007610162087,21680.0
-3570.6806328976163,23352.0
Objective Value, Total Weight
4188.293421382747,29560.0
3622.186084991459,28514.0
5195.3492471786085,30400.0
12401.083073370442,39553.0
2692.226595578868,27262.0
9463.312687529913,34879.0
7523.397172349476,32789.0
8501.897409499128,33295.0
12918.952696659777,41150.0
1506.3661626364556,26297.0
11614.870155775861,38121.0
-5798.55028961059,20812.0
518.4399998434383,25151.0
-3202.446901825191,22893.0
10284.0993943203,36610.0
-4065.453520641182,21656.0
6709.067581355484,31578.0
-872.0627814720356,24058.0
-6716.4296911036945,19336.0
-1894.0465942912488,22980.0
Objective Value, Total Weight
-5701.64680089373,21639.0
5434.72731487525,30504.0
11857.736874523558,38828.0
11353.083264686327,37198.0
10428.122550432985,36206.0
-3758.93165572999,23149.0
2161.7373453525943,27819.0
6356.716118066353,31534.0
428.0224626317431,26164.0
7169.055068794958,32309.0
3479.7408387675605,28599.0
13896.003506721187,39042.0
14321.22773573178,41068.0
-1874.1379392472008,24055.0
8768.17750505737,34329.0
-492.2635080199616,24961.0
8281.955493037742,32903.0
4517.1951962456515,29499.0
10070.380004290739,34679.0
1716.245537583287,26680.0
Objective Value, Total Weight
11322.132797064172,38440.0
-19.433145987291937,25036.0
4388.979142607197,31139.0
-1508.4045039603589,24451.0
3815.47307159497,29606.0
319.14075535882876,26132.0
12142.747640949383,38688.0
6618.861915943977,33041.0
8915.738365533987,34812.0
13390.307969131238,39504.0
8090.259540642473,33112.0
-8614.2543002479,18709.0
6099.242499106593,31411.0
-5107.167870766716,20835.0
2970.9943671651054,27900.0
-6755.971922227633,19591.0
-2225.664247102075,23393.0
10665.870151968353,36747.0
1769.6748189348436,26921.0
-3691.9447874791804,22612.0
Objective Value, Total Weight
7347.513343076724,31556.0
12072.382582771577,37595.0
13356.409523639413,41816.0
10916.988044056154,36606.0
13128.832809242602,38728.0
6824.719899084666,31384.0
9447.336814491864,35490.0
-1177.5068044281434,24505.0
5272.268332840853,30583.0
-2413.667154941657,24373.0
-234.32361401891103,25398.0
4210.748811307298,28083.0
13336.014023242882,40837.0
1163.2178587839153,26668.0
9279.19171485788,33763.0
14131.332769556502,43199.0
4612.177169202376,29148.0
-4234.172688004859,22541.0
7909.130005393097,32960.0
2159.979840627966,27930.0
Objective Value, Total Weight
2854.0344815143835,28692.0
11708.234440148204,39240.0
4069.6792357981685,29533.0
5413.941472883627,30913.0
13801.570531294092,41977.0
-8564.327053420515,18356.0
13443.468682078223,39983.0
6398.723038901837,32500.0
9233.357794909949,35558.0
-7256.348640332231,20473.0
-582.7555321301043,24562.0
8260.277064922855,34128.0
-3221.0024770726013,22530.0
1903.396673387033,27410.0
10332.66745110698,36519.0
7377.243128936418,33172.0
-5031.613713233273,21773.0
11280.514515487012,37787.0
712.8411183792268,25962.0
-1646.1216733271795,23889.0
Objective Value, Total Weight
8898.884752985861,35330.0
13565.754512034619,41938.0
5286.740656482543,30296.0
12021.466713938193,39679.0
5582.710017165606,31366.0
6912.844894661823,33499.0
-496.7515575508223,25013.0
8067.028721359944,33815.0
10296.180192559164,36343.0
3377.3161328726565,27653.0
11123.397243879474,37936.0
909.3251106606403,25726.0
11932.404431379116,38704.0
12908.644233300947,40533.0
6574.963539093274,32072.0
1614.0669637183892,27295.0
-2179.1720765169885,23944.0
4229.010296122906,29579.0
-4203.1276257316495,23030.0
-5937.206009763984,21479.0
Objective Value, Total Weight
10726.678833456084,35816.0
4477.7262449545815,30649.0
8218.121652946538,33932.0
7457.569951513564,33091.0
5682.438408106122,30748.0
6096.099478708653,32321.0
13573.017178245238,42107.0
4001.4099584164214,29184.0
1552.981947432614,27516.0
2462.397064994635,28414.0
12291.436249085084,39460.0
-13.73922106185637,25170.0
9208.284127899096,35192.0
1045.6958050526882,26336.0
11810.486867259067,37561.0
-3057.6709219433687,22768.0
13155.592508548762,40693.0
-1777.845596490246,24381.0
-5179.999899047136,21722.0
-3798.491103546905,21864.0
