Objective Value, Total Weight
3484.198338432034,175027.0
-78857.4351336314,57781.0
-65599.26819362887,72009.0
-71370.38522238855,66354.0
-33154.001828171255,109744.0
-86807.76938442158,50025.0
11582.00088724008,191848.0
-3212.2850787153293,157191.0
-102939.38807875078,37507.0
-20782.583138166694,128215.0
-26412.704713387822,118956.0
-38676.0733552032,102945.0
-98947.30682533042,41457.0
-111610.62369107184,28532.0
-13237.568308315822,138778.0
-45047.52771054616,95870.0
-49360.814569099166,90432.0
-56008.63519026755,82358.0
-119324.48915552066,20899.0
-134364.82539733127,10439.0
Objective Value, Total Weight
-109992.40825025662,31114.0
-127682.15904426482,14437.0
-82083.65693852116,58260.0
-91578.41076355195,48493.0
-75160.67461222169,65902.0
-42186.782513050566,106775.0
-65973.93664491171,76618.0
-70082.4550503013,70634.0
-18523.807662192325,141291.0
-122038.83516948897,19654.0
-136629.65818533747,7615.0
-6005.009791565331,160735.0
-36592.054669916135,112689.0
-103755.91284613402,38010.0
-48778.961853652756,96700.0
-53510.26676433883,90695.0
-116351.40320772002,25082.0
-58797.0755183759,84519.0
-28199.854978166695,129199.0
-88096.76483858048,52175.0
Objective Value, Total Weight
-127999.89103215522,16110.0
-63745.87353078238,79684.0
-85746.95905935086,54780.0
-49260.100093235436,98534.0
-109394.87676573714,32925.0
-113499.94441971465,28738.0
-118967.70071148599,23467.0
-9420.811774527363,154942.0
-27215.250172189524,130967.0
-95674.389245573,45164.0
-20277.674342858285,140073.0
-102590.56994583557,40317.0
-91025.78333723717,49765.0
-55809.124592828564,89617.0
-36899.11538201527,119838.0
-79173.15097548897,60945.0
-72997.75978291285,67870.0
-137804.14545069306,6568.0
-68000.31430365227,73915.0
-43718.85129521866,105065.0
Objective Value, Total Weight
-24573.9856723313,136283.0
-3821.6320453736407,169449.0
-107290.79021779457,34442.0
-75509.32227442565,68493.0
-118339.56113528117,25606.0
-133601.34696307848,11028.0
-36345.38638343886,111046.0
-51852.23035486147,92696.0
-125367.41110070221,18400.0
-45043.22002977031,100203.0
-78755.32734157087,64558.0
-104417.71720175043,37182.0
-93805.81739823366,48160.0
-69418.80869591818,75195.0
-88450.81614524586,53579.0
-19268.071887984406,143364.0
-64467.051438493945,80176.0
-40786.24313551662,106276.0
-84195.15269964619,58109.0
-30415.96614919431,125508.0
Objective Value, Total Weight
-8888.613914519112,158365.0
-28913.390058572433,123975.0
-34129.20347297005,116960.0
-65448.26011587522,77086.0
-74735.14588363058,65978.0
-87705.60892221113,51163.0
-53925.9975557797,90854.0
-95190.13282154585,44114.0
-40641.630933974084,109436.0
-15121.051994944457,144504.0
-826.2604318930535,184144.0
-68396.47546791696,72131.0
-48471.924910931935,98320.0
-116930.09864318348,25247.0
-60612.47132166629,83065.0
-123681.69328145025,19001.0
-21197.88466030039,133756.0
-81605.33715491887,57167.0
-111908.60679483428,30781.0
-140592.67899282897,5273.0
Objective Value, Total Weight
-95071.13229952258,47484.0
-41691.03217363337,106696.0
-22573.058470483287,133201.0
-111634.76145237949,30012.0
-16510.411155230104,143733.0
-64986.44064576368,76534.0
-58086.38269605444,84169.0
-100945.37186303953,41392.0
-30730.103362555034,123439.0
-71301.60956614345,69384.0
-104982.02123970748,36668.0
-47274.62522062712,98492.0
-121161.36619358,21524.0
-36122.289031111926,113470.0
-11764.704599827004,153406.0
-91173.59464085152,51617.0
-84484.64436938483,59114.0
-77950.44344877164,65443.0
-54427.6738049635,88620.0
-125228.4872818533,17621.0
Objective Value, Total Weight
-58157.27819020997,82028.0
-120424.04488842376,22043.0
-94432.82837404532,46614.0
-46092.36128896527,95344.0
-29565.511650798027,115207.0
-84350.70393921385,56430.0
-34765.869711591076,109338.0
-39527.36551373801,103330.0
-89218.7756804741,51926.0
-72542.07864259768,69842.0
-22971.842895413894,125352.0
-66853.55393943799,76701.0
-53999.11523074671,86173.0
-109741.44917551594,30286.0
-8975.2908938303,147475.0
-16325.649716810614,135067.0
4079.2055435015645,171523.0
-102548.25376928956,36731.0
-80423.86811527595,60420.0
-134005.484909532,9720.0
Objective Value, Total Weight
-42469.01844739751,106832.0
-129972.8576344644,14827.0
-46803.173745138396,101346.0
-66115.0009081937,79084.0
-27732.716315929923,126675.0
-119980.0632544063,23927.0
-105071.60279651478,37085.0
-71563.32551911232,72734.0
-55731.64635100329,92187.0
-6374.02897625952,167236.0
-100142.66559802095,42903.0
-20053.916134769854,137924.0
-88366.56350627413,55093.0
-34817.164681608556,116660.0
-76841.99515507073,67933.0
-137478.60633121344,6716.0
-61544.19048999506,84249.0
-110147.97297678277,31575.0
-95331.82030919104,47641.0
-84589.20987617582,59232.0
Objective Value, Total Weight
-57361.88245940991,82799.0
-4635.960842311819,157387.0
-67031.0326884645,72529.0
-21778.187105255114,132089.0
-47656.10188668463,95008.0
-1540.9988380509021,161889.0
4232.930797282781,177767.0
-80285.77223905432,59169.0
-35807.11602406131,109588.0
-50731.54391702684,90300.0
-103249.37380379034,38511.0
-41982.22657080769,101256.0
-74186.92341662224,65442.0
-15533.58383059525,140634.0
-94789.51685548874,48561.0
-61489.21616155459,77742.0
-116958.42860262303,25645.0
-28856.063574405736,118775.0
-107883.17424113612,33743.0
-124276.30187938295,19755.0
Objective Value, Total Weight
-35467.843592989986,119714.0
-106988.55951625077,34791.0
-71437.39960524146,72339.0
-9774.366083081317,147425.0
-119944.29256872146,22537.0
-60972.092683811905,84461.0
-75722.83597273004,67232.0
-94593.92253235183,46722.0
-79221.17501953765,63692.0
-111888.76690023011,30352.0
-28709.57466059213,132368.0
-17450.45610360999,138091.0
-48955.41882378611,99758.0
-65998.92360168151,78803.0
-129562.75626184972,14060.0
-56070.82406527264,91104.0
-101355.90135308396,40055.0
-41748.71158161908,108326.0
-86326.81003723221,55225.0
-135816.54925097953,8191.0
