Objective Value, Total Weight
21182.562560215418,152430.0
59744.86859910592,216907.0
51565.27596855193,191956.0
48458.27236413234,187005.0
46350.372471145325,183211.0
58782.9451202566,208075.0
23871.660068268742,154570.0
28470.481521326496,159932.0
53907.53957487343,196085.0
31527.47741005046,163894.0
34613.33028045617,167789.0
56870.03893480287,201703.0
18733.82429555981,149684.0
45646.91796473059,182186.0
26361.032842604152,157016.0
41804.595609670534,176813.0
43242.0164120057,178662.0
50455.489167324995,189477.0
39713.82284601469,174193.0
36974.6171831011,170740.0
Objective Value, Total Weight
59650.27300842726,208706.0
58650.431006368744,206297.0
55069.929534134106,198258.0
43875.64054397025,179078.0
53913.07480413391,195342.0
46107.590771259594,182845.0
61473.917757505114,214622.0
51855.65411613564,191809.0
57859.88617342655,203704.0
31097.91547373854,163557.0
32710.414133029582,164876.0
49793.839083377185,189034.0
47064.61156991127,184469.0
26490.11037391654,158797.0
56488.433812841045,200070.0
39017.995303368545,173591.0
37274.33330733905,171212.0
47901.55909560615,185851.0
35053.09025893311,168435.0
41214.20827188797,176182.0
Objective Value, Total Weight
31542.127098813246,163356.0
26880.608545105584,157760.0
29290.382747349417,160768.0
58203.56783722155,206979.0
52185.3423117926,192577.0
24787.161479328643,155060.0
55955.079358614865,200677.0
40963.499975334824,175077.0
35532.18133219011,167554.0
48110.59999189264,185730.0
54218.651524979214,196625.0
37733.12663994788,170935.0
33181.376535822405,165460.0
43626.24201335691,179504.0
19173.87761312659,149290.0
21116.018391186168,151195.0
42030.67070557934,176493.0
50188.13400563368,189203.0
13373.669530099578,144667.0
45409.11312072858,181938.0
Objective Value, Total Weight
60130.89748982017,213459.0
36783.95039296328,169738.0
51183.606321557076,190762.0
34879.944636900385,167823.0
59150.452714939136,208004.0
48901.967900212214,186944.0
56893.59071421818,202144.0
54070.54761418243,195536.0
31348.073739237385,163094.0
46128.00032845227,182544.0
52631.75240488612,193361.0
21360.557425795705,151857.0
55480.43302645732,199042.0
32828.12813311725,164432.0
43592.93457530718,178817.0
41779.643476157624,176412.0
25353.896607331873,155967.0
18568.079470245546,149111.0
28995.43753605199,160112.0
40274.68131828468,174400.0
Objective Value, Total Weight
50000.689342577156,188621.0
41578.295765343384,175805.0
55171.07834869658,197836.0
32134.187115119945,164070.0
53872.954378992494,195025.0
36666.38785044622,169820.0
56914.6532258323,201809.0
30321.643372536375,162145.0
33783.97756027241,165810.0
23724.568164858007,154937.0
60711.630979218666,212632.0
27977.832904774754,159646.0
48430.01871395568,185839.0
18347.0170516792,149758.0
39425.86807841121,172997.0
44490.70373018118,180010.0
42669.1998047331,177482.0
45755.89422713284,181414.0
52299.92358151087,192353.0
58319.647066532605,204902.0
Objective Value, Total Weight
50777.71396697566,189620.0
58355.063548583596,204219.0
48592.26097777998,186485.0
54469.67945389883,196542.0
46432.045435166976,182928.0
56042.42356807858,199707.0
35163.13073683684,167607.0
49083.751137074956,187071.0
51548.61138967643,190939.0
36259.90567066072,169079.0
57253.79273341561,201511.0
33726.55314417035,165895.0
39573.9763109943,172220.0
40904.35486194995,174706.0
52901.60527130382,193287.0
44850.25185136477,180908.0
27210.17738850534,158651.0
23414.933902068005,154424.0
42841.7478810155,177856.0
30888.942159172555,162531.0
Objective Value, Total Weight
46899.539532760944,183556.0
30133.028425353346,161492.0
48238.303630913055,186868.0
51326.7175323315,191881.0
28909.251220837206,159252.0
59490.106860015396,208691.0
38438.36252756347,172101.0
26063.311938177474,157130.0
36828.37054331336,169468.0
49700.336360105575,188918.0
56279.203744012804,200224.0
55111.56631006228,198463.0
34745.81686001117,166916.0
52641.51215220205,194054.0
43470.64050931478,179014.0
32331.59157218205,164384.0
39896.83686836553,173464.0
58563.73076635873,205315.0
42118.408335323795,177172.0
45324.04673251559,181570.0
Objective Value, Total Weight
53939.52620171636,196724.0
24368.075800946564,156173.0
34846.50855494873,167905.0
47301.14959697213,185308.0
36059.36590373359,169243.0
20158.746517872787,153304.0
55670.545560359256,198878.0
57411.83404191237,202282.0
42031.50245950429,177564.0
37755.08292434341,171669.0
45266.71555493027,181821.0
29130.831463888084,161227.0
27708.360204165627,159843.0
32139.740596950112,164623.0
43562.08290470447,179765.0
40453.98511889245,175077.0
53384.57235749744,195344.0
49382.57498627968,188546.0
25204.6240984413,157449.0
51468.01539912814,191793.0
Objective Value, Total Weight
28806.000684817554,160521.0
40505.93207400496,175037.0
41296.262822273566,176211.0
58635.4125296775,212880.0
51181.52229174477,191662.0
30897.753734906408,162671.0
56977.49785069676,203544.0
34123.894085306674,166796.0
38080.90279712566,171970.0
18691.393165436282,149899.0
45793.95469972669,182464.0
53353.323297272844,194651.0
24271.689792762918,155150.0
43785.12366045124,179679.0
55232.3982043291,198716.0
47210.17497873813,184677.0
32622.27214531746,164787.0
49851.82562185355,188783.0
25966.60649418464,157283.0
35800.70434179643,168847.0
Objective Value, Total Weight
61056.1604813844,218570.0
28563.49620353125,160580.0
58280.09706360544,205573.0
55484.51686332372,198802.0
60577.90849079157,212162.0
38733.39629545604,172232.0
32963.6633222845,165342.0
30736.959632019192,162423.0
42116.53092489595,176933.0
49412.41971477054,187411.0
45778.51006345835,181989.0
40442.95120564374,174801.0
53469.223400963005,194645.0
35147.549483417184,167962.0
50845.548048353696,190277.0
25189.38081152059,156265.0
52212.04070676278,192289.0
44524.249034125445,180237.0
47762.59079192832,184784.0
57063.022512581374,202199.0
