Objective Value, Total Weight
56789.00848621281,231812.0
-97463.76556218928,45368.0
27811.359706527262,190007.0
38763.523870803765,207659.0
-75781.20109770121,69786.0
-68630.5087787793,80255.0
-12306.612711150665,150319.0
-85517.62209619177,57111.0
-24961.706645288097,145818.0
-57193.682735960785,91754.0
13007.607835379313,186192.0
-29383.811233121145,129294.0
46482.56308657283,214144.0
49480.12567458709,220190.0
-61457.253903110104,89846.0
3918.3542291770864,170051.0
-41651.41155659882,114497.0
-49449.14589662032,104338.0
-27348.08593252627,139205.0
55503.861870413646,228694.0
Objective Value, Total Weight
55952.918793969584,227324.0
-94128.1488963938,52842.0
-51053.91739664489,106243.0
8505.471402716677,172727.0
38645.955556554254,193749.0
-60019.22458917022,95259.0
-22906.947155599104,142662.0
-37724.73655817847,124174.0
-27842.421320462483,133648.0
22607.202507009875,190310.0
-87319.70078732687,62202.0
17719.6339641432,187425.0
1691.6773965308093,160377.0
-67282.12066856193,85241.0
-12966.66627265609,153420.0
44016.82350777532,205981.0
-82660.56492255165,65865.0
-36828.514575303125,124784.0
53670.85623234062,218425.0
48291.436235980684,212471.0
Objective Value, Total Weight
-94209.37717249242,49965.0
56759.97564465934,232570.0
44280.7302895601,216542.0
8710.787947390898,179881.0
12884.142655207863,190435.0
-27032.73278070957,129750.0
-17383.28354827006,147946.0
22009.357965786563,198776.0
35571.553033906355,203261.0
-68378.12139772275,81595.0
-10641.797492428916,160285.0
-44596.22186727167,112302.0
-51531.25483125745,97666.0
-75708.99568644614,71267.0
-3585.706837943755,172346.0
-2667.1825545534957,173708.0
-88212.17771274093,56497.0
29910.514640985493,202447.0
-33615.94633325678,119104.0
-61021.29969645495,89588.0
Objective Value, Total Weight
56541.86946183481,231845.0
-94511.11693305944,47829.0
46263.16380934266,213269.0
21674.4157779144,194446.0
13368.350551584648,179063.0
-82773.35505256569,62583.0
-721.0207749883994,175380.0
48850.29319043958,218350.0
-32895.80114314123,118388.0
-56964.69245528878,92524.0
-44018.60665844468,110071.0
-63073.913166725455,84623.0
-26655.608084141044,128422.0
-53298.98048404817,100475.0
-20841.448031651496,136755.0
19262.2158645209,189466.0
-13119.613110223116,149901.0
-48142.008065524395,104948.0
-4960.442894318287,167806.0
-72835.60450445238,74711.0
Objective Value, Total Weight
56672.28442431145,231030.0
-94309.22558454037,50743.0
-79129.56323332223,67732.0
15901.056413289567,183745.0
-64066.694333919004,86599.0
-52921.2985182321,100131.0
-71558.14981902059,75656.0
-36671.683016175084,121413.0
-18183.896125647036,147682.0
31790.140457136295,195682.0
-27250.349075604405,135141.0
40563.57479387379,203603.0
43316.67760664743,209479.0
4625.919625796145,179873.0
51870.35413552125,216647.0
-8508.088178825827,153860.0
32474.35257099173,195778.0
-3238.526153372368,161536.0
51755.90873880568,214746.0
-47774.061537671834,104427.0
Objective Value, Total Weight
-91805.71450228413,50200.0
55538.60579515374,227643.0
39300.13155034979,210901.0
-38704.27187914835,109670.0
35225.5082548683,191566.0
54481.86500467127,226850.0
-52147.28317209426,97550.0
-621.3627681254875,165832.0
26081.291919001756,182355.0
10259.604120782431,178171.0
-62252.89244071022,83811.0
-75917.24210945456,69024.0
-11593.92078357152,160928.0
-29479.925930989848,124108.0
-19586.537787255977,146294.0
5967.800667484262,170365.0
29695.357592558168,182616.0
-20243.806986076874,137618.0
-58111.62404394211,91011.0
-68981.53986667568,77167.0
Objective Value, Total Weight
56860.068827086245,228078.0
-92273.39336995324,49709.0
-50029.70577479698,100080.0
-32515.265683266567,120445.0
-57376.09702849123,91136.0
50326.64081573649,219979.0
4238.933971351769,173510.0
20722.860126696673,183537.0
6370.606005277572,181485.0
-86573.71303879438,56666.0
-6609.074102680053,164667.0
34116.779817826726,192650.0
23560.784919338737,191645.0
39911.75074725019,198327.0
-27979.63693206472,130775.0
43643.223697347654,210561.0
-41327.83705518933,109725.0
-11523.673399919498,158102.0
-41042.95249838641,110874.0
-15220.412991297111,149050.0
Objective Value, Total Weight
56312.61124829651,229423.0
-96195.27758713733,48962.0
-66319.64287420979,82330.0
-83211.91693953547,62861.0
31002.090512512455,207490.0
18767.718857482163,194463.0
43538.7221416157,214896.0
-59177.32374653802,91549.0
-48318.29035275773,103032.0
2574.9969123067567,177659.0
52170.1097475694,225811.0
1808.1149930998508,160040.0
-28371.856449265295,131109.0
-7090.978100033564,149958.0
-10486.637808675645,143342.0
-17223.185394996282,134109.0
-35722.1622475528,119884.0
8006.774261441198,187570.0
-89354.96966131873,55917.0
-15724.135246114281,137951.0
Objective Value, Total Weight
-91761.03800742369,52491.0
56966.23586132814,228344.0
-27892.55012891887,133651.0
-12889.901082644385,152444.0
-4188.347287516837,163361.0
49584.910098342545,211715.0
24356.15632152697,191631.0
40444.4633779609,203640.0
-72839.34880322989,75582.0
37913.5495117938,192660.0
-37192.54570852636,117266.0
5448.527710227267,176072.0
-65530.83703670066,84311.0
