Objective Value, Total Weight
-95717.49620755183,41957.0
54860.47744893018,223307.0
54860.47744893018,223307.0
-95717.49620755183,41957.0
7277.677134138939,144116.0
49255.62275792367,204493.0
18876.33494303713,159782.0
-7990.088513141294,126100.0
-32953.787297068164,99408.0
-32953.787297068164,99408.0
-75013.74092179796,63137.0
34286.128306954924,178519.0
-64074.09662727974,72009.0
41220.58548772294,187845.0
-12383.118714615033,120858.0
-80209.49382751074,57665.0
-12383.118714615033,120858.0
28606.701525692566,168204.0
-90067.89209323499,48183.0
-45735.43806746177,87100.0
Objective Value, Total Weight
-86831.43332447813,55747.0
55063.164375600405,225199.0
55063.164375600405,225199.0
-86831.43332447813,55747.0
51639.88502352286,213921.0
-45467.522559765726,93677.0
-20780.278434067004,118399.0
-66277.70638452686,76744.0
28141.193424995232,172360.0
-84557.88523874542,57970.0
21542.695603700704,162991.0
-34228.042318665335,106094.0
-73595.57385121481,69146.0
14494.892215650441,155161.0
-34228.042318665335,106094.0
42267.567339280155,192299.0
-50011.93418491547,89480.0
33095.11560549479,178900.0
-516.9662325700046,139719.0
-17619.963598864182,121135.0
Objective Value, Total Weight
-86213.47767426597,51792.0
54682.751017793984,226749.0
-86213.47767426597,51792.0
54682.751017793984,226749.0
41958.581511485536,190387.0
-1140.6974139897793,143834.0
27741.33157250643,169562.0
14966.269922188163,153451.0
-58981.95153472293,78004.0
27741.33157250643,169562.0
-48202.726796421484,90481.0
-74762.5169466334,63284.0
53970.78220137034,223317.0
-37446.769272558886,96507.0
47734.45243871739,203821.0
-27078.58723228838,106820.0
-19593.688867835386,115107.0
14966.269922188163,153451.0
-34657.38929746451,105024.0
-15818.938532261032,126218.0
Objective Value, Total Weight
49039.1988903108,222195.0
-94706.5005409698,45262.0
49039.1988903108,222195.0
-13810.06318291885,121861.0
-63316.71973126082,73311.0
15473.914227373956,157500.0
1389.7690120295156,139027.0
533.7489328461525,137938.0
-48348.56422854433,87358.0
36283.07000598544,187974.0
-55806.82600935365,80236.0
40714.17382590426,194267.0
28817.580895257153,175934.0
-75989.57128812108,62279.0
-40726.33056957758,96599.0
45745.78833330775,208189.0
-18204.157322675164,116982.0
-24309.730987211893,110351.0
-37937.92505607064,99581.0
-86137.43746171248,53999.0
Objective Value, Total Weight
53716.126723728055,220139.0
-88821.53478754379,50136.0
-88821.53478754379,50136.0
53716.126723728055,220139.0
24066.95321997133,166098.0
3931.9281450000417,141381.0
-41953.76829638571,93364.0
31935.819056432898,174885.0
-55142.13118929375,80132.0
-79720.46189513028,58784.0
-73215.70419347275,64826.0
-29958.117761974252,104534.0
-65190.489172943286,73152.0
-19692.27016949284,113975.0
-19692.27016949284,113975.0
-59896.21497309554,78532.0
52389.24452109728,216849.0
-25027.316145846824,108547.0
44073.36081267972,197140.0
38224.939771741076,186224.0
Objective Value, Total Weight
-93201.30578512972,45788.0
53776.867454687424,223861.0
-93201.30578512972,45788.0
53776.867454687424,223861.0
-42153.12930871238,95985.0
46264.468587565876,201078.0
-27825.848061074823,112413.0
-51194.81510486445,85701.0
27940.20697566477,171997.0
48931.83174365762,207249.0
14745.709236974333,153934.0
3751.31679904458,140918.0
-26598.18725934674,113915.0
14378.837289391318,153501.0
-14374.343898631923,122913.0
-66961.11279406527,68669.0
-81802.51867787167,58203.0
27940.20697566477,171997.0
-4676.903599403973,131728.0
2864.8116786332102,139886.0
Objective Value, Total Weight
55451.81369138186,227295.0
-87977.62454338153,51717.0
55451.81369138186,227295.0
21627.760851294966,160753.0
50955.195142507524,207095.0
5873.5605929376325,150497.0
-2135.4914462097513,133824.0
43578.52755052911,192923.0
-46403.96657038503,90337.0
38170.55535297148,183886.0
38170.55535297148,183886.0
-33946.70417928527,100538.0
-57209.476848838385,79962.0
-13959.766196024982,121503.0
-48307.521104429616,87416.0
-59960.05201364227,76218.0
-79888.7765107823,61060.0
-22588.287540832796,114335.0
-23378.057970461872,111568.0
17513.906073192687,155837.0
Objective Value, Total Weight
-87600.92236288096,51408.0
56305.766914306005,227281.0
56305.766914306005,227281.0
-87600.92236288096,51408.0
35010.49487235237,178576.0
50919.93429491561,212481.0
5159.483515150205,140934.0
-12679.402867377677,123528.0
26916.929692136095,167838.0
-40511.56369332687,96171.0
-77864.63075362801,61905.0
-74030.97362491683,65763.0
-64834.255561855825,72621.0
-16583.052508202614,118418.0
11487.89762609906,149194.0
-51618.9810581131,83861.0
56083.55313138681,225340.0
-44968.02994019503,90563.0
-22158.958598120167,113585.0
-25290.78106396229,110455.0
Objective Value, Total Weight
-88182.16159322357,50734.0
55825.95002363247,224649.0
-88182.16159322357,50734.0
55825.95002363247,224649.0
22523.17766828902,161596.0
-65881.6229916818,70531.0
-56692.81575473255,79984.0
49564.390616869,207269.0
31908.689013576164,178059.0
41695.102354587434,187981.0
9535.77449041931,148985.0
-814.0262349422555,136888.0
-3381.986597778072,133857.0
8972.709057643864,148013.0
-31311.78891275014,105807.0
-39530.634887710854,96856.0
-10792.699287133233,124120.0
35709.74199049431,179242.0
-11632.253844969906,123475.0
-20014.326669611095,115680.0
Objective Value, Total Weight
-89294.34197259063,47745.0
56688.57929465128,225929.0
-89294.34197259063,47745.0
-69059.29033900955,68829.0
9622.467417150503,145258.0
21833.801234178944,161458.0
40558.99280438441,186874.0
-14531.581517711747,117908.0
32548.11830138616,173672.0
53703.615091482556,213208.0
-43078.89358537909,90394.0
29802.47761344569,169926.0
-55689.60683721249,81232.0
-43078.89358537909,90394.0
47666.198207396345,198046.0
-30243.85410511552,102063.0
-55708.59860428501,80599.0
-27741.341801480303,106138.0
-533.1875378188561,134969.0
-63116.23993920264,71633.0
