Objective Value, Total Weight
11196.222729479137,158585.0
6700.485078141763,153243.0
35627.617217523715,194997.0
23645.512192363152,175209.0
-19558.28092335959,129361.0
-3271.596779403102,146798.0
48606.215977846936,223922.0
31295.965295767935,187545.0
2447.7683557291457,148275.0
30869.562211044802,180587.0
-14521.483737222763,134377.0
-5441.650494134286,141000.0
47734.89001488307,209913.0
19507.162349896447,167941.0
16878.695289632684,163182.0
42315.30134832507,197043.0
-30090.991705068736,117009.0
-23554.83561225611,120140.0
-6522.367257369682,135029.0
-35996.00126262283,109436.0
Objective Value, Total Weight
-25234.449369040318,118216.0
5017.2992675260175,153723.0
-6466.934580862522,139262.0
-10461.494652931608,132520.0
-17114.263493414066,127660.0
10830.720872710517,157851.0
-2363.9564474825165,142565.0
3015.2605430908734,146858.0
26016.76454663652,176792.0
21195.517417510564,170318.0
28379.636674976762,184687.0
16808.97281336671,163872.0
-35727.89906822328,105845.0
38356.43014282163,194241.0
43327.36902965122,204438.0
-28919.682531002763,113813.0
45924.727355682786,213606.0
35155.75861346419,186012.0
-43669.648668395326,97875.0
49289.79649414,222093.0
Objective Value, Total Weight
27102.510406745685,181727.0
-31203.046769834065,111185.0
21292.503892600507,175183.0
5900.628144262359,148990.0
9787.679299523443,157910.0
-7823.836059065565,138567.0
41946.014171728515,208172.0
1079.7732808132423,144620.0
-10459.274636898801,133012.0
14511.21916056567,162498.0
33898.71186986152,191725.0
-27771.424669739645,119188.0
20899.80182696518,169449.0
-16186.502959716803,126664.0
-1391.918169425684,138999.0
37482.75992358438,197897.0
-19767.339725451224,119827.0
-40325.85679038268,105875.0
31732.299532756995,185831.0
46669.51106537369,212997.0
Objective Value, Total Weight
-22006.163458645722,127334.0
25267.84258563738,181292.0
-12361.546265856829,135176.0
-5821.857976501808,139283.0
21511.100597337965,175257.0
-30890.141025833116,114963.0
-15791.373225921736,128617.0
17033.549167867284,170085.0
2036.83056051124,150404.0
-25227.173540682008,121196.0
-37269.8899493372,110661.0
-447.24689386590035,142576.0
8787.0260083834,155399.0
14730.981557329185,161473.0
43495.420734059386,208300.0
33734.88258680704,189682.0
38905.876276127965,196242.0
-40078.2548139109,104913.0
-47245.51175090094,97711.0
47431.608078955294,221440.0
Objective Value, Total Weight
15208.107338956237,163739.0
29785.93025391351,183286.0
12882.312059407646,158968.0
-21078.318592940836,121678.0
-20689.08285143011,127938.0
33803.41713143594,189927.0
-39699.534184533666,106661.0
1717.9834301773517,148444.0
24040.059204118705,176780.0
6210.263908733788,154554.0
40707.980547557236,197977.0
-1167.7222052916186,141367.0
-26851.710214358376,116323.0
-32141.226745905733,110122.0
21996.779451417737,168175.0
-13810.98093696058,128853.0
-8038.341374154697,135126.0
-43679.22789004329,100490.0
