Objective Value, Total Weight
3395.628730813216,138851.0
24344.590919010894,163103.0
1739.3901631949411,135219.0
28496.19921278025,167719.0
5978.62108558492,142075.0
-3346.632536082354,130075.0
-10593.691998348484,122142.0
18973.530162461335,155892.0
13886.036461786862,148818.0
22917.18708153692,159377.0
37219.40732762954,182770.0
17836.7344288076,152390.0
11117.047300477221,144958.0
34747.62656052929,176459.0
-7391.129083976441,125762.0
31708.96658819515,172733.0
40998.595186895924,187157.0
-14390.322212437546,118636.0
-18497.57668736967,114650.0
45444.58337336738,196851.0
Objective Value, Total Weight
10203.096204854344,149861.0
-2211.170293130388,134234.0
12783.317578736081,153489.0
2787.036381181766,140320.0
4973.528709746344,144840.0
24989.223823060544,171131.0
8265.595443721075,146948.0
37410.953764584265,192996.0
-921.2548344990064,137487.0
18355.744922144688,159871.0
32366.977400178206,181110.0
-11593.778382786346,124190.0
-6627.198719051608,129363.0
28972.488024297636,175247.0
21344.823178868042,164729.0
-15521.082218581287,120930.0
15496.98743265873,155700.0
35824.550045470736,187968.0
-19586.133135490527,116831.0
-23813.2325543756,112837.0
Objective Value, Total Weight
14925.759046404506,148665.0
29257.861881320452,167278.0
41747.82575525623,185804.0
20016.2003585856,154433.0
22254.49438572314,157021.0
39756.551479140006,180936.0
36301.5387363499,174771.0
24839.396016759478,159468.0
27231.05385055687,162565.0
38420.194921138,177575.0
33418.80587797737,171551.0
48889.82796966165,197571.0
32056.81611774981,168826.0
45687.28457074039,190874.0
44151.429838638665,187780.0
16682.53589142568,150169.0
47511.492125775025,194434.0
13797.24417619119,146896.0
49881.103573941306,200887.0
10341.201392449293,143561.0
Objective Value, Total Weight
718.3251749959309,138378.0
6939.249345306191,143159.0
15554.627370572562,157115.0
35177.9514454726,182232.0
-1297.607681446214,135607.0
-4846.056665204262,131279.0
10863.343558976718,148189.0
20989.771217859146,161226.0
28925.290546039672,172302.0
38321.78016000363,186926.0
32219.302479805425,176635.0
-11802.88125961076,124034.0
13097.713237849675,152176.0
25683.89276942832,167692.0
40399.4652774086,191157.0
-16176.728322380746,120226.0
-7784.841477864393,128409.0
-20171.25641122565,116134.0
-24559.82159738557,111574.0
42269.58472795418,196349.0
Objective Value, Total Weight
19354.070349529706,156490.0
-5461.663756224822,128952.0
12196.627759611933,151239.0
23983.6659602015,162669.0
37640.21521971506,183849.0
-2762.795835769648,131708.0
35922.54240980759,179361.0
-15719.393405290757,118894.0
5607.489078046521,140519.0
9741.527455680567,146237.0
32827.8750451208,175561.0
-8750.870836329326,125592.0
1296.935197302635,136051.0
15542.205834905297,151334.0
-13517.56402354766,121364.0
30046.591949626192,171644.0
26372.130901908327,166224.0
22349.238851705944,159629.0
39143.32879101805,188215.0
-18293.144134066708,116308.0
Objective Value, Total Weight
17464.184483225894,153932.0
24558.250444139994,163127.0
11654.280787028372,147443.0
37466.55926293883,181669.0
14828.963698079519,150933.0
-7785.369633758382,127008.0
3733.8523199280316,138180.0
30132.774092345324,170993.0
6605.397802629363,141564.0
35361.90431911487,178379.0
31954.46214840989,175324.0
9373.707802996389,144293.0
21289.856373838556,159613.0
-1098.7813373841345,132954.0
27549.739388578862,167723.0
39937.14957724276,185696.0
-4747.815810689877,129908.0
41639.41805674901,189291.0
42570.935228464456,192891.0
-11325.368298628746,123405.0
Objective Value, Total Weight
11486.894793286716,150788.0
16380.465418757987,156143.0
-13277.585125505255,123548.0
25322.205251586594,168238.0
14397.948587014602,153226.0
-1770.7995127424365,136133.0
30046.072303471243,175636.0
-10313.842817574332,126420.0
20513.791200711275,161711.0
23345.34180587475,164726.0
7584.744673080451,146046.0
-5944.059110676724,131675.0
27609.293523621804,171292.0
4975.46524567969,143347.0
18688.37767737225,158962.0
2827.811510513042,139841.0
32403.59072862097,179799.0
-15440.548386457493,121155.0
33513.647196618054,182937.0
-21965.97973834141,114632.0
Objective Value, Total Weight
21779.32601763276,166323.0
20605.294404154934,163102.0
17321.37295476941,159886.0
5768.662374439213,145838.0
-1894.8917532615596,136644.0
31674.78666349119,180181.0
13672.6168000045,153275.0
33115.470133214665,185680.0
-5169.229419900163,132309.0
28288.966903620894,175057.0
15606.266954975814,157315.0
26416.776203399,169843.0
10442.342269291577,149698.0
-12693.035356815904,125025.0
2816.886616752774,141666.0
-8521.861201942549,129221.0
37320.66261801752,190942.0
-17392.048922890914,121207.0
38843.116538549715,195622.0
-21202.909456289373,117363.0
Objective Value, Total Weight
35494.23324394645,179625.0
18886.474561659794,158969.0
11414.76523278089,148251.0
9559.702599622717,145737.0
39360.04520476723,185114.0
4916.635266146099,140841.0
41360.09197344692,190501.0
43939.25500533107,194499.0
30824.62310266125,172578.0
35215.70316789791,176373.0
7355.238587878266,143690.0
18650.28374898879,155247.0
22846.39008477368,160150.0
-2209.6363043325255,133237.0
45553.606854058715,198149.0
2148.1995968644333,137161.0
27828.934945565212,166833.0
15403.111366965953,151496.0
47080.734171931836,204091.0
-6100.576405018277,129893.0
Objective Value, Total Weight
9965.533148540359,147908.0
30935.062490807642,174204.0
2948.103792828857,139394.0
13284.346080538671,151194.0
5473.980979769025,141704.0
22368.879289903445,162121.0
20244.155083160702,159384.0
7491.053090796253,144417.0
34691.11924036071,180591.0
28059.50231876594,170125.0
32667.17359768148,177677.0
-535.1345780240663,135854.0
-5733.47300665651,130563.0
24785.087666343927,165935.0
17447.831281997,155825.0
38511.31747606202,188353.0
39998.71518663276,192657.0
36356.3553532208,183556.0
-2758.051641785016,133368.0
-9225.80387110819,127242.0
