Objective Value, Total Weight
51330.53532557853,276872.0
27858.761397133057,240106.0
55755.08452078729,286221.0
25352.261439459864,237362.0
48131.41819919436,271193.0
37974.71652158938,254711.0
49492.61517694197,273632.0
32757.803995269875,247454.0
36752.3901230793,253026.0
53300.97044683166,281778.0
39456.67890917562,256965.0
45851.26593250001,267098.0
43890.09904809855,263858.0
42164.679406904615,261147.0
31023.415578094136,244981.0
34849.089253692364,250175.0
40949.38293434499,259135.0
28742.20260713756,241556.0
21165.30586953368,232583.0
15513.343108465313,227670.0
Objective Value, Total Weight
24875.391650846228,234806.0
18138.83891466132,226298.0
39458.109819536214,255288.0
45850.7398310579,265764.0
44835.76852932264,264002.0
48361.04881972715,270546.0
52194.680198977236,277952.0
42459.75648688397,260036.0
33501.562616318,246445.0
41102.23057314358,257852.0
53911.275887339725,281957.0
29337.444870451523,240937.0
21596.89537980972,230519.0
49749.788488704246,272891.0
35723.44331359939,249523.0
37414.763636720076,252087.0
31444.07292009727,243709.0
26639.59806249768,237166.0
15432.36385793559,223517.0
12471.644942896906,219738.0
Objective Value, Total Weight
34217.77287770051,249163.0
48143.99168419308,271869.0
37484.41712881788,253908.0
51923.244659594144,279008.0
29561.590918539034,242511.0
33082.57158589864,247441.0
41920.25597927999,261055.0
18619.94057735399,228374.0
39424.52772290516,256955.0
40905.93272148876,259517.0
20064.724366456096,230329.0
44512.10511133552,265566.0
30582.54980607523,243984.0
27361.15938046394,239657.0
25423.793172857957,237112.0
45810.4518448966,267769.0
22893.684785279387,234022.0
36139.36459143128,251869.0
50089.77024195675,275579.0
13483.982769369788,223310.0
Objective Value, Total Weight
12704.396134055802,218671.0
44709.751084297954,264801.0
39038.364168273925,255012.0
32309.73818569485,244796.0
33929.350601776736,247130.0
35504.56217709597,249536.0
41168.15325462149,258535.0
16044.5187379017,223021.0
26903.329934759066,237224.0
28312.90060092247,239179.0
17447.63749794668,224865.0
43566.85394449544,262957.0
29982.25317996199,241492.0
20284.676893836237,228403.0
37450.95903304039,252467.0
22152.527844211436,230878.0
7540.866694431141,213490.0
24997.595957284328,234642.0
11490.913809160294,217201.0
1503.598410081613,208486.0
Objective Value, Total Weight
39149.56320452446,256801.0
50119.7682274846,276039.0
56330.615107120946,293849.0
31844.073697019892,245911.0
52857.96883509704,281742.0
51654.28261853679,279092.0
20060.274383092008,229955.0
43157.19462754362,263452.0
46968.92574389855,269915.0
36179.352311415074,252135.0
34967.579920114134,250291.0
30240.670531009848,243524.0
45050.35190457577,266675.0
40798.13919177611,259274.0
25639.463737856306,237249.0
22738.14716289501,233448.0
17744.280328157998,227101.0
27774.013177755114,240067.0
14700.098246280628,223151.0
8034.31683536683,215207.0
Objective Value, Total Weight
41467.23342227138,258121.0
40167.70873328182,256282.0
23520.084567543643,233346.0
50972.93257568189,276786.0
49698.991885789146,274130.0
33938.92537618341,246921.0
47756.64831293753,268909.0
44560.44619178458,263297.0
35367.34112229635,249048.0
30460.22274418664,242125.0
45799.52058606077,265331.0
38614.787010598055,253876.0
20664.82765116176,230084.0
42747.18057251297,260309.0
36895.38261326542,251198.0
26753.688080474676,237055.0
28462.849687174836,239314.0
32063.57537947339,244405.0
24387.625281095738,234136.0
18025.521923501685,226868.0
Objective Value, Total Weight
40391.88194137451,257312.0
48169.3314185029,270872.0
23206.13241908123,232784.0
21381.254242922412,230504.0
32616.63481207221,245434.0
34389.23598001822,248011.0
28719.486896262388,240036.0
51645.25127526419,277730.0
43970.560287313536,263240.0
26220.849229957792,236790.0
45813.65923357068,266446.0
36714.641923993244,251493.0
30303.394958560704,242298.0
41896.480250937166,259802.0
17128.70974798134,225079.0
38543.8583813727,254348.0
19479.067496791133,227982.0
11551.07148798497,218582.0
13732.692844792618,221118.0
7160.366463533981,213709.0
Objective Value, Total Weight
30240.63880524086,242607.0
21081.883324492374,230254.0
40799.95883358008,258739.0
23501.95256614173,233282.0
31498.653771838057,244378.0
32743.42004548642,246222.0
41913.870101950946,260812.0
26315.988164164417,237174.0
37049.95067395159,252822.0
33986.36127402994,248123.0
43171.39846504218,263632.0
44826.47859845287,266530.0
35675.44114765513,250630.0
38889.17790839996,255857.0
24719.60702703154,235038.0
16078.515581325511,224137.0
28250.386941221135,239890.0
19115.889329562022,227981.0
14612.76687044825,222243.0
7663.24872761406,218753.0
Objective Value, Total Weight
38953.438903392176,255401.0
34055.41915184684,247796.0
49670.98554921907,274314.0
36949.332085923,252230.0
51136.063113477605,277717.0
29321.872708365787,241224.0
11542.910485647735,218511.0
43914.06227357383,263573.0
40985.93584495067,259006.0
47344.77524541039,269910.0
22431.381653869,231920.0
27133.980502368708,238217.0
17179.978994189063,225402.0
14125.985391364258,221577.0
31581.940527220373,244352.0
7528.1192876581335,214710.0
45597.00057313923,266751.0
24897.38317909278,235198.0
19413.65049496747,228149.0
2908.306236114906,210540.0
Objective Value, Total Weight
50405.90255422011,276565.0
45746.74158157379,267415.0
35299.986619835196,251029.0
52914.99290641281,281705.0
48992.97519878269,273729.0
33068.92857893539,248032.0
40217.820676945266,258215.0
51398.03591821797,278850.0
38443.37879820663,255663.0
41523.12224113953,260254.0
42778.89747614163,262306.0
24645.099469977024,237391.0
29708.529141379346,243351.0
37109.19671455171,253624.0
44251.521649551054,264763.0
21726.977945971594,233108.0
31127.872432710486,245271.0
47020.02601528197,269713.0
27177.22298684664,240245.0
17199.366871774488,227737.0
