Objective Value, Total Weight
37965.96504445159,252336.0
29633.462156271387,240576.0
31649.20152582758,243507.0
54357.04248961399,280729.0
33580.49277683947,245961.0
47386.2779190726,267669.0
49280.90572331264,271068.0
41542.89969002252,257823.0
27295.441074039612,238316.0
55461.32420160569,283497.0
40219.16460227908,255784.0
36019.64392817201,249405.0
43648.49508531095,261239.0
51304.59142454609,274772.0
45259.665528187936,263965.0
26188.521798240952,236285.0
52297.68461965071,276681.0
21348.808595545474,230604.0
24214.89212558116,233916.0
18768.095348163333,227377.0
Objective Value, Total Weight
39965.596664546,255824.0
48134.23324568005,270583.0
32508.597775814997,244537.0
43515.81762804062,261764.0
46192.01634195616,266965.0
30396.365093307802,241402.0
36114.402216337854,249682.0
34405.99059924646,247095.0
28364.818947485823,238471.0
49755.596516265534,273757.0
18553.523170661705,225500.0
38044.82446302887,252877.0
25024.09881699574,233816.0
16363.480972906866,222691.0
10562.824370345304,215500.0
13525.32164511137,219215.0
22870.063213377318,230923.0
7501.808130984369,211622.0
20539.871227317548,227920.0
2664.702381112118,206288.0
Objective Value, Total Weight
33647.82421517192,249267.0
30169.67552117299,243004.0
-3576.7337945992476,199903.0
27372.503225422464,238718.0
3042.469564399973,206931.0
17109.027694001445,224418.0
11798.302964903152,217739.0
31821.029198183212,245419.0
3546.7898255191976,207654.0
14945.20630297612,221602.0
25061.047691401618,235261.0
22986.122926199925,232330.0
36582.05032687128,253859.0
194.53559918433893,203359.0
21429.718723244907,230117.0
19355.3035826548,227306.0
9689.780643455655,215018.0
7621.221932465007,212514.0
-7860.111297288298,195062.0
-11243.412050226441,191500.0
Objective Value, Total Weight
44279.3567304358,261879.0
52884.299666634004,278785.0
48657.84546371817,269903.0
46888.950490344025,266587.0
25505.514204988547,234129.0
34482.89907237433,246736.0
17651.44014926179,224016.0
39636.15087479004,254530.0
27151.148372658354,236360.0
37518.67055835039,251400.0
20188.25685263658,227272.0
49817.20339382172,272224.0
30800.823787828384,241423.0
42496.843018993386,259184.0
28793.99201374571,238612.0
36196.680912221374,249266.0
32267.692419233383,243658.0
22593.18248561764,230385.0
40962.62427224242,256615.0
12522.976029024954,217678.0
Objective Value, Total Weight
30261.736043268407,241854.0
28637.07258000417,239530.0
45834.67888145195,266553.0
36299.99443415046,250722.0
37736.88014070626,252886.0
23020.0557675109,231962.0
40940.50614569773,258007.0
44206.05673083174,263803.0
47472.009060565615,269866.0
42129.96097467537,260055.0
27055.210987667087,237410.0
25632.95234601671,235486.0
20642.37141299958,228847.0
17455.640447609767,224995.0
33887.404541518306,247116.0
31904.355101704423,244185.0
16180.263528772222,223391.0
38960.63447475049,254934.0
11534.096032217203,217996.0
14035.611433742568,220942.0
Objective Value, Total Weight
26367.539601537574,236027.0
42603.98636540311,261657.0
13256.209305397584,218651.0
19267.535280729586,226480.0
32224.32859282283,244343.0
9329.865286880959,214173.0
38075.820599641534,253511.0
4316.613341615099,208307.0
17681.31093724165,224316.0
23202.667186633276,231708.0
27940.667363455577,238180.0
7474.524569063069,212013.0
21641.81776274537,229544.0
29741.887406143942,240690.0
40569.76206296688,257655.0
14644.982576246548,220596.0
24829.064428075857,233863.0
34898.82098188909,248185.0
2650.666643192235,206324.0
-2831.1747904922813,200747.0
Objective Value, Total Weight
23733.760596378706,233653.0
36976.931230013724,252635.0
8784.042779469048,215285.0
30696.671599118912,243252.0
33376.35693086224,247260.0
39848.25591122534,257120.0
18805.74372746225,227089.0
42139.22627246834,261061.0
17054.936489692074,224861.0
43459.6748750828,263239.0
35305.768706285744,250071.0
26901.029645198665,237889.0
12075.755222514039,219270.0
25599.50144157844,236105.0
28900.729263883957,240700.0
31773.815551209438,244865.0
21407.823023370758,230533.0
14708.81192243495,221897.0
10464.499020827061,217106.0
2466.636542044551,209353.0
Objective Value, Total Weight
35975.68688518298,250183.0
44883.190144607215,264852.0
46213.58756602206,267349.0
32690.841349798837,245290.0
42393.387319595495,260434.0
39992.29248399811,256590.0
15609.715378185676,222544.0
37872.50429444609,253051.0
12380.86312126636,218824.0
31337.677316939807,243624.0
26080.135047274875,236132.0
27718.828642979148,238347.0
34625.69499543379,248195.0
22338.017271225806,231075.0
20240.68316306814,228289.0
29867.38399258937,241235.0
18306.503877550596,226017.0
24329.307882461173,233712.0
8684.673664347996,215194.0
4273.4001749112795,210233.0
Objective Value, Total Weight
15141.224027351185,222144.0
47606.64579315565,269903.0
28093.002508739766,238813.0
35700.108283252164,249809.0
37522.25469576026,252605.0
24498.996432160202,234277.0
18144.981366264285,225959.0
38640.9887798517,254366.0
42298.497788929846,260428.0
44368.171355578,263769.0
26145.038463335775,236346.0
30237.24763464852,241993.0
21959.915952063515,230813.0
40171.70858593646,256750.0
33761.98342530581,246923.0
32284.149550351547,244795.0
12739.689684564306,219069.0
19594.32365990861,227838.0
10659.66386921436,217167.0
6087.242498761596,212489.0
Objective Value, Total Weight
44382.969303143094,262519.0
52537.45155581704,277438.0
14240.100349970919,220551.0
27337.144431590335,237381.0
24911.065172779025,234390.0
33582.53109667526,245987.0
17243.142719676252,224299.0
36996.65067688993,250884.0
31608.052328429476,243176.0
50728.27995088091,273772.0
39972.647851117246,255355.0
46292.45639780862,265983.0
19153.541448163916,226751.0
48616.992737475666,269562.0
29787.219332920853,240670.0
35206.731509473815,248261.0
12039.466057563084,217874.0
22110.74500398297,230499.0
41883.662723372865,258507.0
5035.879140878096,210981.0
