Objective Value, Total Weight
56148.03091632627,342208.0
-134589.1295788073,83489.0
-113789.42157480525,106711.0
-17432.73849111481,219577.0
-1227.2700463148649,238800.0
-77815.47600625872,145191.0
-95569.79102654645,126435.0
44432.59564958606,314092.0
-41005.34035504382,189784.0
16747.135642013105,260105.0
6149.525063391426,248949.0
-47926.18400839908,176663.0
-65735.07036110421,156836.0
30306.297940961726,288425.0
-34296.45764191757,201487.0
-59121.08400710966,163703.0
19115.321230727946,270991.0
-56242.04524582712,173267.0
51102.8943651279,326668.0
-26932.59864591487,201625.0
Objective Value, Total Weight
59612.48946796957,337897.0
-122042.03738076889,93664.0
45008.56517691468,310072.0
-26768.369985580677,205955.0
55481.97938257555,325922.0
27665.780183803872,271265.0
8346.351013877022,243266.0
-12236.8730804355,222730.0
41351.03807642986,292718.0
13881.430593462079,254844.0
-115419.71491086719,101471.0
20110.162813598232,263087.0
-1888.5561417440185,235117.0
-36969.529481062724,196389.0
-83309.12170258697,138806.0
-51222.474193720496,173868.0
-101048.55044675095,116690.0
-43451.096218918974,182030.0
35604.87787234213,285041.0
-69877.04579439788,151939.0
Objective Value, Total Weight
55154.12908988481,339978.0
-131145.21074698446,88214.0
8110.978853541659,246218.0
48677.388422422635,319733.0
-81938.90903701654,140422.0
-6628.00369011733,225761.0
34408.76532968745,286936.0
11897.513738452457,256189.0
-38135.24096443114,189715.0
-122721.9588272974,98353.0
-47507.804298600124,176105.0
23166.672789161385,269466.0
-30139.080148317677,195946.0
-69518.8577634044,154945.0
-114781.40544037893,105717.0
-19433.50699906191,212558.0
-88112.50226607619,131776.0
26246.556108777062,275119.0
41483.13714585843,302005.0
-24560.03576209012,208067.0
Objective Value, Total Weight
58543.845078094106,333904.0
-125395.94872006739,92440.0
-96444.94444389697,126135.0
-7517.048990638519,225227.0
-64484.819256604154,153007.0
-81361.89089193105,139781.0
-104514.56361417804,111591.0
-116254.95563624971,104856.0
-50825.93550617914,172028.0
-22948.654054279847,206569.0
55306.253317527124,326028.0
46588.1468871634,304683.0
35367.89677534648,284807.0
8362.962120999116,245707.0
42397.39376639441,302051.0
15711.197743178229,253296.0
19836.731150526437,264963.0
479.56883089401526,234305.0
29427.82709709683,278185.0
23788.291137642227,272719.0
Objective Value, Total Weight
-119459.95061700049,100454.0
56729.46215728432,333620.0
-85300.2185354738,134769.0
-69586.01899669046,155015.0
19267.31094312074,261893.0
-52126.954762574285,172625.0
51533.591203865595,314492.0
27580.95291741978,274504.0
-36011.90689079539,194901.0
39555.34771173564,296247.0
-60641.182285532646,172295.0
-110353.38809062334,110626.0
-98845.70722216871,122346.0
7245.641069966834,246127.0
36599.14780688094,290422.0
-102813.59243563388,118340.0
54388.508536019304,328816.0
-10055.028435442247,230568.0
-30251.268871426815,204775.0
-1811.6151585452026,235206.0
Objective Value, Total Weight
58004.79005371727,335965.0
-107917.08021977392,112361.0
43839.40307561291,313429.0
29161.141259872995,280059.0
-49992.7839344808,172842.0
-23867.363953174558,208447.0
-37424.68332171987,192815.0
17780.882191424316,257694.0
-61453.21014340402,166832.0
36598.21481866081,291075.0
-35091.06552581425,197229.0
-5263.6013374951435,232330.0
43393.62837698229,296593.0
-69753.33634100138,161697.0
-94046.74856625733,130629.0
1801.6156560530071,241529.0
-15116.957792646717,222409.0
-81566.34830114144,145873.0
12415.541346119018,252069.0
3507.940029160818,249382.0
Objective Value, Total Weight
-125921.2853915531,89469.0
58411.27368605271,336555.0
-40211.21670459781,184512.0
-53454.0663145016,167301.0
-85757.63149743062,132261.0
-76111.59981521755,143157.0
1309.277354124235,234664.0
45114.649281003745,306220.0
-9273.104180988972,219272.0
50744.90688786731,322778.0
-107127.49397437644,109649.0
5520.630705911783,243179.0
-67463.94866267362,152590.0
30102.34994971502,280578.0
-116429.79103291465,100814.0
40579.11618693714,288972.0
-97768.9903855834,119510.0
-95884.98782001963,124198.0
-24531.657873851655,205734.0
-19419.826813080348,210167.0
Objective Value, Total Weight
-122484.012593158,94416.0
58257.47189652646,330495.0
-75327.81814601575,146989.0
31828.50291236752,275844.0
19455.173279029026,264404.0
44550.87537285581,299181.0
-61196.27991410135,163402.0
-11681.643559472868,215102.0
-84908.68717616005,136030.0
-89136.60181744359,131113.0
49772.34839034878,311875.0
-110215.10232287957,107275.0
-22615.540987583052,204850.0
54617.6346413088,319146.0
-38746.75600655796,190924.0
-34008.588302118005,194023.0
-118880.25136476202,98767.0
491.3050831690198,238056.0
-98480.20009039668,122452.0
-54412.617847302,168852.0
Objective Value, Total Weight
-127218.7166205766,92239.0
58414.8701616989,338943.0
-62903.65918359076,160624.0
27298.036413490947,274339.0
13401.922331279726,252237.0
-37291.242416801455,192781.0
55998.0917122087,325861.0
-75955.24591152256,146671.0
-119532.97207870413,100591.0
-52341.673718076956,175591.0
-108458.30686680222,113734.0
-366.98480459931307,234940.0
10363.833630357927,247572.0
46551.78199528955,307201.0
-96572.1604096687,125544.0
-54757.9358259954,170248.0
-102622.28435023021,121559.0
31633.941429399245,277976.0
-11385.926829076081,219883.0
-20639.937330408546,210376.0
