Objective Value, Total Weight
-144065.0478951096,74968.0
-12235.397168101743,228843.0
-66522.06546294392,166459.0
5154.071314029919,249691.0
-131625.4137160509,86313.0
-78601.43870916485,151001.0
13330.928092945891,267648.0
-23143.885921308945,219291.0
-103525.32788369982,118819.0
-4727.345911037875,237277.0
-117356.20472449041,103323.0
30833.10777634557,284909.0
-44974.11940482998,192400.0
53231.08820766432,322229.0
-30469.622053265222,205349.0
-54757.35607805231,182358.0
40758.03409371554,306300.0
-93225.38138167813,131069.0
67321.25401926786,345658.0
-160841.9474681917,54487.0
Objective Value, Total Weight
43602.52873614355,314739.0
-145953.78899123214,70798.0
-89143.23270946852,133151.0
-54618.36196559004,177502.0
-44032.836968641845,196778.0
-66558.02112720133,164800.0
-7876.820823422342,241104.0
11874.404335701838,264666.0
-76845.0520636191,148446.0
-123498.63924875448,94881.0
21255.36816785374,279358.0
-30392.580073506047,212909.0
2430.137669345364,256432.0
-134618.43065985502,83152.0
-22071.63916401897,230097.0
-115571.45294297524,106772.0
-100198.6791937702,117982.0
33769.371242079476,292699.0
67856.16743558436,341060.0
-163183.4011828375,51788.0
Objective Value, Total Weight
53459.35241552809,310327.0
-121348.2755016979,103084.0
-68304.17656801743,156016.0
33289.13040102046,278140.0
-23842.252986262203,220134.0
59369.39602118783,329014.0
6595.816769520345,256916.0
-85525.50169041907,143852.0
-35763.41998279374,203674.0
21336.17777521105,274320.0
41672.51320362423,298985.0
-143963.51454780405,75755.0
-10977.00214973581,238410.0
-98567.7948099435,128902.0
-45393.5730566663,191049.0
-134078.99399406422,87241.0
-59223.447580860986,171272.0
-108674.80987494014,115151.0
-161809.7213887751,55691.0
69761.76943144138,344816.0
Objective Value, Total Weight
20350.147284177074,279795.0
-48823.34817053616,185769.0
-13025.738795890938,230663.0
-139173.60767284402,80643.0
299.02186329464894,247952.0
-77872.21677235831,149608.0
-66119.24346809636,162738.0
-92830.77631719419,134983.0
-125300.35537438121,95589.0
-114041.64481125213,110037.0
-27663.243615860294,210850.0
-104735.85542971716,120798.0
12487.26882458193,262692.0
-160417.05199914012,58252.0
34450.87543689512,301901.0
53229.8563319525,317061.0
-57236.05183331238,173164.0
-149270.7317769485,70357.0
-170986.5365011275,46200.0
66840.25175804639,343243.0
Objective Value, Total Weight
15192.741394644894,270635.0
-87669.6526480506,137275.0
-41473.824893585,196985.0
9456.977636695956,254678.0
46391.78469557257,315180.0
-26045.814098301227,213583.0
-149127.9831904298,73295.0
-104289.01871739345,125889.0
61052.72634777281,329836.0
29764.485544410825,285576.0
-131078.07622077913,92433.0
-78362.58791720186,154611.0
34351.10271725035,299619.0
-69112.05624600744,171675.0
-14790.649850003072,227043.0
-118993.87066804894,106584.0
-53787.65809405281,181507.0
-2645.7410853889305,237594.0
-162716.47606161045,55790.0
66649.44275297894,345814.0
Objective Value, Total Weight
-85274.98345124337,145682.0
46850.695217802015,310134.0
-97204.3631417283,129467.0
-8724.634140269307,235409.0
-34156.18855056667,206801.0
-17248.265782794857,220146.0
-115421.00363269885,106769.0
57320.868737587065,326785.0
-2023.8053641942097,252467.0
39340.16198546713,291712.0
-130385.77535973373,90476.0
31199.072347832902,277919.0
-59207.60521228134,172057.0
-47843.25420037203,191578.0
-143837.37828080752,75840.0
-168848.77278349726,49414.0
-71087.17530139699,157425.0
14538.061638655665,263667.0
-155760.13118826604,62623.0
69643.87543184793,350133.0
Objective Value, Total Weight
-134557.65503355826,83513.0
12418.686511095555,274539.0
-77347.73210836403,147263.0
-43517.98412182019,194405.0
-9556.830662580614,237778.0
-124742.59223672783,93411.0
27557.528597009135,283453.0
57766.651420505485,330892.0
-20031.613034250506,222718.0
-65384.90134308749,163354.0
-95875.03085086879,124810.0
-32656.62872528826,211427.0
-147114.93689184161,69385.0
35002.09496315848,295755.0
-54010.42240813945,181311.0
1834.122218344477,258831.0
46617.010413076554,310602.0
-111749.32974503137,109487.0
