Objective Value, Total Weight
-18025.73923357489,199809.0
-76913.90585161693,140606.0
-50401.54904942584,165086.0
-10639.056520144048,209707.0
21692.62444421975,252509.0
-34791.64032321973,180531.0
-3186.3423298753914,217122.0
4974.4189345134655,231114.0
-25030.156567820435,191638.0
16910.649627526058,242464.0
28956.023347805836,261810.0
-58753.3885985353,157162.0
-41058.37865823382,173790.0
34591.09562504152,272506.0
46993.240467128926,305257.0
-66426.31440318562,150131.0
43888.01091303764,292813.0
39823.72609134525,282919.0
48711.1907720755,320317.0
-86500.77051524742,132122.0
Objective Value, Total Weight
-100299.04494611968,114873.0
-38619.71686227055,173905.0
-30216.850960092823,183160.0
-60823.08161585734,150522.0
-71904.30352005592,139726.0
-88634.33382476476,125693.0
31223.555446177023,267984.0
-45438.950492134056,166192.0
-3542.0595254557556,211895.0
17706.725104782265,242909.0
3924.44511783676,222030.0
-79817.82122405691,132452.0
25180.52094967157,256158.0
-13929.305349243863,200384.0
10504.951791045198,234906.0
-21187.218499649636,191419.0
-52732.029677463725,158837.0
34804.744794730854,278085.0
39655.16602262721,294411.0
-108536.7753614588,106727.0
Objective Value, Total Weight
-49896.911738175695,161225.0
-41821.17703003317,169993.0
-35949.15710540413,176075.0
11550.4712941412,235400.0
-28878.890715174522,184219.0
-70825.63544346346,142701.0
-15110.78269057913,198967.0
-22111.94161336808,191340.0
24191.181674454187,256150.0
-7933.711391463759,207999.0
18092.786925652996,245905.0
-79943.12001029067,135215.0
-61701.581923458405,149971.0
-1238.1013586210902,216399.0
5098.519095701107,225116.0
-87393.20873778663,126445.0
-96047.13796168979,118805.0
-105174.4114083745,110356.0
29052.851394537545,267898.0
34251.996102524456,283975.0
Objective Value, Total Weight
-2341.3916985604446,214402.0
-16377.60597733772,197598.0
-26907.323606966384,185595.0
41526.55986998166,279632.0
19608.50436489843,241834.0
-93319.28535370273,122159.0
-45181.43010958069,166102.0
11604.97987592942,232735.0
31050.8116424724,266500.0
-102261.73463338744,112427.0
28320.973280294624,254651.0
-35472.08830275509,176360.0
-55244.5672956513,154862.0
46937.92225034651,296650.0
4484.748708636034,222082.0
-81404.44965084115,133466.0
-68195.95123193998,144999.0
-9091.804821851867,206392.0
-108696.05914650403,105859.0
52257.462183057505,311576.0
Objective Value, Total Weight
2446.271970621776,224489.0
38700.36988266779,286795.0
-43091.74640951201,172226.0
-28284.513999018876,191680.0
-51951.700759198575,162823.0
26044.609988040233,261434.0
-11377.194761947438,207189.0
-4547.480723379413,215264.0
-80880.78695659072,136628.0
22391.274071058957,253308.0
-61197.39472473072,155261.0
17090.254595691164,244417.0
33210.85394290043,272963.0
-91963.22363767779,126030.0
9782.30598395638,233860.0
-18124.151138595917,199203.0
43467.97695866943,301585.0
-69800.89326077624,146065.0
-33668.73642665465,182319.0
46135.897567839245,319902.0
Objective Value, Total Weight
-25822.12628150088,185474.0
-84866.6553037389,128532.0
-51320.54145766815,159367.0
3249.449698143755,218617.0
30384.59137603111,263554.0
-63831.12096584914,150683.0
-4842.17704016692,208704.0
-15702.729479174654,196059.0
-41509.15872967441,168514.0
-33382.12372878924,178854.0
-72993.56100852939,139309.0
9158.458830452233,226266.0
16807.14331872639,236643.0
39062.92832200264,276837.0
-97946.90532710709,115728.0
25318.23736759182,249514.0
48326.475157511944,307999.0
49688.97127436963,324352.0
-110199.67642158712,103583.0
44433.0685983384,292104.0
Objective Value, Total Weight
-3198.973905101244,214758.0
-6777.193452996347,208692.0
18493.829666480597,240941.0
36006.86853877042,266148.0
41182.684864894254,275461.0
50875.620818925905,297466.0
54930.51447454648,310785.0
4468.300898675516,222218.0
